splice_id	gene	histology
EPB41L1:36214360-36214440_36212271-36212376_36218875-36218962	EPB41L1	ATRT
NRM:30689276-30689452_30688046-30688942_30690841-30690967	NRM	ATRT
TNRC6B:40270122-40270280_40264687-40267036_40273424-40273600	TNRC6B	ATRT
PCLAF:64376743-64376905_64364303-64366075_64380957-64381038	PCLAF	ATRT
PAM:102974116-102974436_102961157-102961229_102990271-102990401	PAM	ATRT
DROSHA:31521123-31521215_31515453-31515564_31526078-31526912	DROSHA	ATRT
MFGE8:88899656-88899811_88898682-88899532_88901550-88901735	MFGE8	ATRT
PIKFYVE:208347859-208348023_208346049-208346147_208350023-208350083	PIKFYVE	ATRT
ANAPC11:81893552-81893614_81891937-81892106_81894466-81894586	ANAPC11	ATRT
PILRB:100353373-100354012_100353209-100353270_100355142-100355240	PILRB	ATRT
PKM:72203022-72203188_72200473-72200655_72206727-72206880	PKM	ATRT
LAMA2:129443063-129443068_129440815-129440998_129445666-129445821	LAMA2	ATRT
MRPL53:74472358-74472470_74471981-74472252_74472568-74472680	MRPL53	MB
LARP1:154793800-154793901_154793594-154793723_154794099-154794262	LARP1	MB
LARP1:154793800-154793922_154793594-154793723_154794099-154794262	LARP1	MB
LARP1:154793800-154794000_154793594-154793723_154794099-154794195	LARP1	MB
EIF2D:206599463-206599612_206599002-206599092_206599732-206599836	EIF2D	MB
SNHG5:85677954-85678032_85677008-85677492_85678135-85678188	SNHG5	MB
SNHG5:85676985-85677191_85666003-85666147_85677423-85677492	SNHG5	MB
SNHG5:85677093-85677191_85664959-85666147_85677423-85677492	SNHG5	MB
MRPL22:154950803-154950938_154941216-154941265_154956370-154956436	MRPL22	MB
MRPL22:154950821-154950938_154941094-154941265_154956370-154956436	MRPL22	MB
LMBR1:156688030-156688191_156677790-156684163_156724111-156724178	LMBR1	MB
PTPRZ1:122034095-122034115_122031473-122031559_122034281-122034378	PTPRZ1	MB
ZNF280D:56707082-56707143_56704120-56704267_56707262-56707306	ZNF280D	MB
ZNF280D:56707082-56707150_56704120-56704267_56707262-56707306	ZNF280D	MB
DNAJC19:180988178-180988229_180984564-180988096_180989599-180989673	DNAJC19	MB
ZNF532:58865304-58865385_58864876-58864986_58865469-58865579	ZNF532	MB
SLC35B3:8417402-8417494_8416883-8416995_8419579-8419677	SLC35B3	MB
SEPTIN2:241324216-241324241_241315860-241315982_241335125-241335212	SEPTIN2	MB
RNASET2:166948570-166948625_166946392-166946739_166952487-166952534	RNASET2	MB
RNASET2:166948566-166948625_166946681-166946739_166952487-166952548	RNASET2	MB
TCF3:1612207-1612433_1609289-1611849_1615284-1615485	TCF3	MB
IFI44:78662704-78662878_78659311-78659483_78663764-78663897	IFI44	MB
PLPP1:55475299-55475450_55467868-55468149_55534571-55534964	PLPP1	MB
IDH3B:2658638-2658837_2658394-2658522_2659524-2659585	IDH3B	MB
RPLP1:69453647-69453721_69452817-69453020_69455169-69455287	RPLP1	MB
ENSG00000283103:58325275-58325361_58314670-58315036_58326822-58326859	ENSG00000283103	MB
RPS11:49497173-49497325_49496433-49496471_49497519-49497595	RPS11	MB
RNF130:179963471-179963564_179955066-179955669_179966805-179967010	RNF130	MB
PLD3:40365662-40365930_40348699-40348768_40366418-40366510	PLD3	MB
PLD3:40365718-40365930_40348684-40348768_40366418-40366464	PLD3	MB
CD9:6200384-6200565_6199874-6200072_6225425-6225534	CD9	MB
CD9:6200422-6200565_6199714-6200072_6225425-6225534	CD9	MB
ASAH1:18083981-18084286_18075540-18075587_18084675-18084802	ASAH1	MB
MTSS1:124557681-124557875_124556231-124556405_124562781-124562992	MTSS1	MB
MFF:227347226-227347384_227340291-227340380_227352513-227352573	MFF	MB
AKAP13:85658537-85658590_85655416-85655787_85664562-85664755	AKAP13	MB
EPB41L3:5394677-5394793_5392380-5393478_5395066-5395147	EPB41L3	MB
LRRFIP2:37091467-37091538_37083635-37083806_37094791-37094908	LRRFIP2	MB
DDR1:30895404-30895514_30894505-30894671_30896620-30896865	DDR1	MB
SCMH1:41152599-41152741_41151613-41151684_41159724-41159933	SCMH1	MB
ERC1:1112215-1112298_1110191-1110347_1115865-1116033	ERC1	MB
SLC22A17:23347891-23347996_23347459-23347731_23348160-23348306	SLC22A17	MB
TTLL5:75737566-75737607_75735194-75735289_75745094-75745208	TTLL5	MB
KIFC3:57759125-57759153_57758216-57758909_57759727-57759836	KIFC3	MB
AP1G2:23566562-23566686_23566277-23566419_23567110-23567315	AP1G2	MB
C12orf75:105365807-105365842_105348601-105348626_105366616-105366696	C12orf75	MB
LSAMP:115816614-115816646_115809793-115810414_115834561-115834597	LSAMP	MB
APEH:49674489-49674621_49674350-49674413_49675693-49675787	APEH	MB
RAB4B:40783778-40783840_40780018-40780499_40783920-40783973	RAB4B	MB
URGCP:43887790-43887811_43887414-43887485_43906561-43906626	URGCP	MB
URGCP:43887790-43887816_43887414-43887485_43906561-43906596	URGCP	MB
GSTK1:143265261-143265296_143264547-143265092_143267616-143267733	GSTK1	MB
EIF3K:38632601-38632678_38632025-38632496_38634992-38635102	EIF3K	MB
PLD3:40365553-40365930_40348671-40348724_40366418-40366464	PLD3	MB
PLD3:40365553-40365930_40348689-40348768_40366418-40366464	PLD3	MB
PLD3:40365718-40365930_40348506-40348724_40366418-40366464	PLD3	MB
GALE:23796509-23796586_23796150-23796265_23796696-23796782	GALE	MB
RPS6KC1:213176400-213176492_213167857-213167973_213230496-213230544	RPS6KC1	MB
ZNF664:123988043-123988138_123973122-123974020_124011380-124011441	ZNF664	MB
TARBP1:234427317-234427388_234425672-234425793_234427575-234427766	TARBP1	MB
UBN1:4877385-4877474_4876870-4877111_4880082-4880445	UBN1	MB
TNK2:195867169-195867258_195866888-195867016_195867360-195868709	TNK2	MB
MRPS18A:43675202-43675271_43671201-43671906_43675493-43675617	MRPS18A	MB
LYRM1:20915556-20915714_20900770-20900889_20920121-20920214	LYRM1	MB
SERPING1:57599864-57600377_57598248-57598321_57602034-57602169	SERPING1	MB
POC1B:89459638-89459718_89425160-89425379_89466769-89466922	POC1B	MB
DCUN1D4:51911070-51911174_51899269-51899378_51913289-51913392	DCUN1D4	MB
CADM3:159193870-159193902_159193422-159193560_159196363-159196454	CADM3	MB
CADM3:159193870-159194040_159193422-159193560_159196363-159196454	CADM3	MB
ZFAND6:80098416-80098578_80072563-80072647_80120327-80120405	ZFAND6	MB
MSL1:40131537-40131584_40129244-40129627_40132033-40132042	MSL1	MB
SLC16A4:110382834-110382966_110381651-110381795_110389236-110389355	SLC16A4	MB
NDRG2:21018457-21018471_21018203-21018239_21018762-21018814	NDRG2	MB
CD151:834530-834591_832951-833022_836062-836153	CD151	MB
MTSS1:124557681-124557875_124556260-124556354_124562781-124562992	MTSS1	MB
YBEY:46291334-46291462_46286869-46287123_46296161-46296230	YBEY	MB
ECHDC1:127316450-127316502_127314815-127314896_127327001-127327137	ECHDC1	MB
KLC1:103687081-103687211_103679308-103679545_103700654-103700727	KLC1	MB
LARP4:50453460-50453672_50441589-50441643_50454313-50454417	LARP4	MB
ORMDL2:55818999-55819173_55818040-55818112_55819341-55819493	ORMDL2	MB
ORMDL2:55819091-55819173_55818040-55818112_55819341-55819493	ORMDL2	MB
TRAPPC6A:45165127-45165194_45164724-45164970_45178092-45178211	TRAPPC6A	MB
SARAF:30073877-30074055_30069641-30070059_30082846-30082948	SARAF	MB
RACK1:181239067-181239177_181238098-181238239_181239486-181239582	RACK1	MB
EMP3:48327521-48327623_48326829-48326922_48329351-48329439	EMP3	MB
DRAM2:111124742-111124881_111120515-111120693_111126226-111126294	DRAM2	MB
LEPROT:65429862-65430048_65425302-65425378_65431802-65436007	LEPROT	MB
LEPROT:65429931-65430048_65425302-65425378_65431802-65431920	LEPROT	MB
TBC1D5:17623849-17623913_17508473-17508605_17742480-17742564	TBC1D5	MB
PTPMT1:47569700-47569891_47565457-47565986_47571470-47572360	PTPMT1	MB
PLD3:40365718-40365930_40348684-40348768_40366383-40366510	PLD3	MB
APP:26000015-26000182_25982343-25982477_26021839-26022042	APP	MB
MAP4:47853163-47853352_47850689-47852938_47855247-47855360	MAP4	MB
STK25:241508006-241508135_241501356-241501708_241508442-241508556	STK25	MB
MPRIP:17143556-17143669_17142626-17142765_17146035-17146092	MPRIP	MB
MLLT10:21534645-21534804_21524674-21524775_21538832-21538912	MLLT10	MB
DST:56468982-56468999_56466077-56466195_56469882-56469957	DST	MB
LTA4H:96003838-96003920_96002959-96003064_96006313-96006409	LTA4H	MB
LTA4H:96003838-96003981_96002989-96003064_96006313-96006409	LTA4H	MB
TCF3:1612207-1612430_1610964-1611849_1615284-1615821	TCF3	MB
SUMF2:56074114-56074218_56072996-56073111_56074585-56074736	SUMF2	MB
ABCD4:74300150-74300268_74299177-74299675_74302874-74302918	ABCD4	MB
SNHG5:85677791-85678032_85677423-85677492_85678135-85678736	SNHG5	MB
SNHG5:85677795-85678032_85677078-85677492_85678135-85678188	SNHG5	MB
GLMP:156294759-156295016_156294364-156294565_156295525-156295654	GLMP	MB
TMEM205:11345520-11345628_11345251-11345415_11346126-11346300	TMEM205	MB
TMEM205:11345520-11345737_11345251-11345415_11346126-11346248	TMEM205	MB
HAUS4:22952541-22952683_22952327-22952459_22955099-22955176	HAUS4	MB
RPS6KB2:67428982-67429022_67428482-67428623_67429119-67429240	RPS6KB2	MB
GSTA4:52987357-52987408_52985450-52985583_52994156-52994261	GSTA4	MB
PLEKHA1:122392303-122392372_122374707-122374806_122393180-122393341	PLEKHA1	MB
SLC15A4:128809943-128810053_128809395-128809473_128814774-128815070	SLC15A4	MB
BCL9L:118909914-118910015_118908269-118908655_118918825-118918879	BCL9L	MB
CYBC1:82447580-82447621_82446622-82446696_82449169-82449292	CYBC1	MB
CYBC1:82447580-82447646_82446622-82446696_82449169-82449320	CYBC1	MB
TRAPPC6A:45165127-45165194_45164724-45164970_45178134-45178237	TRAPPC6A	MB
SLC25A11:4939060-4939212_4938768-4938975_4939815-4940046	SLC25A11	MB
KLC1:103687081-103687211_103679383-103679518_103700654-103700727	KLC1	MB
SLC1A2:35292287-35292520_35286050-35286951_35301518-35301641	SLC1A2	MB
SEMA6D:47768581-47768748_47767036-47767093_47770496-47770765	SEMA6D	MB
ARPC2:218217463-218217544_218217146-218217254_218225919-218225954	ARPC2	MB
ACOT9:23734341-23734367_23733171-23733217_23735918-23736016	ACOT9	MB
MPV17:27312994-27313109_27312679-27312772_27322447-27322522	MPV17	MB
LTBP3:65552860-65552982_65552247-65552406_65553163-65553256	LTBP3	MB
SLC15A4:128809943-128810111_128809395-128809473_128814774-128815070	SLC15A4	MB
ZFAS1:49280485-49280570_49279103-49279208_49289044-49289260	ZFAS1	MB
PRPF40A:152679056-152679109_152677450-152677475_152679351-152679472	PRPF40A	MB
HNRNPK:83973902-83973973_83973285-83973399_83974516-83974589	HNRNPK	MB
PITPNC1:67687066-67687184_67675478-67675542_67692571-67693367	PITPNC1	MB
CMTM7:32449454-32449552_32441839-32442013_32452391-32452473	CMTM7	MB
APP:26000015-26000182_25997187-25997416_26021839-26022042	APP	MB
ARPC2:218217372-218217544_218217140-218217254_218225919-218225954	ARPC2	MB
ZNF615:52000346-52000378_51991331-51994837_52001812-52001908	ZNF615	MB
ZNF664:123988046-123988138_123973885-123974020_124011380-124011441	ZNF664	MB
CSDE1:114730508-114730568_114730257-114730422_114732603-114732816	CSDE1	MB
MPV17:27312994-27313154_27312679-27312772_27322447-27322522	MPV17	MB
SERPING1:57599879-57600377_57597802-57598321_57602034-57602169	SERPING1	MB
TXNDC11:11730645-11730774_11721576-11721670_11733981-11734079	TXNDC11	MB
MPV17:27312994-27313074_27312679-27312772_27322447-27322522	MPV17	MB
NKAIN3:62953902-62953972_62918452-62918513_62965353-62984904	NKAIN3	MB
MBNL1:152455542-152455577_152447619-152447773_152456266-152456361	MBNL1	CPG
AP1B1:29329712-29329720_29327679-29328895_29330377-29330532	AP1B1	CPG
EPB41L1:36195329-36195364_36194211-36194360_36197858-36198041	EPB41L1	CPG
PARP6:72250845-72250957_72250019-72250092_72251206-72251255	PARP6	CPG
ANXA6:151110627-151110644_151109752-151109846_151117126-151117180	ANXA6	CPG
CACNA2D1:81983314-81983334_81982566-81982627_81984634-81984711	CACNA2D1	CPG
ARAP2:36119650-36119718_36117060-36117135_36121178-36121326	ARAP2	CPG
SCRIB:143807552-143807614_143806923-143807013_143808608-143809025	SCRIB	CPG
CTNND1:57789037-57789155_57761788-57762046_57791384-57791673	CTNND1	CPG
CTNND1:57791385-57791673_57761796-57762046_57794009-57794081	CTNND1	CPG
CTNND1:57791494-57791673_57761796-57762046_57794009-57794081	CTNND1	CPG
SORBS1:95422190-95422216_95421960-95422073_95432447-95432576	SORBS1	CPG
KIF1B:10326111-10326359_10324757-10324895_10334519-10334638	KIF1B	CPG
G6PC3:44074969-44075087_44074679-44074770_44075309-44075451	G6PC3	CPG
ARHGEF11:156938418-156938513_156937248-156937496_156939547-156939910	ARHGEF11	CPG
SCAMP5:75016593-75016749_75012676-75012805_75017869-75017925	SCAMP5	CPG
SULF2:47659399-47659452_47656911-47658392_47659696-47659721	SULF2	CPG
ETV6:11825644-11825713_11752449-11752579_11826401-11826556	ETV6	CPG
LSR:35262546-35262692_35258944-35259064_35266358-35266532	LSR	CPG
DYNC1I1:95828057-95828116_95813195-95813337_95869882-95869998	DYNC1I1	CPG
ABHD14B:51971460-51971698_51969083-51970184_51973964-51974021	ABHD14B	CPG
EMID1:29254203-29254287_29243444-29243489_29255270-29255612	EMID1	CPG
TCF7L2:113158667-113158717_113158020-113158069_113160618-113160691	TCF7L2	CPG
AKAP9:92042046-92042186_92040673-92040898_92042667-92042771	AKAP9	CPG
CTNND1:57791385-57791673_57761796-57762119_57794009-57794081	CTNND1	CPG
PHKA2:18899173-18899226_18897162-18897333_18900669-18900699	PHKA2	CPG
DNM1:128247924-128247935_128247374-128247486_128248582-128248753	DNM1	CPG
PARP6:72250845-72250954_72250019-72250092_72251206-72251255	PARP6	CPG
MYO1B:191402632-191402718_191400381-191400468_191408114-191408189	MYO1B	CPG
CTNND1:57791492-57791673_57761800-57762046_57794009-57794081	CTNND1	CPG
LETMD1:51056144-51056245_51049033-51049185_51056349-51056428	LETMD1	CPG
TEAD1:12675409-12675561_12674420-12674834_12764178-12764434	TEAD1	CPG
ZNF207:32366665-32366757_32365329-32365487_32367771-32368014	ZNF207	CPG
LSM14B:62130219-62130296_62129784-62129952_62130529-62130666	LSM14B	CPG
RAPGEF2:159344036-159344059_159343280-159343404_159345105-159345329	RAPGEF2	CPG
BLNK:96215321-96215389_96209837-96209907_96216652-96216734	BLNK	CPG
ATP2C1:130894590-130894775_130894014-130894337_130930415-130930526	ATP2C1	CPG
BAG6:31640385-31640528_31640198-31640306_31640644-31640704	BAG6	EPN
PLD3:40365718-40365930_40365552-40365585_40366418-40366464	PLD3	EPN
RPS3A:151100975-151101162_151099627-151099714_151102870-151102932	RPS3A	EPN
KIAA1191:176359481-176359567_176355570-176355749_176359810-176359918	KIAA1191	EPN
SUPT20H:37048564-37048599_37047877-37047936_37051487-37051559	SUPT20H	EPN
SNHG6:66922324-66922392_66921817-66922114_66922613-66922725	SNHG6	EPN
MIR9-1HG:156407842-156407975_156404252-156404601_156413412-156413478	1HG	EPN
RAB34:28715993-28716058_28715799-28715901_28716902-28716994	RAB34	EPN
RAB34:28715993-28716061_28715799-28715901_28716902-28716994	RAB34	EPN
GLYR1:4821547-4821597_4821203-4821453_4822874-4822931	GLYR1	EPN
MFF:227328678-227328789_227325150-227325427_227330625-227330846	MFF	EPN
MID1IP1:38804310-38804413_38801453-38801487_38804682-38806433	MID1IP1	EPN
ZFR:32380075-32380172_32379114-32379210_32385507-32385649	ZFR	EPN
MFF:227328678-227330846_227325264-227325427_227332418-227332588	MFF	EPN
SLC25A26:66236544-66236700_66220741-66221127_66243202-66243312	SLC25A26	EPN
KIAA1191:176359462-176359567_176355570-176355749_176359810-176359918	KIAA1191	EPN
AMZ2:68248640-68248705_68205480-68206238_68250187-68250470	AMZ2	EPN
AMZ2:68248644-68248705_68205480-68206238_68250187-68250470	AMZ2	EPN
DONSON:33582165-33582246_33581950-33582055_33584589-33584768	DONSON	EPN
CHMP7:23259066-23259126_23258731-23258830_23260143-23260286	CHMP7	EPN
MIAT:26657482-26657654_26657255-26657354_26663315-26663398	MIAT	EPN
RPLP0:120198554-120198770_120197321-120197462_120198853-120199000	RPLP0	EPN
TPT1-AS1:45390714-45390902_45387584-45389820_45391031-45391676	AS1	EPN
ATG16L1:233273721-233273777_233272965-233273052_233274675-233274778	ATG16L1	EPN
WDR49:167633409-167633532_167627132-167627292_167653260-167653499	WDR49	EPN
PFKM:48135291-48135383_48134942-48135038_48137720-48137815	PFKM	EPN
PLEKHG3:64737862-64738224_64737355-64737375_64738741-64738855	PLEKHG3	EPN
PPP1R7:241153476-241153604_241149575-241149708_241157806-241157862	PPP1R7	EPN
EPB41L1:36209488-36209898_36197858-36198041_36212271-36212376	EPB41L1	EPN
RNPS1:2264573-2264760_2264175-2264331_2268054-2268091	RNPS1	EPN
COL16A1:31679804-31679851_31679631-31679685_31680041-31680101	COL16A1	EPN
SYNE1:152130720-152130778_152121686-152122676_152132121-152132214	SYNE1	EPN
SMC5:70346605-70346649_70344143-70344269_70347065-70347161	SMC5	EPN
PPP1R7:241150259-241150547_241149637-241149708_241153475-241153604	PPP1R7	EPN
RAPGEF1:131604931-131605188_131602113-131602149_131619050-131619206	RAPGEF1	EPN
ADCYAP1R1:31080613-31080633_31077990-31078098_31081712-31081754	ADCYAP1R1	EPN
ARHGEF1:41906457-41906620_41905938-41906025_41906702-41906803	ARHGEF1	EPN
KIAA1191:176359811-176359918_176355570-176355749_176361601-176361735	KIAA1191	GNG
TSTD1:161038551-161038673_161037630-161038075_161038879-161038937	TSTD1	GNG
MATR3:139307239-139308327_139293777-139294028_139314674-139314736	MATR3	GNG
CADM1:115198406-115198438_115178643-115178775_115214607-115214780	CADM1	GNG
CADM1:115209574-115209657_115178643-115178775_115214607-115214694	CADM1	GNG
OCIAD1:48857213-48857365_48851805-48851975_48860724-48861200	OCIAD1	GNG
MCFD2:46909023-46909177_46907528-46907969_46915722-46915761	MCFD2	GNG
UBFD1:23566987-23567069_23562624-23562730_23570479-23570575	UBFD1	GNG
GSE1:85665015-85665128_85663343-85663614_85665975-85666347	GSE1	GNG
MRPL47:179602652-179602797_179601729-179601790_179604526-179604638	MRPL47	GNG
ADGRB2:31744193-31744357_31742837-31743002_31744647-31744731	ADGRB2	GNG
EIF3H:116726016-116726172_116658248-116658980_116755665-116755797	EIF3H	GNG
LDB2:16505840-16505982_16501540-16502873_16508534-16508686	LDB2	GNG
BTF3L4:52059835-52059901_52056198-52056379_52064824-52064938	BTF3L4	GNG
YBX1:42696199-42696288_42693489-42693523_42696641-42696944	YBX1	GNG
R3HDM2:57292572-57292667_57289008-57289040_57295398-57295507	R3HDM2	GNG
ABI2:203394700-203394846_203391043-203391143_203395655-203395780	ABI2	GNG
PHACTR1:13184799-13185005_13182518-13182686_13205814-13206136	PHACTR1	GNG
COA8:103571623-103571820_103562959-103563124_103587273-103587364	COA8	GNG
NAP1L1:76067371-76067473_76060137-76060279_76074202-76074239	NAP1L1	GNG
PPP6R2:50436988-50437068_50436366-50436452_50437505-50437603	PPP6R2	GNG
NTRK2:84669680-84669888_84669289-84669423_84670376-84670531	NTRK2	GNG
CDK10:89689252-89689324_89686688-89686797_89690552-89690557	CDK10	GNG
OLA1:174246715-174246815_174229307-174229451_174248451-174248475	OLA1	GNG
KIAA1191:176359481-176359567_176355570-176355749_176361601-176361761	KIAA1191	GNG
MTX3:79990594-79990663_79990159-79990236_79991157-79991259	MTX3	GNG
SENP7:101501070-101501119_101493872-101493968_101513090-101513205	SENP7	GNG
ZNF808:52547512-52547638_52543265-52543347_52553106-52553166	ZNF808	GNG
AGFG1:227531091-227531210_227524761-227524915_227533548-227533681	AGFG1	GNG
PPP2R3C:35116610-35116737_35109922-35110629_35121901-35121965	PPP2R3C	GNG
KAT7:49809119-49809208_49805362-49805445_49811475-49811574	KAT7	GNG
AMPD2:109625303-109625433_109620653-109621266_109625661-109625792	AMPD2	GNG
EPN1:55689297-55689371_55688869-55688994_55689866-55689915	EPN1	GNG
APOC1:44914672-44914733_44914246-44914489_44914871-44914949	APOC1	GNG
SUPT5H:39458294-39458305_39457674-39457740_39458817-39458887	SUPT5H	GNG
PSMA5:109421860-109421926_109415236-109415363_109426301-109426427	PSMA5	GNG
LDB2:16505840-16505982_16501540-16502873_16508540-16508686	LDB2	GNG
CTTN:70420400-70420510_70419745-70419856_70422939-70422995	CTTN	GNG
SNRPC:34757912-34757954_34757504-34757551_34762594-34762703	SNRPC	GNG
NTAN1:15047997-15048099_15047854-15047920_15055890-15056074	NTAN1	GNG
SNRPN:24967932-24968082_24962113-24962209_24974310-24974434	SNRPN	GNG
PHF14:10982372-10983159_10974834-10974945_10990702-10990847	PHF14	GNG
MADD:47326738-47326807_47324470-47324577_47328657-47328704	MADD	GNG
GABPB2:151103562-151103675_151097851-151098002_151107036-151107177	GABPB2	GNG
SH2B1:28873170-28873269_28872533-28872705_28873446-28873607	SH2B1	GNG
SLIT2:20525149-20525172_20524013-20524177_20528948-20529099	SLIT2	GNG
KIAA1217:24536774-24536893_24533069-24533237_24544980-24545103	KIAA1217	GNG
PAK3:111103159-111103306_111097540-111097684_111123076-111123278	PAK3	GNG
ENSG00000256500:103574107-103574170_103562961-103563124_103587273-103587364	ENSG00000256500	GNG
RABEPK:125213370-125213522_125207563-125207721_125227909-125228059	RABEPK	GNG
UBXN11:26302813-26302918_26301693-26301722_26306591-26306609	UBXN11	GNG
OCIAD1:48857213-48857365_48851805-48852020_48860724-48861200	OCIAD1	GNG
MYG1:53303034-53303193_53299717-53300262_53305907-53306060	MYG1	GNG
CCT7:73244544-73244715_73234235-73234384_73247761-73247789	CCT7	GNG
RNF114:49941561-49941711_49936396-49936552_49945381-49945488	RNF114	GNG
RNF114:49941583-49941711_49936376-49936552_49945381-49945488	RNF114	GNG
CNKSR2:21516485-21516631_21501474-21501588_21526866-21527000	CNKSR2	GNG
PABIR2:134772143-134772283_134771095-134771354_134781820-134781917	PABIR2	GNG
EVL:100137740-100137802_100137105-100137644_100141179-100141246	EVL	GNG
SORBS2:185690562-185690611_185684753-185684846_185775226-185775288	SORBS2	GNG
FAM53C:138341184-138341413_138338265-138338307_138341808-138341866	FAM53C	GNG
NCDN:35558156-35558223_35557791-35557883_35559106-35559247	NCDN	GNG
RPL10:154400464-154400626_154399802-154399941_154400701-154400811	RPL10	HGG
ZNHIT3:36486935-36486966_36486680-36486785_36492812-36492899	ZNHIT3	HGG
TIMM9:58424008-58424095_58411906-58411971_58427053-58427114	TIMM9	HGG
FIP1L1:53414615-53414722_53399729-53399839_53425871-53425965	FIP1L1	HGG
SNHG5:85677795-85677875_85677078-85677492_85677953-85678032	SNHG5	HGG
PTP4A2:31915895-31915987_31911695-31911826_31918969-31919109	PTP4A2	HGG
MAPKAP1:125506310-125506417_125484442-125484583_125543058-125543168	MAPKAP1	HGG
RPL17-C18orf32:49488500-49488566_49483583-49483771_49489358-49489550	C18orf32	HGG
TOR1AIP2:179865436-179865854_179852631-179852811_179877238-179877373	TOR1AIP2	HGG
IFT22:101318956-101319032_101316339-101316542_101321670-101321777	IFT22	HGG
CMC1:28263291-28263380_28241583-28241812_28316332-28316423	CMC1	HGG
CSDE1:114749817-114750207_114739691-114739890_114757924-114758003	CSDE1	HGG
