ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	Type
48111	"ENSG00000178950.17"	"GAK"	chr4	-	896459	896549	893873	894009	898032	898158	48111	57,200,7,188,71	74,51,16,24,32	72,622,20,523,299	56,18,0,0,10	239	149	1.77997805606e-07	1.5009457447330813e-05	0.324,0.71,0.214,0.83,0.58	0.445,0.956,1.0,1.0,0.949	-0.338	Kinase
49092	"ENSG00000072518.20"	"MARK2"	chr11	+	63908259	63908304	63904785	63905043	63908876	63909237	49092	31,121,1,88,25	93,62,18,101,84	4,266,8,354,269	126,103,2,8,5	194	149	0.000468843576976	0.011580640931126408	0.204,0.6,0.041,0.401,0.186	0.024,0.665,0.754,0.971,0.976	-0.392	Kinase
59749	"ENSG00000154310.17"	"TNIK"	chr3	-	171139469	171139556	171138190	171138379	171140398	171140509	59749	106,489,54,582,784	59,6,0,2,10	179,185,8,1,0	14,38,0,10,4	236	149	0.000197941651779	0.005650342314189582	0.531,0.981,1.0,0.995,0.98	0.89,0.755,1.0,0.059,0.0	0.357	Kinase
63597	"ENSG00000104205.15"	"SGK3"	chr8	+	66677641	66677954	66667551	66667701	66678218	66678295	63597	12,23,4,8,18	4,2,0,0,0	0,15,1,13,12	2,12,37,0,5	298	149	1.06566777047e-05	0.0004841091453039502	0.6,0.852,1.0,1.0,1.0	0.0,0.385,0.013,1.0,0.545	0.502	Kinase
85195	"ENSG00000013441.16"	"CLK1"	chr2	-	200860124	200860215	200859679	200859746	200861237	200861466	85195	1238,1001,94,605,1383	2,1,0,2,4	1669,224,14,111,67	10,207,23,110,109	240	149	0	0.0	0.997,0.998,1.0,0.995,0.995	0.99,0.402,0.274,0.385,0.276	0.532	Kinase
92099	"ENSG00000114670.14"	"NEK11"	chr3	+	131027929	131028002	131026911	131027218	131029612	131029878	92099	2,49,4,40,34	11,6,0,0,2	3,3,6,6,4	0,0,0,0,0	222	149	0.000105952453735	0.0033640441928375914	0.109,0.846,1.0,1.0,0.919	1.0,1.0,1.0,1.0,1.0	-0.225	Kinase
95210	"ENSG00000065559.15"	"MAP2K4"	chr17	+	12054888	12054991	12020869	12021001	12095574	12095694	95210	30,69,7,32,79	27,5,4,10,34	37,146,2,181,124	15,6,0,16,4	252	149	0.000237061375974	0.006564109507935114	0.396,0.891,0.509,0.654,0.579	0.593,0.935,1.0,0.87,0.948	-0.263	Kinase
95211	"ENSG00000065559.15"	"MAP2K4"	chr17	+	12081355	12081530	12020869	12021001	12095574	12095694	95211	51,75,9,68,149	27,5,4,10,34	70,226,3,202,171	15,6,0,16,4	298	149	0.000177698142809	0.005179222610512775	0.486,0.882,0.529,0.773,0.687	0.7,0.95,1.0,0.863,0.955	-0.222	Kinase
105647	"ENSG00000143479.17"	"DYRK3"	chr1	+	206637649	206637761	206635535	206635780	206647387	206647989	105647	768,174,2,36,69	329,9,2,6,318	34,278,13,146,87	16,6,0,3,0	261	149	1.99611285551e-05	0.0008234661259061469	0.571,0.917,0.363,0.774,0.11	0.548,0.964,1.0,0.965,1.0	-0.348	Kinase
110421	"ENSG00000130669.17"	"PAK4"	chr19	+	39168229	39168312	39125797	39125919	39169531	39169757	110421	81,149,27,244,88	121,127,10,132,113	84,447,42,460,253	34,284,1,128,91	232	149	0.000927362834117	0.02029908062385624	0.301,0.43,0.634,0.543,0.333	0.613,0.503,0.964,0.698,0.641	-0.236	Kinase
122093	"ENSG00000113240.13"	"CLK4"	chr5	-	178617343	178617434	178616881	178616948	178618555	178618778	122093	183,230,29,110,183	4,1,0,0,0	214,37,16,54,33	4,28,6,28,38	240	149	0	0.0	0.966,0.993,1.0,1.0,1.0	0.971,0.451,0.623,0.545,0.35	0.404	Kinase
124694	"ENSG00000204580.13"	"DDR1"	chr6	+	30884057	30884145	30881065	30881125	30884537	30884710	124694	5,20,0,47,18	18,126,11,751,111	11,40,0,17,6	39,112,4,1,0	237	149	0.00164724724197	0.03247993365372196	0.149,0.091,0.0,0.038,0.093	0.151,0.183,0.0,0.914,1.0	-0.375	Kinase
124709	"ENSG00000204580.13"	"DDR1"	chr6	+	30885624	30885680	30881065	30881125	30888687	30888814	124709	45,104,5,174,55	224,509,31,1588,403	67,186,19,90,39	184,1259,23,8,0	205	149	8.07889557886e-06	0.0003843039418287382	0.127,0.129,0.105,0.074,0.09	0.209,0.097,0.375,0.891,1.0	-0.409	Kinase
4624	"ENSG00000131051.24"	"RBM39"	chr20	-	35729461	35729527	35729311	35729365	35731940	35732135	4624	242,1319,75,618,523	282,239,63,144,306	172,1793,270,1468,1138	392,23,7,33,17	215	149	3.37773385728e-06	0.00018481127229575355	0.373,0.793,0.452,0.748,0.542	0.233,0.982,0.964,0.969,0.979	-0.244	RBP
4626	"ENSG00000131051.24"	"RBM39"	chr20	-	35729461	35729551	35729311	35729365	35731940	35732135	4626	64,388,23,89,152	282,239,63,144,306	52,573,78,437,349	392,23,7,33,17	239	149	2.08292445358e-06	0.00012232225176287852	0.124,0.503,0.185,0.278,0.236	0.076,0.94,0.874,0.892,0.928	-0.477	RBP
4635	"ENSG00000131051.24"	"RBM39"	chr20	-	35740524	35740597	35738967	35739017	35740823	35740887	4635	28,83,4,38,59	450,825,73,187,520	21,359,32,405,305	500,759,49,511,282	222	149	4.78087569533e-11	1.1648510411284231e-08	0.04,0.063,0.035,0.12,0.071	0.027,0.241,0.305,0.347,0.421	-0.202	RBP
9808	"ENSG00000071626.16"	"DAZAP1"	chr19	+	1425877	1425960	1422347	1422396	1428841	1428995	9808	63,196,10,85,138	80,81,16,39,46	45,1366,132,1364,1064	95,58,25,39,39	232	149	0.000173240108177	0.005071996654871305	0.336,0.608,0.286,0.583,0.658	0.233,0.938,0.772,0.957,0.946	-0.275	RBP
19483	"ENSG00000205937.12"	"RNPS1"	chr16	-	2266109	2266216	2264572	2264760	2267662	2267833	19483	10,18,2,12,19	4,49,0,33,32	9,9,0,0,4	2,136,13,129,105	256	149	0.000451445962405	0.011214741179408775	0.593,0.176,1.0,0.175,0.257	0.724,0.037,0.0,0.0,0.022	0.284	RBP
22377	"ENSG00000104177.18"	"MYEF2"	chr15	-	48152233	48152284	48151873	48151942	48153791	48153893	22377	38,178,36,238,237	60,87,10,98,61	65,621,26,162,87	21,117,9,5,2	200	149	4.41499886346e-05	0.0016205672174430172	0.321,0.604,0.728,0.644,0.743	0.698,0.798,0.683,0.96,0.97	-0.214	RBP
30164	"ENSG00000122965.11"	"RBM19"	chr12	-	113950082	113950154	113948832	113949036	113952511	113952590	30164	106,204,4,126,81	28,1,6,22,22	75,430,16,190,110	26,11,0,2,0	221	149	0.00122047186463	0.025420021578526235	0.718,0.993,0.31,0.794,0.713	0.66,0.963,1.0,0.985,1.0	-0.216	RBP
37751	"ENSG00000101104.12"	"PABPC1L"	chr20	+	44938060	44938191	44936636	44936730	44958336	44958807	37751	22,29,4,55,22	5,11,2,13,7	98,46,34,59,23	4,1,4,0,4	280	149	1.92274747457e-07	1.5985570255371373e-05	0.701,0.584,0.516,0.692,0.626	0.929,0.961,0.819,1.0,0.754	-0.269	RBP
38035	"ENSG00000173933.20"	"RBM4"	chr11	+	66643449	66643528	66639699	66640123	66646026	66646469	38035	215,388,78,197,210	3,52,4,48,37	267,463,163,458,296	17,170,204,119,110	228	149	0.000856228111036	0.01901639917483865	0.979,0.83,0.927,0.728,0.788	0.911,0.64,0.343,0.716,0.637	0.201	RBP
42782	"ENSG00000148840.11"	"PPRC1"	chr10	+	102143044	102143098	102139099	102142004	102146671	102147392	42782	51,30,4,18,9	32,2,0,4,26	18,47,11,82,62	8,3,0,2,0	203	149	0.00125617749207	0.02602216145704785	0.539,0.917,1.0,0.768,0.203	0.623,0.92,1.0,0.968,1.0	-0.217	RBP
42788	"ENSG00000148840.11"	"PPRC1"	chr10	+	102144249	102144307	102143044	102143098	102146671	102147392	42788	26,20,2,4,5	22,0,0,3,2	20,25,1,47,18	0,4,0,0,2	207	149	0.000556599554858	0.013304353022144522	0.46,1.0,1.0,0.49,0.643	1.0,0.818,1.0,1.0,0.866	-0.218	RBP
42790	"ENSG00000148840.11"	"PPRC1"	chr10	+	102145019	102145090	102139099	102142004	102146671	102147392	42790	25,40,4,44,15	32,2,0,4,26	55,78,3,219,107	8,3,0,2,0	220	149	4.00476649105e-05	0.0014961393918758847	0.346,0.931,1.0,0.882,0.281	0.823,0.946,1.0,0.987,1.0	-0.263	RBP
46887	"ENSG00000100722.20"	"ZC3H14"	chr14	+	88596733	88596808	88577984	88578140	88601923	88602083	46887	38,172,7,51,129	23,38,4,4,26	69,532,16,341,228	5,65,0,20,32	224	149	0.00114509618758	0.024135817263747077	0.524,0.751,0.538,0.895,0.767	0.902,0.845,1.0,0.919,0.826	-0.203	RBP
49027	"ENSG00000136527.18"	"TRA2B"	chr3	-	185931576	185931852	185926600	185926734	185937824	185938029	49027	300,65,7,165,770	125,310,16,142,305	67,355,16,115,136	134,1356,124,858,499	298	149	1.49470361144e-06	9.28218730921461e-05	0.545,0.095,0.179,0.367,0.558	0.2,0.116,0.061,0.063,0.12	0.237	RBP
73340	"ENSG00000131773.14"	"KHDRBS3"	chr8	+	135645058	135645117	135581877	135582073	135646992	135647142	73340	192,98,35,110,120	122,11,8,21,166	85,215,243,99,90	40,11,0,0,1	208	149	1.60054048015e-07	1.3745644350501938e-05	0.53,0.865,0.758,0.79,0.341	0.604,0.933,1.0,1.0,0.985	-0.248	RBP
73398	"ENSG00000090097.21"	"PCBP4"	chr3	-	51961940	51962088	51961159	51961270	51962809	51962892	73398	6,10,6,43,26	0,0,0,1,0	10,1,9,18,8	0,3,0,2,3	297	149	0.000885784584009	0.019523549974544738	1.0,1.0,1.0,0.956,1.0	1.0,0.143,1.0,0.819,0.572	0.284	RBP
73405	"ENSG00000090097.21"	"PCBP4"	chr3	-	51962809	51962892	51961940	51962088	51973964	51974016	73405	6,5,3,21,17	0,0,0,0,0	5,1,9,16,7	0,0,0,6,15	232	149	1.88507645111e-05	0.0007843701298456937	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.631,0.231	0.228	RBP
73539	"ENSG00000100813.14"	"ACIN1"	chr14	-	23071124	23071186	23069475	23069617	23071426	23071538	73539	12,21,2,21,20	17,38,13,72,61	61,231,14,128,67	37,311,10,149,83	211	149	3.46063258506e-05	0.0013166584454835529	0.333,0.281,0.098,0.171,0.188	0.538,0.344,0.497,0.378,0.363	-0.21	RBP
86739	"ENSG00000114416.18"	"FXR1"	chr3	+	180933333	180933386	180912490	180912736	180947864	180947936	86739	25,23,4,8,44	33,12,17,2,259	15,20,50,42,34	116,6,0,4,3	202	149	0.00169888267039	0.033306388820071746	0.358,0.586,0.148,0.747,0.111	0.087,0.711,1.0,0.886,0.893	-0.325	RBP
87535	"ENSG00000102317.18"	"RBM3"	chrX	+	48575814	48576083	48575167	48575283	48576313	48576419	87535	280,119,25,31,92	0,0,1,0,0	132,35,1,57,42	0,19,0,10,23	298	149	6.14419626288e-12	1.8866740015139726e-09	1.0,1.0,0.926,1.0,1.0	1.0,0.479,1.0,0.74,0.477	0.246	RBP
87536	"ENSG00000102317.18"	"RBM3"	chrX	+	48575814	48576083	48575560	48575667	48576313	48576419	87536	409,221,42,76,131	2,92,6,113,108	254,63,21,93,64	13,1833,720,3044,1665	298	149	2.96600584093e-08	3.256004186051621e-06	0.99,0.546,0.778,0.252,0.378	0.907,0.017,0.014,0.015,0.019	0.394	RBP
87537	"ENSG00000102317.18"	"RBM3"	chrX	+	48575921	48576083	48575560	48575667	48576313	48576419	87537	231,119,25,29,80	2,92,6,113,108	129,35,1,57,45	13,1833,720,3044,1665	298	149	1.3179441527e-07	1.1667593749352319e-05	0.983,0.393,0.676,0.114,0.27	0.832,0.009,0.001,0.009,0.013	0.314	RBP
95881	"ENSG00000133226.17"	"SRRM1"	chr1	+	24663182	24663224	24662659	24662804	24666814	24666845	95881	28,174,7,118,66	185,219,19,224,191	17,431,21,653,448	85,501,12,324,212	191	149	0.0016457288038	0.032455286430593734	0.106,0.383,0.223,0.291,0.212	0.135,0.402,0.577,0.611,0.622	-0.226	RBP
98900	"ENSG00000173914.12"	"RBM4B"	chr11	-	66666271	66666493	66665547	66665578	66668614	66668685	98900	34,18,2,17,13	8,109,6,28,6	8,7,23,3,1	40,49,48,72,49	298	149	0.000110028026048	0.00347530540498433	0.68,0.076,0.143,0.233,0.52	0.091,0.067,0.193,0.02,0.01	0.254	RBP
99381	"ENSG00000090905.19"	"TNRC6A"	chr16	+	24750725	24750813	24729650	24729846	24776932	24777358	99381	0,2,0,4,2	20,5,2,4,52	0,15,2,14,12	32,21,0,1,10	237	149	0.000419476184431	0.010557533599106607	0.0,0.201,0.0,0.386,0.024	0.0,0.31,1.0,0.898,0.43	-0.405	RBP
99383	"ENSG00000090905.19"	"TNRC6A"	chr16	+	24750725	24750813	24730252	24730300	24776932	24777358	99383	31,74,8,53,23	18,25,4,14,61	23,202,4,97,88	22,17,0,7,10	237	149	0.00137382942216	0.02801802873551744	0.52,0.65,0.557,0.704,0.192	0.397,0.882,1.0,0.897,0.847	-0.28	RBP
99392	"ENSG00000090905.19"	"TNRC6A"	chr16	+	24793472	24793649	24789231	24791817	24794543	24794719	99392	126,369,41,225,152	17,5,0,10,1	211,215,13,115,99	0,257,3,220,223	298	149	9.68250339684e-07	6.399102600279088e-05	0.787,0.974,1.0,0.918,0.987	1.0,0.295,0.684,0.207,0.182	0.46	RBP
109682	"ENSG00000116001.16"	"TIA1"	chr2	-	70228343	70228462	70227734	70227791	70229058	70229091	109682	6,17,2,8,16	0,0,0,0,0	4,7,0,21,20	0,9,1,5,8	268	149	1.4591249986e-08	1.770477523930341e-06	1.0,1.0,1.0,1.0,1.0	1.0,0.302,0.0,0.7,0.582	0.483	RBP
109684	"ENSG00000116001.16"	"TIA1"	chr2	-	70228343	70228462	70227734	70227822	70229058	70229091	109684	9,23,2,8,29	10,43,4,6,25	4,30,1,22,35	25,260,5,91,89	268	149	6.84325525135e-08	6.729338827075261e-06	0.333,0.229,0.218,0.426,0.392	0.082,0.06,0.1,0.118,0.179	0.212	RBP
114485	"ENSG00000164548.11"	"TRA2A"	chr7	-	23522120	23522432	23521706	23521840	23531788	23531980	114485	151,43,3,65,118	61,137,17,41,112	6,167,5,79,46	95,378,51,398,248	298	149	5.5453526755e-06	0.00027811353503058475	0.553,0.136,0.081,0.442,0.345	0.031,0.181,0.047,0.09,0.085	0.225	RBP
114487	"ENSG00000164548.11"	"TRA2A"	chr7	-	23522131	23522432	23521706	23521840	23531788	23532041	114487	122,40,3,62,102	61,137,17,41,112	12,157,1,73,35	95,378,51,398,248	298	149	1.44250824363e-06	9.024930479944809e-05	0.5,0.127,0.081,0.431,0.313	0.059,0.172,0.01,0.084,0.066	0.212	RBP
119544	"ENSG00000015479.19"	"MATR3"	chr5	+	139307238	139308327	139293729	139293805	139316075	139316188	119544	55,337,41,204,230	161,2,2,0,147	102,491,59,467,236	16,0,0,2,0	298	149	0.000896743756424	0.019738368573352344	0.146,0.988,0.911,1.0,0.439	0.761,1.0,1.0,0.992,1.0	-0.254	RBP
119554	"ENSG00000015479.19"	"MATR3"	chr5	+	139314674	139314736	139293679	139293805	139316075	139316188	119554	22,2,2,2,16	161,2,2,0,147	1,38,2,22,25	16,0,0,2,0	211	149	1.58765446765e-05	0.0006759524560829281	0.088,0.414,0.414,1.0,0.071	0.042,1.0,1.0,0.886,1.0	-0.388	RBP
119558	"ENSG00000015479.19"	"MATR3"	chr5	+	139315696	139315738	139293721	139293805	139316075	139316188	119558	65,219,33,85,149	161,2,2,0,147	79,339,86,339,168	16,0,0,2,0	191	149	0.000225504849013	0.006289594970457701	0.24,0.988,0.928,1.0,0.442	0.794,1.0,1.0,0.992,1.0	-0.238	RBP
124021	"ENSG00000139793.18"	"MBNL2"	chr13	+	97366458	97366553	97357481	97357635	97391321	97391599	124021	39,86,15,19,100	38,174,13,22,153	77,106,5,369,75	50,16,0,181,75	244	149	0.00088651569265	0.01953563797996843	0.385,0.232,0.413,0.345,0.285	0.485,0.802,1.0,0.555,0.379	-0.312	RBP
127535	"ENSG00000179134.15"	"SAMD4B"	chr19	+	39354005	39354066	39342395	39342576	39356688	39357089	127535	46,131,13,91,59	9,54,11,24,38	57,236,10,314,154	11,23,3,10,23	210	149	3.3070173111e-07	2.56897628780415e-05	0.784,0.633,0.456,0.729,0.524	0.786,0.879,0.703,0.957,0.826	-0.205	RBP
128209	"ENSG00000122299.12"	"ZC3H7A"	chr16	-	11761405	11761511	11758430	11758539	11761909	11762043	128209	38,241,0,76,102	6,4,2,2,11	11,546,60,469,356	2,9,0,0,0	255	149	0.000532820872514	0.012836999688718124	0.787,0.972,0.0,0.957,0.844	0.763,0.973,1.0,1.0,1.0	-0.235	RBP
128210	"ENSG00000122299.12"	"ZC3H7A"	chr16	-	11761467	11761511	11758430	11758539	11761909	11762043	128210	8,47,0,8,16	6,4,2,2,11	2,119,22,145,100	2,9,0,0,0	193	149	4.92107842576e-06	0.00025264381968464073	0.507,0.901,0.0,0.755,0.529	0.436,0.911,1.0,1.0,1.0	-0.331	RBP
128213	"ENSG00000122299.12"	"ZC3H7A"	chr16	-	11769030	11769095	11768314	11768501	11770782	11770841	128213	7,83,0,13,43	24,3,3,3,30	10,309,21,210,163	20,12,0,3,2	214	149	0.000511225486505	0.012422865616712877	0.169,0.951,0.0,0.751,0.499	0.258,0.947,1.0,0.98,0.983	-0.36	RBP
135514	"ENSG00000185252.19"	"ZNF74"	chr22	+	20395332	20395418	20394150	20394662	20405376	20406968	135514	9,10,4,51,8	7,8,0,11,11	26,51,24,31,19	17,4,0,2,0	235	149	0.00249687755529	0.045896296793524895	0.449,0.442,1.0,0.746,0.316	0.492,0.89,1.0,0.908,1.0	-0.267	RBP
146777	"ENSG00000198000.12"	"NOL8"	chr9	-	92311145	92311259	92310552	92310675	92314266	92316138	146777	41,153,5,76,41	16,13,2,7,9	42,261,28,282,154	9,7,0,0,1	263	149	4.54448004783e-08	4.718286477729463e-06	0.592,0.87,0.586,0.86,0.721	0.726,0.955,1.0,1.0,0.989	-0.208	RBP
149603	"ENSG00000151657.12"	"KIN"	chr10	-	7774830	7774891	7769215	7769345	7778837	7779019	149603	27,29,7,10,18	13,0,4,12,8	21,45,15,31,36	22,0,0,0,0	210	149	0.000188051493084	0.0054177965140875094	0.596,1.0,0.554,0.372,0.615	0.404,1.0,1.0,1.0,1.0	-0.253	RBP
803	"ENSG00000147099.21"	"HDAC8"	chrX	-	72494195	72494381	72484850	72489041	72495155	72495268	803	23,7,0,14,10	1,1,2,2,4	25,2,0,2,1	14,10,7,2,2	298	149	0.000871981958534	0.01930101378328675	0.92,0.778,0.0,0.778,0.556	0.472,0.091,0.0,0.333,0.2	0.387	Epi
4063	"ENSG00000101126.18"	"ADNP"	chr20	-	50904765	50904849	50903888	50904001	50918738	50918781	4063	4,1,1,2,15	0,1,0,0,0	0,30,3,23,47	3,4,0,6,6	233	149	1.88054203745e-05	0.0007827335393473153	1.0,0.39,1.0,1.0,1.0	0.0,0.827,1.0,0.71,0.834	0.204	Epi
12856	"ENSG00000011258.16"	"MBTD1"	chr17	-	51202021	51202077	51201591	51201696	51202700	51202935	12856	6,30,11,14,33	37,18,4,18,18	10,181,8,77,72	34,4,0,0,4	205	149	5.80468317868e-06	0.0002891149698283938	0.105,0.548,0.667,0.361,0.571	0.176,0.97,1.0,1.0,0.929	-0.365	Epi
13950	"ENSG00000276234.5"	"TADA2A"	chr17	+	37426949	37427009	37423508	37423615	37440504	37440579	13950	4,8,4,8,11	5,5,0,4,3	4,73,13,19,9	1,2,0,0,0	209	149	8.16420442362e-09	1.0769470710614283e-06	0.363,0.533,1.0,0.588,0.723	0.74,0.963,1.0,1.0,1.0	-0.299	Epi
14233	"ENSG00000178691.11"	"SUZ12"	chr17	+	31947616	31947685	31937006	31937520	31966146	31966196	14233	61,8,0,0,33	43,4,1,5,12	10,185,2,48,46	20,1,0,0,2	218	149	1.63814782054e-05	0.0006935944508716288	0.492,0.578,0.0,0.0,0.653	0.255,0.992,1.0,1.0,0.94	-0.493	Epi
15327	"ENSG00000178999.13"	"AURKB"	chr17	-	8210176	8210225	8207737	8207840	8210529	8210584	15327	7,3,5,24,11	1,0,0,0,0	17,335,3,28,55	2,60,0,26,35	198	149	1.84561277372e-09	2.981282886938575e-07	0.84,1.0,1.0,1.0,1.0	0.865,0.808,1.0,0.448,0.542	0.235	Epi
29404	"ENSG00000183495.14"	"EP400"	chr12	+	132021078	132021321	132020048	132020218	132023776	132023941	29404	129,163,13,369,90	161,86,31,146,70	115,830,2,561,343	286,78,0,23,1	298	149	1.47090367778e-05	0.0006324497200536489	0.286,0.487,0.173,0.558,0.391	0.167,0.842,1.0,0.924,0.994	-0.406	Epi
30771	"ENSG00000139372.15"	"TDG"	chr12	+	103983135	103983218	103982798	103982934	103983294	103983389	30771	10,25,10,20,17	33,6,0,4,6	10,436,3,248,230	6,4,0,6,0	232	149	1.79129626721e-06	0.00010742496950975272	0.163,0.728,1.0,0.763,0.645	0.517,0.986,1.0,0.964,1.0	-0.234	Epi
41991	"ENSG00000139613.12"	"SMARCC2"	chr12	-	56172936	56173029	56172584	56172704	56173695	56173849	41991	214,639,64,640,729	245,502,75,189,226	283,368,139,217,87	382,776,67,470,294	242	149	0.0012946781917	0.026671190165597027	0.35,0.439,0.344,0.676,0.665	0.313,0.226,0.561,0.221,0.154	0.2	Epi
42966	"ENSG00000149929.16"	"HIRIP3"	chr16	-	29993905	29994843	29993639	29993808	29995102	29995217	42966	90,277,39,372,145	5,31,2,36,8	107,633,195,76,68	13,174,61,34,22	298	149	1.71851111119e-09	2.810845133574036e-07	0.9,0.817,0.907,0.838,0.901	0.805,0.645,0.615,0.528,0.607	0.233	Epi
42967	"ENSG00000149929.16"	"HIRIP3"	chr16	-	29994647	29994843	29993639	29993808	29995102	29995217	42967	42,162,29,209,79	5,31,2,36,8	46,337,82,40,45	13,174,61,34,22	298	149	1.03362707282e-09	1.7991191226319884e-07	0.808,0.723,0.879,0.744,0.832	0.639,0.492,0.402,0.37,0.506	0.315	Epi
45677	"ENSG00000156983.16"	"BRPF1"	chr3	+	9744223	9744508	9743577	9743901	9745007	9745155	45677	126,159,13,64,92	1,0,0,0,0	109,361,5,245,174	4,28,5,17,11	298	149	7.44416306375e-10	1.3368279368937863e-07	0.984,1.0,1.0,1.0,1.0	0.932,0.866,0.333,0.878,0.888	0.217	Epi
46185	"ENSG00000132600.16"	"PRMT7"	chr16	+	68321425	68321462	68315194	68316074	68324682	68324766	46185	5,90,7,50,33	15,16,16,27,27	34,210,44,158,107	49,45,0,22,4	186	149	0.00062683898704	0.014681044928343198	0.211,0.818,0.26,0.597,0.495	0.357,0.789,1.0,0.852,0.955	-0.314	Epi
47163	"ENSG00000171720.10"	"HDAC3"	chr5	-	141625684	141625764	141624861	141625365	141626193	141626283	47163	53,111,3,39,46	39,3,4,3,27	38,271,128,333,196	37,3,10,1,0	229	149	0.000407771453915	0.010304777215434267	0.469,0.96,0.328,0.894,0.526	0.401,0.983,0.893,0.995,1.0	-0.219	Epi
54137	"ENSG00000101266.19"	"CSNK2A1"	chr20	-	527932	528049	526695	526942	543671	543712	54137	6,48,6,8,24	2,0,2,4,2	5,151,14,32,53	0,0,0,0,0	266	149	6.9265670042e-05	0.0023552136789731603	0.627,1.0,0.627,0.528,0.87	1.0,1.0,1.0,1.0,1.0	-0.27	Epi
61274	"ENSG00000100601.10"	"ALKBH1"	chr14	-	77694737	77694900	77679879	77679970	77704368	77704452	61274	22,74,10,13,48	9,14,0,4,26	30,179,24,122,104	2,5,0,6,3	298	149	6.65716068937e-08	6.576143346837759e-06	0.55,0.725,1.0,0.619,0.48	0.882,0.947,1.0,0.91,0.945	-0.262	Epi
