sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"EFTUD2","Approved symbol","EFTUD2","elongation factor Tu GTP binding domain containing 2","HGNC:30858","17q21.31"
"EIF4A3","Approved symbol","EIF4A3","eukaryotic translation initiation factor 4A3","HGNC:18683","17q25.3"
"FAM32A","Approved symbol","FAM32A","family with sequence similarity 32 member A","HGNC:24563","19p13.11"
"FAM50A","Approved symbol","FAM50A","family with sequence similarity 50 member A","HGNC:18786","Xq28"
"FRA10AC1","Approved symbol","FRA10AC1","FRA10A associated CGG repeat 1","HGNC:1162","10q23.33"
"GPATCH1","Approved symbol","GPATCH1","G-patch domain containing 1","HGNC:24658","19q13.11"
"GPKOW","Approved symbol","GPKOW","G-patch domain and KOW motifs","HGNC:30677","Xp11.23"
"HNRNPA1","Approved symbol","HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","HGNC:5031","12q13.13"
"HNRNPAB","Approved symbol","HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B","HGNC:5034","5q35.3"
"HNRNPC","Approved symbol","HNRNPC","heterogeneous nuclear ribonucleoprotein C","HGNC:5035","14q11.2"
"HSPA8","Approved symbol","HSPA8","heat shock protein family A (Hsp70) member 8","HGNC:5241","11q24.1"
"IK","Approved symbol","IK","IK cytokine","HGNC:5958","5q31.3"
"IK","Alias symbol","KCNN4","potassium calcium-activated channel subfamily N member 4","HGNC:6293","19q13.31"
"ISY1","Approved symbol","ISY1","ISY1 splicing factor homolog","HGNC:29201","3q21.3"
"ISY1","Alias symbol","RAB43","RAB43, member RAS oncogene family","HGNC:19983","3q21.3"
"LENG1","Approved symbol","LENG1","leukocyte receptor cluster member 1","HGNC:15502","19q13.42"
"LSM2","Approved symbol","LSM2","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated","HGNC:13940","6p21.33"
"LSM3","Approved symbol","LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated","HGNC:17874","3p25.1"
"LSM4","Approved symbol","LSM4","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated","HGNC:17259","19p13.11"
"LSM5","Approved symbol","LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated","HGNC:17162","7p14.3"
"LSM6","Approved symbol","LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","HGNC:17017","4q31.22"
"LSM7","Approved symbol","LSM7","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated","HGNC:20470","19p13.3"
"LSM8","Approved symbol","LSM8","LSM8 homolog, U6 small nuclear RNA associated","HGNC:20471","7q31.31"
"MAGOH","Approved symbol","MAGOH","mago homolog, exon junction complex subunit","HGNC:6815","1p32.3"
"MFAP1","Approved symbol","MFAP1","microfibril associated protein 1","HGNC:7032","15q15.3"
"NOSIP","Approved symbol","NOSIP","nitric oxide synthase interacting protein","HGNC:17946","19q13.33"
"PHF5A","Approved symbol","PHF5A","PHD finger protein 5A","HGNC:18000","22q13.2"
"PLRG1","Approved symbol","PLRG1","pleiotropic regulator 1","HGNC:9089","4q31.3"
"PPIE","Approved symbol","PPIE","peptidylprolyl isomerase E","HGNC:9258","1p34.2"
"PPIG","Approved symbol","PPIG","peptidylprolyl isomerase G","HGNC:14650","2q31.1"
"PPIH","Approved symbol","PPIH","peptidylprolyl isomerase H","HGNC:14651","1p34.2"
"PPIL1","Approved symbol","PPIL1","peptidylprolyl isomerase like 1","HGNC:9260","6p21.2"
"PPIL3","Approved symbol","PPIL3","peptidylprolyl isomerase like 3","HGNC:9262","2q33.1"
"PPWD1","Approved symbol","PPWD1","peptidylprolyl isomerase domain and WD repeat containing 1","HGNC:28954","5q12.3"
"PQBP1","Approved symbol","PQBP1","polyglutamine binding protein 1","HGNC:9330","Xp11.23"
"PRPF18","Approved symbol","PRPF18","pre-mRNA processing factor 18","HGNC:17351","10p13"
"PRPF19","Approved symbol","PRPF19","pre-mRNA processing factor 19","HGNC:17896","11q12.2"
"PRPF3","Approved symbol","PRPF3","pre-mRNA processing factor 3","HGNC:17348","1q21.2"
"PRPF31","Approved symbol","PRPF31","pre-mRNA processing factor 31","HGNC:15446","19q13.42"
"PRPF38A","Approved symbol","PRPF38A","pre-mRNA processing factor 38A","HGNC:25930","1p32.3"
"PRPF4","Approved symbol","PRPF4","pre-mRNA splicing tri-snRNP complex factor PRPF4","HGNC:17349","9q32"
"PRPF40A","Approved symbol","PRPF40A","pre-mRNA processing factor 40 homolog A","HGNC:16463","2q23.3"
"PRPF6","Approved symbol","PRPF6","pre-mRNA processing factor 6","HGNC:15860","20q13.33"
"PRPF8","Approved symbol","PRPF8","pre-mRNA processing factor 8","HGNC:17340","17p13.3"
"PUF60","Approved symbol","PUF60","poly(U) binding splicing factor 60","HGNC:17042","8q24.3"
"RBM10","Approved symbol","RBM10","RNA binding motif protein 10","HGNC:9896","Xp11.3"
"RBM17","Approved symbol","RBM17","RNA binding motif protein 17","HGNC:16944","10p15.1"
"RBM22","Approved symbol","RBM22","RNA binding motif protein 22","HGNC:25503","5q33.1"
"RBM25","Approved symbol","RBM25","RNA binding motif protein 25","HGNC:23244","14q24.2"
"RBM5","Approved symbol","RBM5","RNA binding motif protein 5","HGNC:9902","3p21.31"
"RBM8A","Approved symbol","RBM8A","RNA binding motif protein 8A","HGNC:9905","1q21.1"
"RNF113A","Approved symbol","RNF113A","ring finger protein 113A","HGNC:12974","Xq24"
"RNU2-1","Approved symbol","RNU2-1","RNA, U2 small nuclear 1","HGNC:10142","17q12"
"RNU4-1","Approved symbol","RNU4-1","RNA, U4 small nuclear 1","HGNC:10192","12q24.31"
"RNU5A-1","Approved symbol","RNU5A-1","RNA, U5A small nuclear 1","HGNC:10211","15q22.31"
"RNU6-1","Approved symbol","RNU6-1","RNA, U6 small nuclear 1","HGNC:10227","15q23"
"SAP18","Approved symbol","SAP18","Sin3A associated protein 18","HGNC:10530","13q12.11"
"SART1","Approved symbol","SART1","spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP","HGNC:10538","11q13.1"
"SDE2","Approved symbol","SDE2","SDE2 telomere maintenance homolog","HGNC:26643","1q42.12"
"SF1","Approved symbol","SF1","splicing factor 1","HGNC:12950","11q13.1"
"SF1","Alias symbol","NR5A1","nuclear receptor subfamily 5 group A member 1","HGNC:7983","9q33.3"
"SF3A1","Approved symbol","SF3A1","splicing factor 3a subunit 1","HGNC:10765","22q12.2"
"SF3A2","Approved symbol","SF3A2","splicing factor 3a subunit 2","HGNC:10766","19p13.3"
"SF3A3","Approved symbol","SF3A3","splicing factor 3a subunit 3","HGNC:10767","1p34.3"
"SF3B1","Approved symbol","SF3B1","splicing factor 3b subunit 1","HGNC:10768","2q33.1"
"SF3B1","Alias symbol","SF3B2","splicing factor 3b subunit 2","HGNC:10769","11q13.1"
"SF3B2","Approved symbol","SF3B2","splicing factor 3b subunit 2","HGNC:10769","11q13.1"
"SF3B3","Approved symbol","SF3B3","splicing factor 3b subunit 3","HGNC:10770","16q22.1"
"SF3B4","Approved symbol","SF3B4","splicing factor 3b subunit 4","HGNC:10771","1q21.2"
"SF3B5","Approved symbol","SF3B5","splicing factor 3b subunit 5","HGNC:21083","6q24.2"
"SF3B6","Approved symbol","SF3B6","splicing factor 3b subunit 6","HGNC:30096","2p23.3"
"SLU7","Approved symbol","SLU7","SLU7 homolog, splicing factor","HGNC:16939","5q33.3"
"SMNDC1","Approved symbol","SMNDC1","survival motor neuron domain containing 1","HGNC:16900","10q25.2"
"SMU1","Approved symbol","SMU1","SMU1 DNA replication regulator and spliceosomal factor","HGNC:18247","9p21.1"
"SNIP1","Approved symbol","SNIP1","Smad nuclear interacting protein 1","HGNC:30587","1p34.3"
"SNRNP200","Approved symbol","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200","HGNC:30859","2q11.2"
"SNRNP40","Approved symbol","SNRNP40","small nuclear ribonucleoprotein U5 subunit 40","HGNC:30857","1p35.2"
"SNRNP70","Approved symbol","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70","HGNC:11150","19q13.33"
"SNRPA","Approved symbol","SNRPA","small nuclear ribonucleoprotein polypeptide A","HGNC:11151","19q13.2"
"SNRPA1","Approved symbol","SNRPA1","small nuclear ribonucleoprotein polypeptide A'","HGNC:11152","15q26.3"
"SNRPB","Approved symbol","SNRPB","small nuclear ribonucleoprotein polypeptides B and B1","HGNC:11153","20p13"
"SNRPB2","Approved symbol","SNRPB2","small nuclear ribonucleoprotein polypeptide B2","HGNC:11155","20p12.1"
"SNRPC","Approved symbol","SNRPC","small nuclear ribonucleoprotein polypeptide C","HGNC:11157","6p21.31"
"SNRPD1","Approved symbol","SNRPD1","small nuclear ribonucleoprotein D1 polypeptide","HGNC:11158","18q11.2"
"SNRPD1","Previous symbol","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide","HGNC:11159","19q13.2-q13.3"
"SNRPD2","Approved symbol","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide","HGNC:11159","19q13.2-q13.3"
"SNRPD3","Approved symbol","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","HGNC:11160","22q11.23"
"SNRPE","Approved symbol","SNRPE","small nuclear ribonucleoprotein polypeptide E","HGNC:11161","1q32.1"
"SNRPF","Approved symbol","SNRPF","small nuclear ribonucleoprotein polypeptide F","HGNC:11162","12q23.1"
"SNRPG","Approved symbol","SNRPG","small nuclear ribonucleoprotein polypeptide G","HGNC:11163","2p13.3"
"SNRPN","Approved symbol","SNRPN","small nuclear ribonucleoprotein polypeptide N","HGNC:11164","15q11.2"
"SNW1","Approved symbol","SNW1","SNW domain containing 1","HGNC:16696","14q24.3"
"SRRM2","Approved symbol","SRRM2","serine/arginine repetitive matrix 2","HGNC:16639","16p13.3"
"SUGP1","Approved symbol","SUGP1","SURP and G-patch domain containing 1","HGNC:18643","19p13.11"
"SYF2","Approved symbol","SYF2","SYF2 pre-mRNA splicing factor","HGNC:19824","1p36.11"
"TFIP11","Approved symbol","TFIP11","tuftelin interacting protein 11","HGNC:17165","22q12.1"
"THRAP3","Approved symbol","THRAP3","thyroid hormone receptor associated protein 3","HGNC:22964","1p34.3"
"TXNL4A","Approved symbol","TXNL4A","thioredoxin like 4A","HGNC:30551","18q23"
"U2AF1","Approved symbol","U2AF1","U2 small nuclear RNA auxiliary factor 1","HGNC:12453","21q22.3"
"U2AF2","Approved symbol","U2AF2","U2 small nuclear RNA auxiliary factor 2","HGNC:23156","19q13.42"
"U2SURP","Approved symbol","U2SURP","U2 snRNP associated SURP domain containing","HGNC:30855","3q23"
"USP39","Approved symbol","USP39","ubiquitin specific peptidase 39","HGNC:20071","2p11.2"
"WBP11","Approved symbol","WBP11","WW domain binding protein 11","HGNC:16461","12p12.3"
"WBP4","Approved symbol","WBP4","WW domain binding protein 4","HGNC:12739","13q14.11"
"WDR83","Approved symbol","WDR83","WD repeat domain 83","HGNC:32672","19p13.13"
"XAB2","Approved symbol","XAB2","XPA binding protein 2","HGNC:14089","19p13.2"
"ZMAT2","Approved symbol","ZMAT2","zinc finger matrin-type 2","HGNC:26433","5q31.3"
"ZNF830","Approved symbol","ZNF830","zinc finger protein 830","HGNC:28291","17q12"
