gene	dPSI	Uniprot	Preference	Exon Coordinates
WNK1	0.674478873239437	Other	Skipping	904453-904494
WNK1	0.780471698113207	Other	Skipping	904453-904494
BMPR1B	0.939333333333333	DisulfBond	Skipping	95114720-95114822
BMPR1B	0.836666666666667	DisulfBond	Skipping	95114720-95114827
MYLK	0.508186206896552	DisulfBond	Skipping	123732896-123733102
SPEG	0.836291666666666	DisulfBond	Skipping	219488498-219488665
ETNK2	0.880222222222222	LocSignal	Skipping	204149703-204149962
AAK1	0.377910256410256	Modifications	Inclusion	69480860-69480961
AAK1	0.187103448275862	Modifications	Inclusion	69480860-69480961
CAMK2G	0.254481366459627	Modifications	Inclusion	73819532-73819617
CAMK2G	0.453015015015015	Modifications	Inclusion	73819532-73819645
CAMK2G	0.434938202247191	Modifications	Inclusion	73828089-73828121
CAMK2G	0.0897314285714286	Modifications	Inclusion	73828089-73828121
CDKL3	0.298863247863248	Modifications	Inclusion	134350249-134350427
GRK4	0.476	Modifications	Inclusion	3037374-3037511
MELK	0.815776	Modifications	Inclusion	36657241-36657363
MINK1	0.290393442622951	Modifications	Inclusion	4892402-4892512
MKNK1	0.570643564356436	Modifications	Inclusion	46560234-46560277
MKNK2	0.443774509803922	Modifications	Inclusion	2039631-2039856
MKNK2	0.443774509803922	Modifications	Inclusion	2039631-2039856
MYLK	0.508186206896552	Modifications	Inclusion	123732896-123733102
NAXD	0.427	Modifications	Inclusion	110624234-110624279
NEK4	0.624909937888198	Modifications	Inclusion	52749692-52749829
PAK4	0.579419689119171	Modifications	Inclusion	39172918-39173106
PAK4	0.707634020618557	Modifications	Inclusion	39172918-39173376
PRKD3	0.747703422053232	Modifications	Inclusion	37316237-37317179
PRKDC	0.733858858858859	Modifications	Inclusion	47782162-47782254
SCYL3	0.15170987654321	Modifications	Inclusion	169855796-169855957
TLK2	0.538753205128205	Modifications	Inclusion	62524236-62524331
TTN	0.237	Modifications	Inclusion	178739141-178741921
CAMK1	0.0916581632653061	Other	Inclusion	9766125-9766213
CAMK2G	0.0918217821782178	Other	Inclusion	73839539-73839601
CAMK2G	0.0312282608695652	Other	Inclusion	73873390-73873523
CDC42BPA	0.155670454545455	Other	Inclusion	227219263-227219420
CDK10	0.476168253968254	Other	Inclusion	89689252-89689324
CDKL3	0.298863247863248	Other	Inclusion	134350249-134350427
CSNK1D	0.0453896713615023	Other	Inclusion	82249698-82250179
DCLK2	0.054008547008547	Other	Inclusion	150199028-150199078
EPHB1	0.0223333333333333	Other	Inclusion	134977966-134978077
GRK4	0.517830357142857	Other	Inclusion	2988727-2988839
HIPK3	0.16873063973064	Other	Inclusion	33348166-33348228
IRAK4	0.318942622950819	Other	Inclusion	43771220-43771365
LMTK3	0.433456621004566	Other	Inclusion	48509135-48509248
MAP2K3	0.0897215909090909	Other	Inclusion	21296086-21296210
MAP2K7	0.0552333333333333	Other	Inclusion	7904451-7904548
MAP2K7	0.136869918699187	Other	Inclusion	7905808-7905855
MAP3K11	0.0629	Other	Inclusion	65605593-65605642
MAP3K11	0.0629	Other	Inclusion	65605593-65605642
MAST4	0.21240404040404	Other	Inclusion	67149389-67149589
MELK	0.815776	Other	Inclusion	36657241-36657363
MINK1	0.171979274611399	Other	Inclusion	4890222-4890308
MINK1	0.290393442622951	Other	Inclusion	4892402-4892512
MKNK2	0.443774509803922	Other	Inclusion	2039631-2039856
MKNK2	0.443774509803922	Other	Inclusion	2039631-2039856
PAK3	0.134666666666667	Other	Inclusion	111144860-111144922
PAK3	0.174382978723404	Other	Inclusion	111146521-111146565
PAK4	0.579419689119171	Other	Inclusion	39172918-39173106
PAK4	0.707634020618557	Other	Inclusion	39172918-39173376
PAPSS1	0.00609090909090909	Other	Inclusion	107718342-107718396
PRKCA	0.0169473684210526	Other	Inclusion	66554519-66554579
PTK2	0.468568862275449	Other	Inclusion	140669727-140669735
SMG1	0.261139664804469	Other	Inclusion	18899987-18900044
STK32B	0.0353698630136986	Other	Inclusion	5140197-5140306
STK33	0.856045871559633	Other	Inclusion	8440678-8440753
TAF1	0.160642857142857	Other	Inclusion	71455007-71455012
TAF1	0.233733944954129	Other	Inclusion	71459150-71459251
TNIK	0.469663580246914	Other	Inclusion	171107183-171107206
TNK2	0.0539087452471483	Other	Inclusion	195885413-195885543
TTN	0.4581	Other	Inclusion	178642237-178642317
TTN	0.364933333333333	Other	Inclusion	178665708-178665791
TTN	0.326428571428571	Other	Inclusion	178669373-178669447
WNK1	0.0810379746835442	Other	Inclusion	867866-869104
WNK1	0.0851125	Other	Inclusion	867866-869104
WNK1	0.291730769230769	Other	Inclusion	880721-880999
WNK1	0.119766233766234	Other	Inclusion	904453-904494
WNK1	0.780471698113207	Other	Inclusion	904453-904494
INSR	0.106606451612903	DisulfBond	Inclusion	7150497-7150532
MYLK	0.508186206896552	DisulfBond	Inclusion	123732896-123733102
WNK1	0.0810379746835442	LocSignal	Inclusion	867866-869104
WNK1	0.0851125	LocSignal	Inclusion	867866-869104
