gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str
ZNF135	ZNF135_58059974-58060035_58059268-58059310_58061579-58061706	-0.633428571428571	0.129844595758233	7		chr19:58059974-58060035	+
ZNF549	ZNF549_57535144-57535270_57531069-57531108_57552384-57557542	-0.857258064516129	0.0769484536305249	31		chr19:57535144-57535270	+
AC004076.1	AC004076.1_57455653-57455743_57437969-57438092_57476633-57476672	-0.771	0.275686416059987	3		chr19:57455653-57455743	-
ZNF749	ZNF749_57441885-57442011_57435324-57435593_57443290-57447101	-0.6765	0.0516187950266179	2		chr19:57441885-57442011	+
ZNF667	ZNF667_56474012-56474124_56471698-56472187_56477271-56477345	-0.859583333333333	0.213455321419786	12		chr19:56474012-56474124	-
ZNF444	ZNF444_56142276-56142386_56141726-56141794_56146246-56146420	-0.451142857142857	0.270526294822659	7		chr19:56142276-56142386	+
LAIR1	LAIR1_54364295-54364486_54360958-54361243_54364770-54364836	-1	0	23		chr19:54364295-54364486	-
ZNF530	ZNF530_57604277-57604406_57599884-57600134_57612502-57612722	-0.51875	0.0498489384708107	4		chr19:57604277-57604406	+
ZNF615	ZNF615_52000358-52000378_51994807-51994837_52001812-52001908	-0.449285714285714	0.129170061399323	7		chr19:52000358-52000378	-
LMTK3	LMTK3_48509135-48509248_48508850-48508969_48509436-48509513	-0.414107142857143	0.161552729446254	28		chr19:48509135-48509248	-
CARD8	CARD8_48206384-48206520_48203145-48204243_48215339-48215384	-0.564136363636364	0.215099156637461	22		chr19:48206384-48206520	-
DMPK	DMPK_45780323-45780381_45779777-45779869_45782192-45782552	-0.307666666666667	0.11152931398869	12		chr19:45780323-45780381	-
TMEM91	TMEM91_41383561-41383632_41382771-41382921_41383873-41384080	-0.481692307692308	0.149782277887709	13		chr19:41383561-41383632	+
PLD3	PLD3_40365553-40365585_40348703-40348768_40366383-40366510	-0.747714285714286	0.197778254859421	7		chr19:40365553-40365585	+
PLD3	PLD3_40365553-40365930_40348689-40348768_40366418-40366464	-0.376583333333333	0.0958022889675846	36		chr19:40365553-40365930	+
PLD3	PLD3_40365662-40365930_40348699-40348768_40366418-40366510	-0.390027777777778	0.111770552245242	36		chr19:40365662-40365930	+
PLD3	PLD3_40365718-40365930_40348684-40348768_40366418-40366464	-0.397527777777778	0.107007205661544	36		chr19:40365718-40365930	+
AKT2	AKT2_40269423-40269540_40265221-40265351_40270497-40270769	-0.601	0.197296730839616	9		chr19:40269423-40269540	-
SUPT5H	SUPT5H_39458294-39458305_39457674-39457740_39458817-39458887	-0.574666666666667	0.0589055145900858	39		chr19:39458294-39458305	+
LINC01535	LINC01535_37257231-37257394_37256726-37256814_37265285-37265535	-0.961666666666667	0.0597215762238964	6		chr19:37257231-37257394	+
LINC01535	LINC01535_37262542-37262655_37255898-37255982_37265285-37265473	-0.950947368421053	0.108521617756408	19		chr19:37262542-37262655	+
ZNF529	ZNF529_36551877-36551977_36543615-36548322_36554669-36554796	-0.273666666666667	0.0532717447422063	12		chr19:36551877-36551977	-
AD000671.2	AD000671.2_35740380-35740564_35739709-35740088_35741023-35741228	-0.46565	0.0881310477581389	20		chr19:35740380-35740564	-
PDCD5	PDCD5_32585816-32585907_32582194-32582232_32587252-32587414	-0.452	0.142835569799683	2		chr19:32585816-32585907	+
ZNF681	ZNF681_23754823-23754897_23744963-23745323_23758746-23758837	-0.374153846153846	0.22208063331211	13		chr19:23754823-23754897	-
ZNF681	ZNF681_23754823-23754918_23739194-23745323_23758746-23758840	-0.401272727272727	0.248048417281823	22		chr19:23754823-23754918	-
ZNF431	ZNF431_21151079-21151198_21143550-21143643_21166334-21166461	-0.3465	0.216826351412061	4		chr19:21151079-21151198	+
NFIX	NFIX_13078613-13078735_13075534-13075671_13081679-13081835	-0.224757575757576	0.0114755999381032	33		chr19:13078613-13078735	+
ZNF490	ZNF490_12609870-12609974_12609157-12609202_12610563-12610803	-0.311333333333333	0.0440893033134644	6		chr19:12609870-12609974	-
ZNF44	ZNF44_12272487-12274063_12250241-12250368_12274972-12275033	-0.545638888888889	0.164379204937465	36		chr19:12272487-12274063	-
ZNF561	ZNF561_9620916-9621049_9619431-9619582_9621161-9621205	-0.294076923076923	0.0564350091380364	13		chr19:9620916-9621049	-
ZNF177	ZNF177_9371610-9371752_9364861-9364948_9376315-9376423	-0.553947368421053	0.152921981056305	38		chr19:9371610-9371752	+
ARVCF	ARVCF_19971216-19971335_19969895-19970743_19971885-19971971	-0.329393939393939	0.0680505048630884	33		chr22:19971216-19971335	-
CAMSAP3	CAMSAP3_7607821-7607868_7606776-7606809_7608125-7608264	-0.50225	0.109024804034389	20		chr19:7607821-7607868	+
RFX2	RFX2_6026163-6026237_6016089-6016271_6039979-6040241	-0.3018	0.0217500957852297	10		chr19:6026163-6026237	-
RELCH	RELCH_62221037-62221108_62211152-62211242_62221218-62221274	-0.251227272727273	0.0106455079647164	22		chr18:62221037-62221108	+
ZNF532	ZNF532_58948067-58948229_58918270-58920633_58953517-58953799	-0.256357142857143	0.0149543260674585	14		chr18:58948067-58948229	+
ZNF532	ZNF532_58953518-58953799_58939444-58939621_58979054-58979167	-0.287282051282051	0.015099579495624	39		chr18:58953518-58953799	+
TCF4	TCF4_55587045-55587136_55585279-55585352_55589296-55589746	-0.331761904761905	0.0415715103910175	21		chr18:55587045-55587136	-
AQP4-AS1	AQP4-AS1_26892871-26892992_26865218-26865360_26924759-26924845	-0.601727272727273	0.145076116385346	33		chr18:26892871-26892992	+
EPB41L3	EPB41L3_5400969-5401043_5397057-5397426_5406776-5406968	-0.448888888888889	0.115308764242407	9		chr18:5400969-5401043	-
NOTUM	NOTUM_81958935-81958995_81958334-81958393_81959470-81959566	-0.736923076923077	0.00388290137357661	13		chr17:81958935-81958995	-
AC087741.1	AC087741.1_80204499-80204596_80203777-80203965_80205332-80205476	-0.5262	0.24194526470074	10		chr17:80204499-80204596	-
CANT1	CANT1_79000100-79000270_78997392-78997963_79005371-79005481	-0.717	0.224546103018851	22		chr17:79000100-79000270	-
ZNF211	ZNF211_57634023-57634061_57633167-57633436_57634628-57634755	-0.541193548387097	0.186824056151742	31		chr19:57634023-57634061	+
ITGB4	ITGB4_75755055-75755213_75754575-75754815_75756428-75756617	-0.389	0.0786854968047315	28		chr17:75755055-75755213	+
BCAS3	BCAS3_61380506-61380571_61368326-61368494_61388617-61388708	-0.641935483870968	0.128953204815771	31		chr17:61380506-61380571	+
CLTC	CLTC_59687001-59687021_59685586-59685808_59690635-59690711	-0.293545454545454	0.0401410931503784	22		chr17:59687001-59687021	+
TEX14	TEX14_58615232-58615345_58613420-58613544_58616174-58616305	-0.913607142857143	0.116952456084201	28		chr17:58615232-58615345	-
PTPRS	PTPRS_5216720-5216767_5215497-5215595_5218419-5218532	-0.411242424242424	0.114409907324232	33		chr19:5216720-5216767	-
ACSF2	ACSF2_50472428-50472579_50470930-50471135_50473664-50473790	-0.335709677419355	0.0680113684361603	31		chr17:50472428-50472579	+
SP2	SP2_47897815-47897927_47896181-47896293_47915311-47915388	-0.287444444444444	0.0676260140609942	9		chr17:47897815-47897927	+
GOSR2	GOSR2_46935029-46935169_46932066-46932199_46938598-46938602	-0.254833333333333	0.0415294522272911	30		chr17:46935029-46935169	+
GOSR2	GOSR2_46935029-46935225_46932066-46932199_46938598-46939806	-0.294916666666667	0.06799099471488	24		chr17:46935029-46935225	+
AC008105.3	AC008105.3_45220868-45220914_45220266-45220454_45221348-45221765	-0.384	0.0678822509939085	2		chr17:45220868-45220914	-
GFAP	GFAP_44903959-44905149_44903197-44903559_44908063-44908076	-0.865472222222222	0.128215997689415	36		chr17:44903959-44905149	-
AC060780.1	AC060780.1_43159423-43159727_43148367-43148783_43170125-43170316	-0.506333333333333	0.232023578923502	18		chr17:43159423-43159727	-
KDM4B	KDM4B_5119118-5119219_5110621-5110818_5119652-5119682	-0.3978	0.0862751812316365	30		chr19:5119118-5119219	+
PTGES3L	PTGES3L_42971607-42971696_42970288-42970342_42979169-42979268	-0.96655	0.0755732304317788	20		chr17:42971607-42971696	-
SMARCE1	SMARCE1_40642118-40642559_40637491-40637572_40645575-40645619	-0.307055555555556	0.0428203802799585	18		chr17:40642118-40642559	-
SLFN5	SLFN5_35264183-35264903_35260970-35261096_35265071-35273655	-0.4968	0.00691995045399274	15		chr17:35264183-35264903	+
CRLF3	CRLF3_30792440-30792572_30785918-30786031_30793449-30793672	-0.285363636363636	0.00813968951831366	11		chr17:30792440-30792572	-
CORO6	CORO6_29619651-29619773_29619059-29619189_29621223-29621421	-0.271818181818182	0.0255531531589281	11		chr17:29619651-29619773	-
FBF1	FBF1_75939818-75939882_75938172-75938232_75940847-75941038	-0.393375	0.0827734860930721	16		chr17:75939818-75939882	-
SLC46A1	SLC46A1_28402238-28402321_28400609-28400766_28404615-28405468	-0.301272727272727	0.0542329990118395	11		chr17:28402238-28402321	-
EPN2	EPN2_19328711-19328887_19312051-19312144_19331852-19331973	-0.5698	0.00464758001544888	15		chr17:19328711-19328887	+
FBXW10	FBXW10_18756045-18756154_18750930-18751053_18758304-18758505	-0.795	0.289913780286485	2		chr17:18756045-18756154	+
ALOX12-AS1	ALOX12-AS1_7009796-7009889_7001131-7002620_7012195-7012317	-0.373	0.0548991499630611	25		chr17:7009796-7009889	-
XAF1	XAF1_6759256-6759718_6758088-6758224_6760405-6760601	-0.831071428571429	0.138365840510242	28		chr17:6759256-6759718	+
XAF1	XAF1_6759662-6759718_6758088-6758224_6760405-6760479	-0.9065	0.108463485036241	30		chr17:6759662-6759718	+
RPAIN	RPAIN_5425971-5426082_5422768-5422829_5432541-5432608	-0.21225	0.0078049129826454	4		chr17:5425971-5426082	+
RPAIN	RPAIN_5426236-5426299_5422768-5422829_5428070-5428211	-0.229	0.0305810398776758	6		chr17:5426236-5426299	+
MINK1	MINK1_4892402-4892512_4892148-4892234_4892655-4892768	-0.304	0.086620683772081	15		chr17:4892402-4892512	+
RPH3AL	RPH3AL_215654-215802_212388-213923_219622-219736	-0.316	1.1331166295921e-16	25		chr17:215654-215802	-
AC010547.4	AC010547.4_71456072-71456121_71454041-71454218_71456763-71456828	-0.462875	0.15890704830183	16		chr16:71456072-71456121	-
KLHDC4	KLHDC4_87730552-87730644_87726764-87726924_87748672-87748809	-0.235807692307692	0.0141252093245211	26		chr16:87730552-87730644	-
ADGRG1	ADGRG1_57641587-57641708_57628604-57628802_57650252-57650351	-0.287388888888889	0.0500859718400611	18		chr16:57641587-57641708	+
RPGRIP1L	RPGRIP1L_53638310-53638411_53637694-53637854_53641032-53641116	-0.490642857142857	0.191698879280658	28		chr16:53638310-53638411	-
HEATR3	HEATR3_50072605-50072714_50070177-50070290_50075570-50075711	-0.47659375	0.0433186686828163	32		chr16:50072605-50072714	+
FOXO3B	FOXO3B_18681615-18681846_18680740-18680829_18682203-18682259	-0.916424242424242	0.108471779251284	33		chr17:18681615-18681846	-
ZNF133	ZNF133_18289899-18290074_18288282-18288604_18305007-18305178	-0.524625	0.173449272123004	16		chr20:18289899-18290074	+
SH2B1	SH2B1_28873170-28873269_28872533-28872758_28873446-28873607	-0.278513513513514	0.0384228097920013	37		chr16:28873170-28873269	+
GPRC5B	GPRC5B_19882132-19882301_19872586-19872846_19885202-19885525	-0.260217391304348	0.00375325945302735	23		chr16:19882132-19882301	-
KIAA0895L	KIAA0895L_67181558-67181697_67180040-67180666_67183261-67183952	-0.461052631578947	0.0883610368359576	38		chr16:67181558-67181697	-
KIAA0895L	KIAA0895L_67181606-67181697_67180040-67180666_67183261-67184040	-0.452973684210526	0.103360948985818	38		chr16:67181606-67181697	-
TXNDC11	TXNDC11_11700452-11700564_11698124-11698325_11721576-11721670	-0.33652	0.0433061966312751	25		chr16:11700452-11700564	-
LINC02177	LINC02177_9385374-9385465_9365489-9365595_9401729-9401783	-0.542	0.139213505091999	6		chr16:9385374-9385465	+
NAGPA	NAGPA_5033341-5033728_5031027-5031884_5033828-5033939	-0.667	3.38396316302233e-16	32		chr16:5033341-5033728	-
CHTF18	CHTF18_790531-790666_790346-790399_791160-791370	-0.793	4.51430024679457e-16	31		chr16:790531-790666	+
LYSMD4	LYSMD4_99731718-99732007_99720783-99720966_99733344-99733437	-0.809333333333333	0.0692122339860037	3		chr15:99731718-99732007	-
GDPGP1	GDPGP1_90236063-90236181_90234262-90234596_90238491-90238548	-0.41934375	0.16613434310725	32		chr15:90236063-90236181	+
MIR9-3HG	MIR9-3HG_89387431-89387538_89379047-89379269_89387816-89387881	-0.54075	0.180907616725979	20		chr15:89387431-89387538	+
MROH8	MROH8_37137810-37137970_37128820-37129167_37141161-37141314	-0.719666666666667	0.0557165445207555	3		chr20:37137810-37137970	-
MROH8	MROH8_37173995-37174116_37171911-37172057_37179222-37179386	-0.38224	0.0783987032205678	25		chr20:37173995-37174116	-
GOLGA2P7	GOLGA2P7_84204177-84204331_84202801-84203020_84204425-84204516	-0.623571428571428	0.0967744062977692	7		chr15:84204177-84204331	-
GOLGA2P7	GOLGA2P7_84205231-84205319_84204786-84204975_84229851-84230136	-0.706863636363636	0.189869954355868	22		chr15:84205231-84205319	-
C15orf40	C15orf40_83008548-83008675_82994816-83005692_83010236-83010363	-0.245125	0.0113755538681179	32		chr15:83008548-83008675	-
EFL1	EFL1_82259088-82259155_82241269-82241403_82261687-82261797	-0.559692307692308	0.0344717498607416	26		chr15:82259088-82259155	-
AC016705.2	AC016705.2_80397944-80398006_80373412-80380153_80403501-80403575	-0.728	0.0802473449008524	12		chr15:80397944-80398006	-
MAN2C1	MAN2C1_75363999-75364188_75362641-75362748_75364487-75364665	-0.415589743589744	0.0504123616569117	39		chr15:75363999-75364188	-
AC069368.1	AC069368.1_64921921-64922019_64861476-64861575_64930821-64930920	-0.546	0.146318146516418	3		chr15:64921921-64922019	+
MYO5A	MYO5A_52337810-52337884_52336462-52336556_52340195-52340394	-0.3136875	0.123649353010843	16		chr15:52337810-52337884	-
UBR1	UBR1_43048392-43048491_43047160-43047289_43054741-43054899	-0.237208333333333	0.00446220034109383	24		chr15:43048392-43048491	-
MGA	MGA_41708104-41708208_41707727-41707859_41710690-41711349	-0.459107142857143	0.00334818121676792	28		chr15:41708104-41708208	+
ZFYVE19	ZFYVE19_40812699-40812902_40810648-40810757_40813337-40813417	-0.3764	0.110033203544898	35		chr15:40812699-40812902	+
HERC2P9	HERC2P9_28618524-28618655_28618218-28618378_28629265-28629441	-0.413833333333333	0.137351252876218	6		chr15:28618524-28618655	+
SNHG14	SNHG14_24998366-24998486_24981774-24982437_24998969-24999078	-0.4722	0.084862102675978	35		chr15:24998366-24998486	+
DOP1B	DOP1B_36211974-36212097_36211552-36211651_36214441-36214556	-0.361	1.13764006725687e-16	21		chr21:36211974-36212097	+
JAG2	JAG2_105150991-105151104_105150864-105150911_105151282-105151396	-0.25	0.0103923048454133	3		chr14:105150991-105151104	-
MOK	MOK_102225095-102226408_102224499-102224794_102232534-102232708	-0.5	0	18		chr14:102225095-102226408	-
MEG3	MEG3_100835736-100835879_100834631-100834751_100836166-100836300	-0.547952380952381	0.164397225095339	21		chr14:100835736-100835879	+
MEG3	MEG3_100835739-100835879_100834631-100834751_100836166-100836212	-0.54405	0.15405756784568	20		chr14:100835739-100835879	+
SLC25A29	SLC25A29_100298027-100298190_100295694-100295993_100298841-100298885	-0.452619047619048	0.170248781549377	21		chr14:100298027-100298190	-
UNC79	UNC79_93634521-93634637_93630800-93630908_93637215-93637299	-0.372	0.0598368995307623	23		chr14:93634521-93634637	+
SLC66A2	SLC66A2_79930228-79930311_79919183-79919400_79943328-79943462	-0.263	0	2		chr18:79930228-79930311	-
ANGEL1	ANGEL1_76804375-76804415_76803785-76803912_76807432-76807502	-0.4692	0.344240758772113	5		chr14:76804375-76804415	-
NEK9	NEK9_75095372-75095431_75091269-75091478_75097099-75097270	-0.254142857142857	0.0135338102973265	28		chr14:75095372-75095431	-
NUMB	NUMB_73366897-73366981_73355625-73355766_73409936-73410068	-0.220666666666667	0.0102143689640297	3		chr14:73366897-73366981	-
TMEM229B	TMEM229B_67503487-67503551_67486999-67487172_67515085-67515182	-0.350857142857143	0.204398124762908	14		chr14:67503487-67503551	-
GPHN	GPHN_66924194-66924292_66922665-66922938_66965190-66965325	-0.425058823529412	0.0600882891713824	34		chr14:66924194-66924292	+
CHURC1	CHURC1_64926007-64926080_64923990-64924126_64932137-64935368	-0.236428571428571	0.0279552232238361	14		chr14:64926007-64926080	+
PSMA3-AS1	PSMA3-AS1_58285591-58285756_58273978-58274010_58291634-58291707	-0.406076923076923	0.156464672837525	26		chr14:58285591-58285756	-
AP5M1	AP5M1_57274244-57274889_57268970-57269388_57280194-57280422	-0.225161290322581	0.00850919805932988	31		chr14:57274244-57274889	+
DDHD1	DDHD1_53096117-53096218_53093315-53093444_53103682-53103856	-0.602	0.0705915481248759	13		chr14:53096117-53096218	-
VCPKMT	VCPKMT_50113370-50113512_50108631-50109713_50114284-50114404	-0.335083333333333	0.142424115892916	12		chr14:50113370-50113512	-
PPP2R3C	PPP2R3C_35116610-35116737_35109922-35110629_35121901-35121965	-0.355214285714286	0.0910390055366409	28		chr14:35116610-35116737	-
TDRD9	TDRD9_104031108-104031263_104026678-104026939_104032016-104032052	-0.4	5.88784672006416e-17	9		chr14:104031108-104031263	+
DBF4B	DBF4B_44748341-44748465_44747390-44747515_44750594-44750677	-0.5180625	0.0150884889899552	16		chr17:44748341-44748465	+
HMGN5	HMGN5_81197706-81197778_81195117-81195297_81201736-81201913	-0.236	0.00264575131106458	3		chrX:81197706-81197778	-
DCUN1D2	DCUN1D2_113462740-113462891_113461053-113461136_113474123-113474254	-0.5213125	0.243836068344711	32		chr13:113462740-113462891	-
LAMP1	LAMP1_113309643-113309862_113297238-113297495_113319468-113319656	-0.729833333333333	0.16165183603026	30		chr13:113309643-113309862	+
TUBGCP3	TUBGCP3_112545699-112545865_112527373-112527484_112548107-112548176	-0.287666666666667	0.0113578166916005	9		chr13:112545699-112545865	-
SAMD10	SAMD10_63978245-63978361_63977224-63977406_63979853-63979984	-0.565	0	2		chr20:63978245-63978361	-
ZNF329	ZNF329_58143105-58143198_58142556-58142661_58154734-58155110	-0.62	0	5		chr19:58143105-58143198	-
UGGT2	UGGT2_95887273-95887393_95884490-95884680_95887891-95887971	-0.34	0.0466690475583121	2		chr13:95887273-95887393	-
DLEU1	DLEU1_50083142-50083194_50082168-50082557_50390197-50390291	-0.575	1.15555676109332e-16	13		chr13:50083142-50083194	+
TPT1-AS1	TPT1-AS1_45351897-45352014_45341419-45341614_45377060-45377215	-0.5115	0.176193849856551	12		chr13:45351897-45352014	+
TPT1-AS1	TPT1-AS1_45381142-45381217_45379925-45380001_45383159-45383235	-0.319666666666667	0.15723337219984	3		chr13:45381142-45381217	+
NAA16	NAA16_41373637-41373780_41372731-41372830_41374741-41374839	-0.31137037037037	0.00327165152540788	27		chr13:41373637-41373780	+
EEF2KMT	EEF2KMT_5097280-5097353_5095451-5095514_5097643-5097766	-0.2806	0.0664323501229419	15		chr16:5097280-5097353	-
TPM1	TPM1_63044027-63044152_63043705-63043831_63056984-63057118	-0.543540540540541	0.0723750243118726	37		chr15:63044027-63044152	+
TPM1	TPM1_63061198-63061273_63060868-63060939_63061712-63061788	-0.3125	0.0867456050759922	16		chr15:63061198-63061273	+
TPM1	TPM1_63065896-63066085_63062575-63062645_63069869-63070314	-0.59048275862069	0.18506497327959	29		chr15:63065896-63066085	+
WASF3	WASF3_26680035-26680201_26676548-26676724_26681053-26681320	-0.46928125	0.180191159135639	32		chr13:26680035-26680201	+
TPTE2P1	TPTE2P1_24967392-24967453_24951396-24951488_24968205-24968277	-0.4048	0.175709229505263	10		chr13:24967392-24967453	-
AL359538.1	AL359538.1_24595789-24595859_24594270-24594363_24597386-24597676	-0.788	0.204858487742149	5		chr13:24595789-24595859	+
LINC00539	LINC00539_21311042-21311118_21303169-21303820_21330573-21330658	-0.412333333333333	0.0172433562085034	3		chr13:21311042-21311118	-
ZNF26	ZNF26_132987665-132987768_132986364-132986873_133007041-133007168	-0.332130434782609	0.0933021993055733	23		chr12:132987665-132987768	+
CHFR	CHFR_132870724-132870783_132861466-132861634_132872284-132872394	-0.504444444444444	0.0435204294300709	9		chr12:132870724-132870783	-
GOLGA3	GOLGA3_132827808-132827902_132827606-132827713_132828802-132828858	-0.893133333333333	0.11009955787231	30		chr12:132827808-132827902	-
EP400P1	EP400P1_132090849-132090943_132084479-132085316_132103996-132104170	-0.737692307692308	0.0441576430065899	13		chr12:132090849-132090943	+
AC005261.1	AC005261.1_57353725-57353851_57351325-57351697_57356029-57358780	-0.577558823529412	0.0357645424344234	34		chr19:57353725-57353851	+
CLIP1	CLIP1_122336632-122336748_122334647-122334705_122340980-122341697	-0.43132	0.0909366629400192	25		chr12:122336632-122336748	-
CLIP1	CLIP1_122351111-122351143_122347374-122347479_122352725-122352786	-0.789342857142857	0.170171875546139	35		chr12:122351111-122351143	-
MLXIP	MLXIP_122132292-122132383_122130843-122130933_122133347-122133987	-0.354147058823529	0.045450027404693	34		chr12:122132292-122132383	+
P2RX4	P2RX4_121222947-121222962_121222093-121222166_121228532-121228613	-0.503833333333333	0.106040158202047	12		chr12:121222947-121222962	+
P2RX4	P2RX4_121222947-121223043_121222093-121222166_121228532-121228613	-0.405970588235294	0.0567287460101659	34		chr12:121222947-121223043	+
PXN	PXN_120215560-120215661_120215102-120215417_120221622-120221758	-0.2799	0.0184116509006903	10		chr12:120215560-120215661	-
CIT	CIT_119734164-119734406_119730494-119730630_119735159-119735357	-0.27152	0.0042339894504671	25		chr12:119734164-119734406	-
VSIG10	VSIG10_118121501-118121618_118117666-118117882_118126480-118126670	-0.316133333333333	0.109616803812923	30		chr12:118121501-118121618	-
MAPKAPK5-AS1	MAPKAPK5-AS1_111841327-111841470_111839776-111840003_111841683-111841686	-0.484875	0.182355675511634	24		chr12:111841327-111841470	-
TCTN1	TCTN1_110644967-110645143_110640382-110640517_110647210-110647262	-0.335074074074074	0.15457607684491	27		chr12:110644967-110645143	+
