Splice ID	Case	Sample	Histology	CNS	Type
PALLD:168898493-168898714_168890921-168891057_168903756-168903835	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
WDR27:169613559-169613656_169602218-169602321_169632946-169633068	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SKA2:59131281-59131367_59119298-59119495_59155130-59155174	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PPIL3:200882342-200882435_200881420-200881488_200885261-200885367	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DUSP11:73767161-73767207_73766827-73766903_73769264-73769325	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
FAM13A:88805011-88805052_88790585-88790627_88822975-88823201	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PTPN13:86635252-86635371_86594314-86594789_86672364-86672543	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ABRAXAS1:83483992-83484166_83482153-83482244_83484985-83485103	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
YY1AP1:155680382-155680456_155679408-155679512_155688070-155688201	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
YY1AP1:155680416-155680456_155679408-155679512_155688070-155688201	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CLK2:155265860-155265954_155264644-155264774_155268009-155268126	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ST7L:112591525-112591603_112583971-112584126_112597970-112598086	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ZNF662:42913201-42913302_42908792-42908909_42914326-42919334	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
FAM126B:200987365-200987532_200973717-200981871_200988261-200988421	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PPP2R3C:35109819-35109847_35108138-35108236_35110524-35110629	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PPP2R3C:35109819-35109901_35108138-35108236_35110524-35110630	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NUP50:45166309-45166430_45163986-45164296_45168167-45168246	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PXK:58412901-58412963_58410089-58410159_58424751-58425058	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
AEBP1:44108899-44108976_44108006-44108084_44109106-44109162	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
KIAA2026:5944871-5944960_5929043-5929159_5968018-5968081	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SLC4A7:27409356-27409530_27404829-27404963_27411641-27411748	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ZNF487:43476107-43476202_43475720-43475847_43481428-43481678	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MAPK8:48325897-48325965_48308094-48308288_48401611-48401782	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NT5C2:103111693-103111805_103106588-103106706_103139405-103139479	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
EED:86270083-86270157_86267894-86268561_86276979-86277138	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PDIA5:123130480-123130616_123124271-123124343_123145521-123145592	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DIP2B:50691049-50691151_50686572-50686682_50695266-50695360	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CNOT2:70294237-70294294_70278131-70278274_70310894-70311017	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NUBPL:31654070-31654134_31599288-31599379_31673354-31673394	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
GPHN:66924194-66924292_66922665-66922938_66965190-66965325	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
KIF23:69440768-69441079_69440307-69440487_69444789-69445041	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
IQCH:67344063-67344191_67261271-67261394_67357344-67357421	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ZNF112:44343254-44343302_44340415-44340542_44356625-44356674	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
IQCB1:121788284-121788432_121781742-121781874_121790072-121790215	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
UBE2C:45815541-45815745_45814383-45814470_45815853-45815913	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
LUC7L3:50738137-50738199_50737286-50737479_50740305-50740345	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NPM1:171400153-171400210_171392709-171392978_171405301-171405403	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NPM1:171400153-171400925_171392913-171392978_171405301-171405403	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
APOL3:36156844-36157006_36149045-36149142_36160668-36160755	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
MKKS:10412530-10413931_10408627-10408803_10420527-10420758	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MRPS33:141010419-141010617_141006168-141006535_141014550-141014679	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MRPS33:141010419-141010660_141002609-141006535_141014550-141014679	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
IL17RB:53855294-53855341_53852870-53852997_53856843-53856986	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GAN:81351583-81351697_81314961-81315280_81354404-81354755	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GRK4:2988727-2988839_2963607-2964122_2992214-2992292	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DISP1:222928430-222928570_222815038-222815078_222942806-222943332	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CERS5:50135433-50135652_50134545-50134702_50135731-50135838	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ADAM22:88184292-88184402_88181957-88182024_88186614-88186701	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
C10orf90:126464696-126464986_126461400-126461585_126503956-126505085	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SENP1:48066927-48066965_48065595-48065680_48071666-48071721	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NAV3:77994803-77994871_77968518-77968702_77998336-77998476	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NADK:1756779-1756882_1756502-1756608_1757180-1757268	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PCED1B-AS1:47206511-47206585_47205897-47206069_47209280-47209458	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CHN1:174877840-174878128_174846879-174846957_174915057-174915171	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
TMCC1:129857250-129857405_129848342-129848412_129880308-129880559	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
FBXW11:171914343-171914405_171910571-171910797_171957596-171957698	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CCDC18-AS1:93305388-93305470_93264639-93264772_93324634-93324729	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CMC2:80980770-80980879_80975801-80976179_81006733-81006839	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GARS1-DT:30551318-30551479_30548358-30550781_30561465-30562128	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MDH1:63594488-63594586_63588608-63589046_63597398-63597574	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PAX8-AS1:113238090-113238212_113235505-113235570_113263277-113263409	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PMF1:156232320-156232425_156225556-156225668_156233627-156233652	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DNAH1:52398032-52398162_52397706-52397877_52398849-52399201	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GSTO2:104279370-104279471_104277893-104278116_104299127-104304945	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
COX4I1:85804540-85804661_85801204-85801278_85804936-85805096	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NKIRAS2:42022570-42022640_42022398-42022472_42023653-42024265	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MKKS:10413796-10413931_10408627-10408803_10420527-10420758	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PTK2B:27323267-27323426_27322401-27322499_27325563-27325681	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GPSM3:32192148-32192250_32191708-32191908_32192471-32192530	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GPSM3:32192148-32192272_32191708-32191908_32192471-32192868	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ASPSCR1:81979184-81979239_81977549-81977748_81983553-81983626	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
BEST1:61958146-61958298_61957386-61957464_61962254-61962893	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GPR161:168134906-168135036_168104476-168104894_168136738-168136930	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
TRIM2:153222243-153223039_153204442-153204560_153270337-153270519	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
S100A1:153628782-153628867_153628463-153628496_153630508-153630625	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PPARA:46188723-46188822_46151887-46151970_46198344-46198410	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
POLR2B:56985280-56985457_56978868-56979004_56986353-56986426	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
RASGRP3:33481183-33481304_33476622-33476707_33511709-33511842	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
EIF2AK4:40032757-40032801_40030358-40030456_40034325-40034444	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ZNF821:71867893-71868037_71864753-71865048_71879906-71880023	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
POU2F2:42091867-42091940_42086109-42091591_42092068-42092270	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
MAPK8:48325897-48325965_48306654-48306821_48401611-48401782	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CYB5R2:7665827-7665939_7665099-7665546_7667727-7667760	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
BDNF-AS:27540020-27540116_27506829-27506898_27584268-27584337	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
C11orf54:93747297-93747448_93741590-93741728_93750345-93750444	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
C11orf54:93747302-93747448_93741641-93741728_93750345-93750444	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CCDC82:96386254-96386293_96383961-96384761_96387529-96387613	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
R3HDM2:57395749-57395818_57310263-57310463_57430719-57430808	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CIB2:78123705-78123739_78111164-78111276_78131164-78131225	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
FKBP1A:1371022-1371147_1369533-1370072_1372075-1372240	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
POLB:42362612-42362698_42361294-42361365_42369270-42369297	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MAMLD1:150445454-150445612_150363316-150363530_150469744-150471490	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MAMLD1:150462772-150462846_150363286-150363530_150469744-150469982	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
LTBP4:40622950-40623021_40619346-40619493_40623603-40623732	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
TRNAU1AP:28571176-28571338_28567293-28567413_28571866-28571900	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PIGQ:581199-581341_580857-580972_582882-583095	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
RPL39L:187127999-187128062_187120947-187121328_187139212-187139496	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
LIG3:34983002-34983552_34980511-34980622_34985987-34986131	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
FHL2:105396647-105396697_105386360-105386540_105398969-105399061	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GPR155:174482873-174482918_174481496-174481987_174483009-174483158	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NTRK2:84669335-84669423_84668463-84668785_84670376-84670960	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CERS4:8241341-8241457_8209382-8209494_8251043-8251249	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ECPAS:111472897-111473000_111451424-111451555_111483984-111484057	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PIGN:62163531-62163656_62162252-62162329_62186843-62186989	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
TRIM9:50998050-50998188_50981799-50982103_51009079-51009233	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
WDR20:102194938-102195120_102139843-102140172_102208602-102208683	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
KCNK4:64292942-64293207_64291731-64291785_64296877-64297001	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DAPK2:63924816-63924861_63912107-63912197_63925940-63926093	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
POLI:54283743-54283815_54282859-54283015_54283921-54284013	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
TRIM2:153222243-153222759_153204445-153204560_153270334-153270519	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
VRK3:49995191-49995275_49994813-49994919_50000789-50000854	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MYO16:109127282-109127550_109120369-109120466_109140263-109141376	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GOLT1B:21506885-21506976_21501788-21501948_21512294-21512376	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MATN2:97994480-97994602_97978885-97979008_98003660-98003734	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MET:116699071-116700284_116672195-116672577_116731667-116731859	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ANKRD6:89621922-89622026_89617953-89618031_89623409-89623460	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SCN5A:38579334-38579495_38576660-38576781_38580930-38581371	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
TBCA:77708242-77708347_77691240-77693352_77776204-77776261	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MATR3:139307241-139308327_139293749-139293805_139314674-139314736	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SHROOM3:76555609-76555763_76435228-76436220_76710155-76710287	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
LRP1:57194354-57194503_57193898-57194012_57194576-57194699	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PFKP:3105115-3105159_3103778-3103944_3105392-3105473	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
UXT:47657572-47657639_47657182-47657290_47657781-47657863	SE	BS_399RPKC9	H3 WT	NA	Skipping
APOC1:44914672-44914733_44914246-44914489_44914871-44914949	SE	BS_399RPKC9	H3 WT	NA	Skipping
XPO1:61525270-61525333_61522610-61522683_61526419-61526521	SE	BS_399RPKC9	H3 WT	NA	Inclusion
MRM2:2238015-2238937_2234294-2235564_2239417-2239707	SE	BS_399RPKC9	H3 WT	NA	Inclusion
ORC3:87616314-87616427_87612088-87612248_87621353-87621487	SE	BS_399RPKC9	H3 WT	NA	Skipping
CLK4:178619838-178619896_178616881-178618778_178623255-178623416	SE	BS_399RPKC9	H3 WT	NA	Inclusion
TMEM116:111965595-111965759_111943264-111943369_111991757-111991889	SE	BS_399RPKC9	H3 WT	NA	Inclusion
CAMK2G:73819532-73819617_73817478-73817554_73821681-73821730	SE	BS_399RPKC9	H3 WT	NA	Inclusion
CAMK2G:73819532-73819645_73817478-73817554_73821681-73821730	SE	BS_399RPKC9	H3 WT	NA	Inclusion
BCS1L:218660939-218661307_218659682-218659743_218661405-218661416	SE	BS_399RPKC9	H3 WT	NA	Skipping
OCIAD2:48899829-48899925_48897803-48897857_48904483-48904611	SE	BS_399RPKC9	H3 WT	NA	Skipping
TM2D1:61686792-61686921_61683451-61683546_61694696-61694770	SE	BS_399RPKC9	H3 WT	NA	Inclusion
TRIP6:100867861-100867988_100867386-100867606_100868107-100868233	SE	BS_399RPKC9	H3 WT	NA	Skipping
EIF4A2:186787479-186787584_186787126-186787264_186787802-186787882	SE	BS_399RPKC9	H3 WT	NA	Skipping
KIF21A:39346466-39346504_39342033-39342124_39351776-39351980	SE	BS_399RPKC9	H3 WT	NA	Inclusion
MASP1:187285825-187286056_187262542-187262720_187291627-187291737	SE	BS_399RPKC9	H3 WT	NA	Skipping
MASP1:187285825-187286077_187262542-187262720_187291627-187291980	SE	BS_399RPKC9	H3 WT	NA	Skipping
FYN:111699515-111699670_111696276-111696456_111700103-111700268	SE	BS_399RPKC9	H3 WT	NA	Inclusion
FYN:111818615-111818740_111780565-111780635_111819859-111819980	SE	BS_399RPKC9	H3 WT	NA	Inclusion
NDUFB1:92118849-92118966_92117497-92117642_92121641-92121724	SE	BS_399RPKC9	H3 WT	NA	Inclusion
SARAF:30073877-30074028_30069873-30070059_30082846-30083074	SE	BS_399RPKC9	H3 WT	NA	Skipping
SARAF:30073877-30074051_30069641-30070059_30082846-30083124	SE	BS_399RPKC9	H3 WT	NA	Skipping
SARAF:30073877-30074055_30069641-30070059_30082846-30082948	SE	BS_399RPKC9	H3 WT	NA	Skipping
CAPZB:19342752-19342864_19338822-19339617_19344357-19344434	SE	BS_399RPKC9	H3 WT	NA	Inclusion
FAM107A:58570326-58570423_58569690-58569865_58589205-58589269	SE	BS_399RPKC9	H3 WT	NA	Inclusion
UQCRH:46309101-46309127_46303697-46303820_46310154-46310316	SE	BS_399RPKC9	H3 WT	NA	Skipping
UQCRH:46309101-46309143_46303697-46303820_46310154-46310316	SE	BS_399RPKC9	H3 WT	NA	Skipping
NR2F1-AS1:93544795-93544915_93409356-93411509_93553760-93553863	SE	BS_399RPKC9	H3 WT	NA	Inclusion
EPB41L2:130869563-130870126_130867458-130867581_130885095-130885268	SE	BS_399RPKC9	H3 WT	NA	Skipping
KLC1:103693553-103693634_103692358-103692425_103700654-103700727	SE	BS_399RPKC9	H3 WT	NA	Inclusion
ZBTB8OS:32634702-32634792_32633950-32634110_32650432-32650525	SE	BS_399RPKC9	H3 WT	NA	Skipping
IFI44:78660554-78660691_78659318-78659483_78662703-78662878	SE	BS_399RPKC9	H3 WT	NA	Inclusion
NASP:45617463-45617591_45616625-45616703_45618060-45618213	SE	BS_399RPKC9	H3 WT	NA	Skipping
ACAA1:38126162-38126341_38125825-38125881_38126509-38126700	SE	BS_399RPKC9	H3 WT	NA	Skipping
ZEB1:31387720-31387798_31387123-31387266_31461036-31461237	SE	BS_399RPKC9	H3 WT	NA	Inclusion
PAK4:39172918-39173106_39169531-39169757_39173575-39174010	SE	BS_399RPKC9	H3 WT	NA	Inclusion
PLPP1:55475299-55475450_55467868-55468149_55490959-55491114	SE	BS_399RPKC9	H3 WT	NA	Skipping
FXYD6:117844110-117844206_117842718-117842781_117876591-117876625	SE	BS_399RPKC9	H3 WT	NA	Inclusion
PEA15:160208464-160208665_160207132-160207237_160211542-160211716	SE	BS_399RPKC9	H3 WT	NA	Inclusion
MAP7D1:36174898-36175008_36173363-36173478_36176198-36176321	SE	BS_399RPKC9	H3 WT	NA	Skipping
MFF:227328678-227330846_227325264-227325427_227332418-227332588	SE	BS_399RPKC9	H3 WT	NA	Skipping
EPB41L3:5398021-5398143_5397057-5397426_5406764-5406968	SE	BS_399RPKC9	H3 WT	NA	Skipping
PPP2R2B:147035169-147035240_146701044-146701142_147055664-147056027	SE	BS_399RPKC9	H3 WT	NA	Inclusion
SLC2A11:23877385-23877869_23877041-23877171_23882458-23882646	SE	BS_399RPKC9	H3 WT	NA	Inclusion
SLC2A11:23877721-23877869_23877041-23877171_23882458-23882646	SE	BS_399RPKC9	H3 WT	NA	Inclusion
DOCK9:98825872-98825940_98824397-98824504_98826829-98826887	SE	BS_399RPKC9	H3 WT	NA	Inclusion
DOCK9:98845329-98845372_98837493-98837609_98845923-98846060	SE	BS_399RPKC9	H3 WT	NA	Inclusion
ATE1:121898841-121898969_121870005-121870038_121899865-121899994	SE	BS_399RPKC9	H3 WT	NA	Inclusion
PAMR1:35451888-35451938_35441480-35441693_35468000-35468108	SE	BS_399RPKC9	H3 WT	NA	Skipping
MAPT:45989878-45990075_45987039-45987095_45991459-45991586	SE	BS_399RPKC9	H3 WT	NA	Inclusion
GSN:121282439-121282550_121281469-121281562_121300055-121300126	SE	BS_399RPKC9	H3 WT	NA	Inclusion
BLOC1S6:45603104-45603187_45587351-45587525_45605427-45605514	SE	BS_399RPKC9	H3 WT	NA	Skipping
