splicing_case	IncLevelDifference	splice_type	transcript_name_meta	exon_number_upstream	upstreamES	upstreamEE	exon_number_eoi	riExonStart_0base	exonStart_0base	riExonEnd	exonEnd	sample	ctrl	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	downstreamES	downstreamEE	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	...37	start	end	exon_number_downstream	is_sequential
SE	-0.015	CLK1 Ex4 high	NF1-219_NMD	38	31327498	31327839	39	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	40	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-205_PC	29	31327498	31327839	30	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	31	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-228_RI	10	31327498	31327839	11	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	12	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-220_PC	3	31327498	31327839	4	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	5	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-235_PC	4	31327498	31327839	5	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	6	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-224_PC	3	31327498	31327839	4	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	5	TRUE
SE	-0.09	CLK1 Ex4 high	NF1-208_NMD	1	31337816	31337880	2	NA	31338001	NA	31338139	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31338703	31338805	NA	NA	NA	NA	NA	NA	1032,1064,1030	50,59,55	1430,1444,1528	1,2,0	287	149	0	0	0.915,0.903,0.907	0.999,0.997,1.0	NA	31338002	31338139	3	TRUE
SE	-0.277	CLK1 Ex4 high	NF1-208_NMD	1	31337816	31337880	2	NA	31338001	NA	31338139	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31340504	31340645	NA	NA	NA	NA	NA	NA	21,20,16	4,9,8	6,18,20	2,0,0	287	149	2.84233237982e-5	4.99724703066e-4	0.732,0.536,0.509	0.609,1.0,1.0	NA	31338002	31338139	4	FALSE
SE	-0.062	CLK1 Ex4 high	NF1-223_RI	1	31337762	31337880	2	NA	31338024	NA	31338139	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31338703	31338805	NA	NA	NA	NA	NA	NA	1398,1454,1443	50,59,55	1951,1926,2068	1,2,0	264	149	0	0	0.94,0.933,0.937	0.999,0.998,1.0	NA	31338025	31338139	3	TRUE
SE	-0.035	CLK1 Ex4 high	NF1-223_RI	1	31337762	31337880	2	NA	31338024	NA	31338139	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31340504	31340645	NA	NA	NA	NA	NA	NA	288,316,312	4,9,8	393,378,403	2,0,0	264	149	5.75333667985e-5	9.25369661783e-4	0.976,0.952,0.957	0.991,1.0,1.0	NA	31338025	31338139	4	FALSE
SE	0.023	CLK1 Ex4 low	NF1-230_PC	1	31343007	31343135	2	NA	31347519	NA	31347630	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31349119	31349251	NA	NA	NA	NA	NA	NA	24,32,58	757,692,695	18,3,16	1082,861,958	260	149	5.63171731471e-12	3.38625907002e-10	0.018,0.026,0.046	0.009,0.002,0.009	NA	31347520	31347630	3	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-201_PC	50	31352256	31352414	51	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	52	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-202_PC	51	31352256	31352414	52	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	53	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-231_PC	52	31352256	31352414	53	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	54	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-219_NMD	51	31352256	31352414	52	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	53	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-205_PC	42	31352256	31352414	43	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	44	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-228_RI	23	31352256	31352414	24	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	25	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-227_PC	15	31352256	31352414	16	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	17	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-235_PC	17	31352256	31352414	18	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	19	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-224_PC	16	31352256	31352414	17	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	18	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-208_NMD	8	31352256	31352414	9	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	10	TRUE
SE	-0.02	CLK1 Ex4 high	NF1-230_PC	5	31352256	31352414	6	NA	31356459	NA	31356582	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31356959	31357090	NA	NA	NA	NA	NA	NA	3403,3446,3209	105,95,117	4482,4076,4206	110,65,73	272	149	3.42981137645e-5	5.89587366645e-4	0.947,0.952,0.938	0.957,0.972,0.969	NA	31356460	31356582	7	TRUE
RI	0.163	CLK1 Ex4 low	NA	NA	31229024	31229465	NA	31229024	NA	31229974	NA	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31229834	31229974	NA	NA	NA	NA	NA	NA	29,515,22	206,288,272	25,17,9	276,263,323	298	149	6.59952641682e-5	8.14576924878e-4	0.066,0.472,0.039	0.043,0.031,0.014	NA	31229025	31229974	NA	NA
