splicing_case	geneSymbol	PValue	FDR	IncLevelDifference	exonStart_0base	exonEnd	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
SE	MCTS1	2.7366997557e-13	1.89368459795e-11	0.775	120594923	120595068	NA	NA	NA	NA	NA	NA	120594009	120594272	120605406	120605559	NA	NA	NA	NA	NA	NA
SE	MCTS1	1.35950140034e-11	7.78161642539e-10	0.531	120594950	120595068	NA	NA	NA	NA	NA	NA	120594080	120594272	120605406	120605559	NA	NA	NA	NA	NA	NA
SE	LRCH2	3.50380309967e-5	6.00462714275e-4	0.111	115126842	115126893	NA	NA	NA	NA	NA	NA	115123944	115124002	115149826	115149943	NA	NA	NA	NA	NA	NA
SE	AMMECR1	0	0	0.133	110216517	110216632	NA	NA	NA	NA	NA	NA	110202445	110202536	110317598	110318084	NA	NA	NA	NA	NA	NA
SE	AMMECR1	4.98057151077e-12	3.01579126974e-10	0.191	110264488	110264599	NA	NA	NA	NA	NA	NA	110200953	110201050	110317598	110317771	NA	NA	NA	NA	NA	NA
SE	AMMECR1	0	0	0.288	110264488	110264599	NA	NA	NA	NA	NA	NA	110202445	110202536	110317598	110317771	NA	NA	NA	NA	NA	NA
SE	AMMECR1	4.10990864885e-6	9.04899237791e-5	0.125	110264488	110264599	NA	NA	NA	NA	NA	NA	110216517	110216632	110317598	110317771	NA	NA	NA	NA	NA	NA
SE	MORF4L2	8.92401864627e-7	2.3056584407e-5	0.1	103684680	103684729	NA	NA	NA	NA	NA	NA	103678498	103678651	103685170	103685260	NA	NA	NA	NA	NA	NA
SE	CHM	1.09391482853e-5	2.1505462737e-4	0.342	85978766	85978891	NA	NA	NA	NA	NA	NA	85963664	85964052	86027490	86027557	NA	NA	NA	NA	NA	NA
SE	HDAC8	0.00104402784828	0.0111928860468	0.252	72568753	72568884	NA	NA	NA	NA	NA	NA	72495155	72495268	72572056	72572104	NA	NA	NA	NA	NA	NA
SE	TAF1	5.2477445428e-6	1.11846988629e-4	0.252	71459149	71459251	NA	NA	NA	NA	NA	NA	71458240	71458357	71459551	71459708	NA	NA	NA	NA	NA	NA
SE	PDZD11	6.36490860018e-13	4.23919572854e-11	0.102	70289521	70289593	NA	NA	NA	NA	NA	NA	70289254	70289354	70289859	70289945	NA	NA	NA	NA	NA	NA
SE	LINC01278	4.64218215634e-6	1.00431704742e-4	0.124	63238992	63239059	NA	NA	NA	NA	NA	NA	63238395	63238734	63239786	63239830	NA	NA	NA	NA	NA	NA
SE	LINC01278	0	0	0.952	63253448	63253539	NA	NA	NA	NA	NA	NA	63239786	63239830	63259667	63259817	NA	NA	NA	NA	NA	NA
SE	LINC01278	4.18397094748e-10	1.9649043763e-8	0.648	63343205	63343289	NA	NA	NA	NA	NA	NA	63314996	63315107	63399780	63399903	NA	NA	NA	NA	NA	NA
SE	SPIN3	3.71076268078e-5	6.30238590682e-4	0.102	56979297	56979422	NA	NA	NA	NA	NA	NA	56978579	56978660	56984265	56984478	NA	NA	NA	NA	NA	NA
SE	FGD1	2.91324744838e-4	0.00376850688704	0.123	54450270	54450301	NA	NA	NA	NA	NA	NA	54449658	54449760	54455447	54455527	NA	NA	NA	NA	NA	NA
SE	CDK16	8.8826360567e-7	2.29621577066e-5	0.302	47226582	47226703	NA	NA	NA	NA	NA	NA	47225964	47226027	47226993	47227099	NA	NA	NA	NA	NA	NA
SE	RBM10	0	0	0.112	47175018	47175092	NA	NA	NA	NA	NA	NA	47173127	47173197	47176499	47176586	NA	NA	NA	NA	NA	NA
SE	BCOR	4.18086878096e-6	9.16817616472e-5	0.137	40071636	40071690	NA	NA	NA	NA	NA	NA	40070972	40071159	40072348	40075180	NA	NA	NA	NA	NA	NA
SE	PHKA2	2.12079465101e-10	1.03235673188e-8	0.133	18943709	18943808	NA	NA	NA	NA	NA	NA	18941528	18941675	18945077	18945158	NA	NA	NA	NA	NA	NA
SE	ARSD	0.00125490667797	0.0130913401308	0.383	2910658	2910793	NA	NA	NA	NA	NA	NA	2908720	2908842	2915555	2915692	NA	NA	NA	NA	NA	NA
SE	RPL23AP82	1.41077666364e-5	2.68803853786e-4	0.474	50784624	50784686	NA	NA	NA	NA	NA	NA	50783874	50784021	50785172	50785293	NA	NA	NA	NA	NA	NA
SE	RPL23AP82	6.27151148496e-4	0.00725738660821	0.172	50788749	50788798	NA	NA	NA	NA	NA	NA	50785172	50785293	50788891	50789190	NA	NA	NA	NA	NA	NA
SE	RPL23AP82	9.49806190031e-7	2.43897594563e-5	0.28	50788749	50788798	NA	NA	NA	NA	NA	NA	50785172	50785293	50788894	50788954	NA	NA	NA	NA	NA	NA
SE	RPL23AP82	1.28187137638e-6	3.20136153085e-5	0.339	50788749	50788802	NA	NA	NA	NA	NA	NA	50785172	50785293	50788894	50789354	NA	NA	NA	NA	NA	NA
SE	PPP6R2	0.00207798130824	0.019975872352	0.173	50418866	50418979	NA	NA	NA	NA	NA	NA	50416091	50416157	50419345	50419462	NA	NA	NA	NA	NA	NA
SE	DENND6B	4.58917259638e-5	7.59720796567e-4	0.128	50316173	50316253	NA	NA	NA	NA	NA	NA	50316024	50316087	50316369	50316475	NA	NA	NA	NA	NA	NA
SE	HDAC10	2.19676224003e-5	3.98617996161e-4	0.258	50248661	50248751	NA	NA	NA	NA	NA	NA	50248224	50248472	50249102	50249168	NA	NA	NA	NA	NA	NA
SE	MAPK12	4.06106757681e-4	0.00499311514202	0.238	50248661	50248751	NA	NA	NA	NA	NA	NA	50248365	50248472	50249634	50249703	NA	NA	NA	NA	NA	NA
SE	MAPK12	6.87151045778e-4	0.00784947902604	0.126	50255809	50255881	NA	NA	NA	NA	NA	NA	50255614	50255694	50256084	50256199	NA	NA	NA	NA	NA	NA
SE	TUBGCP6	0.00210302672713	0.0201845494507	0.104	50220191	50221874	NA	NA	NA	NA	NA	NA	50219956	50220015	50222027	50222102	NA	NA	NA	NA	NA	NA
SE	TUBGCP6	0.00128657955366	0.0133584494341	0.103	50220250	50221874	NA	NA	NA	NA	NA	NA	50219956	50220015	50222027	50222102	NA	NA	NA	NA	NA	NA
SE	TUBGCP6	0.00210302672713	0.0201845494507	0.104	50221274	50221874	NA	NA	NA	NA	NA	NA	50219956	50220015	50222027	50222102	NA	NA	NA	NA	NA	NA
SE	TBC1D22A	0.00165104352981	0.0164764401956	0.121	46974289	46974399	NA	NA	NA	NA	NA	NA	46912073	46912188	46997633	46997709	NA	NA	NA	NA	NA	NA
SE	CELSR1	1.87469038071e-8	6.81013823277e-7	0.118	46439188	46439411	NA	NA	NA	NA	NA	NA	46436173	46436289	46463706	46464345	NA	NA	NA	NA	NA	NA
SE	PHF21B	6.16443115875e-6	1.29195722221e-4	0.255	44885862	44885938	NA	NA	NA	NA	NA	NA	44885425	44885529	44891305	44891360	NA	NA	NA	NA	NA	NA
SE	POLDIP3	0	0	0.125	42601969	42602056	NA	NA	NA	NA	NA	NA	42599697	42599793	42602769	42603012	NA	NA	NA	NA	NA	NA
SE	POLDIP3	9.951484081230001e-12	5.77882887059e-10	0.174	42601969	42602107	NA	NA	NA	NA	NA	NA	42599697	42599793	42602769	42603160	NA	NA	NA	NA	NA	NA
SE	TCF20	2.3682693242e-6	5.53097563138e-5	0.137	42168608	42168736	NA	NA	NA	NA	NA	NA	42160012	42161358	42169846	42169896	NA	NA	NA	NA	NA	NA
SE	CYP2D6	1.09037684724e-4	0.00161542280588	0.354	42129032	42129185	NA	NA	NA	NA	NA	NA	42128783	42128944	42129737	42129909	NA	NA	NA	NA	NA	NA
SE	L3MBTL2	0	0	0.319	41229539	41229656	NA	NA	NA	NA	NA	NA	41227088	41227869	41230138	41230654	NA	NA	NA	NA	NA	NA
SE	RBX1	0	0	0.563	40964046	40964117	NA	NA	NA	NA	NA	NA	40953554	40953633	40972475	40973309	NA	NA	NA	NA	NA	NA
SE	RBX1	0	0	0.295	40967798	40967884	NA	NA	NA	NA	NA	NA	40953554	40953633	40972475	40973309	NA	NA	NA	NA	NA	NA
SE	MRTFA	1.41904521023e-7	4.37671853146e-6	0.232	40594673	40594735	NA	NA	NA	NA	NA	NA	40552105	40552367	40636477	40636685	NA	NA	NA	NA	NA	NA
SE	SGSM3	5.4400928206599996e-15	4.41993724317e-13	0.28	40401592	40401675	NA	NA	NA	NA	NA	NA	40400695	40400813	40402138	40402205	NA	NA	NA	NA	NA	NA
SE	CBY1	4.12134433304e-4	0.00505556689145	0.107	38665545	38665685	NA	NA	NA	NA	NA	NA	38656955	38657143	38668016	38668132	NA	NA	NA	NA	NA	NA
SE	FAM227A	3.66953921027e-7	1.0356388718e-5	0.239	38639614	38639724	NA	NA	NA	NA	NA	NA	38638745	38638822	38645562	38645645	NA	NA	NA	NA	NA	NA
SE	FAM227A	2.47037696854e-6	5.74295961422e-5	0.278	38639654	38639724	NA	NA	NA	NA	NA	NA	38638745	38638822	38645562	38645645	NA	NA	NA	NA	NA	NA
SE	C22orf23	3.25535353477e-5	5.63404121811e-4	0.169	37947280	37947463	NA	NA	NA	NA	NA	NA	37945041	37945173	37951459	37951522	NA	NA	NA	NA	NA	NA
SE	KCTD17	1.6181602686e-5	3.03717695745e-4	0.139	37060822	37060922	NA	NA	NA	NA	NA	NA	37059312	37059438	37061538	37061564	NA	NA	NA	NA	NA	NA
SE	KCTD17	6.76324020839e-4	0.00774476434991	0.146	37060822	37060922	NA	NA	NA	NA	NA	NA	37059312	37059438	37062524	37063390	NA	NA	NA	NA	NA	NA
SE	IFT27	2.07783320539e-5	3.79250289929e-4	0.102	36762903	36763013	NA	NA	NA	NA	NA	NA	36758201	36758409	36763918	36764036	NA	NA	NA	NA	NA	NA
SE	DEPDC5	7.88258347484e-15	6.281325005410001e-13	0.514	31876086	31876265	NA	NA	NA	NA	NA	NA	31874272	31874405	31879524	31879752	NA	NA	NA	NA	NA	NA
SE	DEPDC5	0	0	0.291	31876156	31876265	NA	NA	NA	NA	NA	NA	31873826	31874405	31879524	31879752	NA	NA	NA	NA	NA	NA
SE	PISD	0.00587573764665	0.0476731437917	0.156	31620552	31620599	NA	NA	NA	NA	NA	NA	31618976	31619836	31620995	31621142	NA	NA	NA	NA	NA	NA
SE	PISD	2.73497408054e-8	9.66556070338e-7	0.269	31628002	31628210	NA	NA	NA	NA	NA	NA	31625762	31626016	31628852	31628981	NA	NA	NA	NA	NA	NA
SE	PISD	1.09284069127e-7	3.44657326631e-6	0.399	31628002	31628210	NA	NA	NA	NA	NA	NA	31625762	31626016	31630803	31630824	NA	NA	NA	NA	NA	NA
SE	SFI1	0.00188395669883	0.0183909589366	0.371	31613141	31613216	NA	NA	NA	NA	NA	NA	31611765	31611840	31614788	31614860	NA	NA	NA	NA	NA	NA
SE	PIK3IP1	7.53509761566e-5	0.00117104663236	0.136	31289314	31289393	NA	NA	NA	NA	NA	NA	31281593	31283288	31289498	31289699	NA	NA	NA	NA	NA	NA
SE	INPP5J	1.16983269738e-8	4.40394414815e-7	0.148	31126920	31127037	NA	NA	NA	NA	NA	NA	31126612	31126721	31127356	31127532	NA	NA	NA	NA	NA	NA
SE	TUG1	5.03548545083e-8	1.69096555366e-6	0.187	30972047	30972172	NA	NA	NA	NA	NA	NA	30969268	30969386	30972854	30973587	NA	NA	NA	NA	NA	NA
SE	TUG1	8.12441255891e-4	0.0090446322137	0.38	30972047	30972172	NA	NA	NA	NA	NA	NA	30969268	30969386	30972923	30973601	NA	NA	NA	NA	NA	NA
SE	TUG1	1.65291114129e-11	9.31995595727e-10	0.261	30972047	30972172	NA	NA	NA	NA	NA	NA	30970689	30971769	30972854	30973587	NA	NA	NA	NA	NA	NA
SE	TUG1	9.430920489e-10	4.18168881991e-8	0.264	30972047	30972172	NA	NA	NA	NA	NA	NA	30971196	30971610	30972854	30973587	NA	NA	NA	NA	NA	NA
SE	TUG1	2.55351295664e-15	2.13349818741e-13	0.117	30972047	30972172	NA	NA	NA	NA	NA	NA	30971366	30971779	30972923	30973601	NA	NA	NA	NA	NA	NA
SE	ASCC2	0	0	0.436	29822334	29822395	NA	NA	NA	NA	NA	NA	29816005	29816073	29825086	29825257	NA	NA	NA	NA	NA	NA
SE	ASCC2	0	0	0.12	29822334	29822464	NA	NA	NA	NA	NA	NA	29816005	29816073	29825086	29825257	NA	NA	NA	NA	NA	NA
SE	ASCC2	2.98663737743e-4	0.00384965385839	0.108	29827476	29827600	NA	NA	NA	NA	NA	NA	29825621	29825780	29833540	29833614	NA	NA	NA	NA	NA	NA
SE	ASCC2	3.93945468469e-8	1.35443951856e-6	0.165	29827476	29827600	NA	NA	NA	NA	NA	NA	29825621	29825780	29838177	29838274	NA	NA	NA	NA	NA	NA
SE	ASCC2	1.9411923078e-5	3.57574777211e-4	0.495	29834441	29834550	NA	NA	NA	NA	NA	NA	29825621	29825780	29838177	29838274	NA	NA	NA	NA	NA	NA
SE	ASCC2	0.00287996704262	0.0261721040038	0.373	29834441	29834550	NA	NA	NA	NA	NA	NA	29833540	29833614	29838177	29838274	NA	NA	NA	NA	NA	NA
SE	ASCC2	3.54547061411e-5	6.06396798786e-4	0.307	29834488	29834550	NA	NA	NA	NA	NA	NA	29825621	29825780	29838177	29838261	NA	NA	NA	NA	NA	NA
SE	THOC5	2.73892131197e-10	1.31551647862e-8	0.198	29550727	29550843	NA	NA	NA	NA	NA	NA	29549051	29549158	29553447	29553655	NA	NA	NA	NA	NA	NA
SE	THOC5	2.34758709916e-7	6.92895523927e-6	0.179	29550727	29550843	NA	NA	NA	NA	NA	NA	29549051	29549158	29553670	29553741	NA	NA	NA	NA	NA	NA
SE	EWSR1	3.10033232531e-7	8.92313899253e-6	0.399	29272215	29272252	NA	NA	NA	NA	NA	NA	29268008	29268349	29273740	29273792	NA	NA	NA	NA	NA	NA
SE	EWSR1	0.00429945495549	0.0366422091989	0.12	29288605	29288755	NA	NA	NA	NA	NA	NA	29286922	29287134	29292136	29292169	NA	NA	NA	NA	NA	NA
SE	EWSR1	0	0	0.125	29291561	29291599	NA	NA	NA	NA	NA	NA	29288605	29288786	29292136	29292169	NA	NA	NA	NA	NA	NA
SE	EWSR1	0	0	0.102	29291564	29291599	NA	NA	NA	NA	NA	NA	29288605	29288786	29292136	29292169	NA	NA	NA	NA	NA	NA
SE	CHEK2	3.13345278002e-5	5.4424176202e-4	0.265	28737884	28738038	NA	NA	NA	NA	NA	NA	28737259	28737323	28741768	28741800	NA	NA	NA	NA	NA	NA
SE	CHEK2	2.27758891217e-5	4.11550317976e-4	0.276	28737915	28738038	NA	NA	NA	NA	NA	NA	28737259	28737323	28741768	28741802	NA	NA	NA	NA	NA	NA
SE	TTC28	3.31154725388e-4	0.004197413325	0.104	27990788	27990812	NA	NA	NA	NA	NA	NA	27989877	27990007	27992586	27992663	NA	NA	NA	NA	NA	NA
SE	PITPNB	1.57777759746e-8	5.81839268887e-7	0.407	27897129	27897137	NA	NA	NA	NA	NA	NA	27896551	27896626	27910963	27911109	NA	NA	NA	NA	NA	NA
SE	GRK3	5.59746751871e-6	1.18533547556e-4	0.144	25695106	25695214	NA	NA	NA	NA	NA	NA	25690188	25690283	25709897	25709964	NA	NA	NA	NA	NA	NA
SE	GRK3	9.87420018728e-6	1.96255206598e-4	0.131	25703509	25703576	NA	NA	NA	NA	NA	NA	25695106	25695214	25709897	25709964	NA	NA	NA	NA	NA	NA
SE	UPB1	4.91921767208e-4	0.00588031914743	0.301	24521985	24522028	NA	NA	NA	NA	NA	NA	24520173	24520468	24523618	24523700	NA	NA	NA	NA	NA	NA
SE	UPB1	0.00153977084206	0.0155601772458	0.189	24523618	24523773	NA	NA	NA	NA	NA	NA	24520386	24520468	24525710	24526668	NA	NA	NA	NA	NA	NA
SE	ENSG00000285762	0	0	0.361	23973767	23973943	NA	NA	NA	NA	NA	NA	23971377	23971623	23974306	23974439	NA	NA	NA	NA	NA	NA
SE	ENSG00000272578	0.00101003543576	0.010872277411	0.182	23686837	23686995	NA	NA	NA	NA	NA	NA	23683743	23683867	23690231	23690491	NA	NA	NA	NA	NA	NA
SE	GUSBP11	3.13082892944e-13	2.15309874761e-11	0.265	23686830	23686995	NA	NA	NA	NA	NA	NA	23683724	23683867	23690231	23690356	NA	NA	NA	NA	NA	NA
SE	GUSBP11	1.38186086589e-5	2.64148473082e-4	0.177	23686830	23686995	NA	NA	NA	NA	NA	NA	23683724	23683867	23690235	23693151	NA	NA	NA	NA	NA	NA
SE	GUSBP11	9.04270840544e-4	0.00989558396165	0.367	23686837	23686995	NA	NA	NA	NA	NA	NA	23683724	23683867	23695172	23695517	NA	NA	NA	NA	NA	NA
SE	GUSBP11	0.00227045035097	0.0215184416189	0.137	23690235	23690356	NA	NA	NA	NA	NA	NA	23683724	23683867	23695172	23695517	NA	NA	NA	NA	NA	NA
SE	DGCR8	9.88098491916e-15	7.812607278e-13	0.33	20106591	20106685	NA	NA	NA	NA	NA	NA	20106176	20106277	20107270	20107398	NA	NA	NA	NA	NA	NA
SE	DGCR8	1.22235555011e-13	8.823578661170001e-12	0.15	20106591	20106698	NA	NA	NA	NA	NA	NA	20106176	20106277	20107270	20107398	NA	NA	NA	NA	NA	NA
SE	TANGO2	5.65646658057e-6	1.19601953143e-4	0.459	20053436	20053551	NA	NA	NA	NA	NA	NA	20052464	20052584	20061529	20061681	NA	NA	NA	NA	NA	NA
SE	TANGO2	2.80341817926e-6	6.43040147371e-5	0.414	20053436	20053551	NA	NA	NA	NA	NA	NA	20052464	20052584	20063337	20063442	NA	NA	NA	NA	NA	NA
SE	TANGO2	5.85145787426e-4	0.00683274272157	0.451	20055942	20056013	NA	NA	NA	NA	NA	NA	20052464	20052584	20063337	20063442	NA	NA	NA	NA	NA	NA
SE	HIRA	7.706613125440001e-12	4.55316463805e-10	0.149	19351357	19351446	NA	NA	NA	NA	NA	NA	19330697	19331556	19353355	19353519	NA	NA	NA	NA	NA	NA
SE	CLTCL1	1.22769572286e-11	7.05966026891e-10	0.526	19208153	19208311	NA	NA	NA	NA	NA	NA	19201328	19201493	19208921	19209114	NA	NA	NA	NA	NA	NA
SE	IL17RA	0	0	0.613	17103493	17103577	NA	NA	NA	NA	NA	NA	17102138	17102302	17104725	17104810	NA	NA	NA	NA	NA	NA
SE	PRMT2	0.00544797183822	0.0447723047832	0.284	46661799	46661936	NA	NA	NA	NA	NA	NA	46660832	46660962	46664294	46664951	NA	NA	NA	NA	NA	NA
SE	C21orf58	1.29828028047e-4	0.00187771814909	0.26	46301996	46302154	NA	NA	NA	NA	NA	NA	46300429	46300794	46302484	46302576	NA	NA	NA	NA	NA	NA
SE	DYRK1A	8.62285375115e-5	0.00131742096496	0.134	37421773	37421866	NA	NA	NA	NA	NA	NA	37420298	37420384	37425689	37425781	NA	NA	NA	NA	NA	NA
SE	DYRK1A	3.2439925679e-7	9.2817317636e-6	0.292	37421773	37421866	NA	NA	NA	NA	NA	NA	37420298	37420384	37430268	37430400	NA	NA	NA	NA	NA	NA
SE	VPS26C	3.91732578597e-8	1.34823202481e-6	0.116	37233361	37233442	NA	NA	NA	NA	NA	NA	37232376	37232451	37238459	37238609	NA	NA	NA	NA	NA	NA
SE	TTC3	3.17651567772e-6	7.19772351269e-5	0.309	37157160	37157214	NA	NA	NA	NA	NA	NA	37156654	37156906	37158130	37158203	NA	NA	NA	NA	NA	NA
SE	SIM2	0.00195551264055	0.0189802548525	0.21	36741716	36741864	NA	NA	NA	NA	NA	NA	36731044	36731151	36743386	36743555	NA	NA	NA	NA	NA	NA
SE	RUNX1	4.39636603129e-4	0.0053437016478	0.102	34859473	34859578	NA	NA	NA	NA	NA	NA	34787800	34792610	34880556	34880713	NA	NA	NA	NA	NA	NA
SE	MRPS6	0	0	0.11	34125340	34125480	NA	NA	NA	NA	NA	NA	34073577	34073745	34142407	34143030	NA	NA	NA	NA	NA	NA
SE	ITSN1	1.15789264843e-8	4.36486542174e-7	0.667	33819240	33819323	NA	NA	NA	NA	NA	NA	33813912	33814072	33829623	33829745	NA	NA	NA	NA	NA	NA
SE	GART	6.92136692404e-9	2.68041964527e-7	0.106	33531488	33531557	NA	NA	NA	NA	NA	NA	33530709	33530884	33532344	33532456	NA	NA	NA	NA	NA	NA
SE	ZFX	1.23286681582e-4	0.0017968046841000001	0.194	24175388	24175443	NA	NA	NA	NA	NA	NA	24173606	24173723	24179182	24179550	NA	NA	NA	NA	NA	NA
SE	APP	3.60063090454e-11	1.9465139326e-9	0.166	25997359	25997416	NA	NA	NA	NA	NA	NA	25982343	25982477	26021839	26022042	NA	NA	NA	NA	NA	NA
SE	APP	0	0	0.212	26000014	26000182	NA	NA	NA	NA	NA	NA	25982343	25982477	26021839	26022042	NA	NA	NA	NA	NA	NA
SE	APP	0	0	0.128	26000014	26000182	NA	NA	NA	NA	NA	NA	25997187	25997416	26021839	26022042	NA	NA	NA	NA	NA	NA
SE	BTG3-AS1	4.2520696365e-6	9.29981372207e-5	0.357	17626892	17627049	NA	NA	NA	NA	NA	NA	17611743	17612087	17633148	17633199	NA	NA	NA	NA	NA	NA
SE	MIR99AHG	4.0801680268e-5	6.86212306012e-4	0.101	16594339	16594454	NA	NA	NA	NA	NA	NA	16487489	16487538	16606993	16607087	NA	NA	NA	NA	NA	NA
SE	MIR99AHG	3.26995091253e-5	5.65580772773e-4	0.109	16594339	16594454	NA	NA	NA	NA	NA	NA	16537280	16537439	16606993	16607087	NA	NA	NA	NA	NA	NA
SE	ENSG00000229425	0.00199947065514	0.0193198183377	0.141	15394472	15394506	NA	NA	NA	NA	NA	NA	15390577	15390618	15394999	15395129	NA	NA	NA	NA	NA	NA
SE	TEKT4P2	3.6187999192800003e-05	6.16865438737e-4	0.162	9128959	9129200	NA	NA	NA	NA	NA	NA	9127488	9127547	9129682	9129729	NA	NA	NA	NA	NA	NA
SE	TPD52L2	1.19979914025e-4	0.00175432038583	0.297	63875815	63875875	NA	NA	NA	NA	NA	NA	63873667	63873816	63889189	63889238	NA	NA	NA	NA	NA	NA
SE	STX16	1.40831338729e-5	2.68471579308e-4	0.146	58659622	58659634	NA	NA	NA	NA	NA	NA	58651282	58652138	58667489	58667597	NA	NA	NA	NA	NA	NA
SE	STX16	1.79443518922e-6	4.32142760486e-5	0.127	58669290	58669453	NA	NA	NA	NA	NA	NA	58667986	58668127	58670511	58670603	NA	NA	NA	NA	NA	NA
SE	STX16	1.8394069361e-6	4.42212070343e-5	0.115	58659622	58659634	NA	NA	NA	NA	NA	NA	58651271	58652087	58667489	58667597	NA	NA	NA	NA	NA	NA
SE	STX16	4.01181612009e-6	8.86264642836e-5	0.112	58669301	58669453	NA	NA	NA	NA	NA	NA	58667986	58668127	58670511	58670603	NA	NA	NA	NA	NA	NA
SE	AURKA	0.00198266319169	0.0191922002662	0.206	56390555	56390665	NA	NA	NA	NA	NA	NA	56388155	56388202	56392167	56392202	NA	NA	NA	NA	NA	NA
SE	ZFP64	0	0	0.138	52165863	52166025	NA	NA	NA	NA	NA	NA	52164694	52164757	52186831	52187065	NA	NA	NA	NA	NA	NA
SE	ADNP	7.9607449861e-6	1.62315980313e-4	0.145	50918738	50918781	NA	NA	NA	NA	NA	NA	50904765	50904849	50930825	50931437	NA	NA	NA	NA	NA	NA
SE	SLC9A8	4.99481335348e-6	1.07088147882e-4	0.18	49849578	49849680	NA	NA	NA	NA	NA	NA	49823060	49823141	49855437	49855581	NA	NA	NA	NA	NA	NA
SE	SLC9A8	0.00122521962056	0.0128380312118	0.12	49849578	49849680	NA	NA	NA	NA	NA	NA	49839540	49839599	49855437	49855581	NA	NA	NA	NA	NA	NA
SE	SLC9A8	4.4408920985e-15	3.63980848064e-13	0.426	49886751	49886898	NA	NA	NA	NA	NA	NA	49883845	49884066	49887828	49892241	NA	NA	NA	NA	NA	NA
SE	SLC2A10	0	0	0.667	46729352	46729488	NA	NA	NA	NA	NA	NA	46726863	46726986	46733755	46736347	NA	NA	NA	NA	NA	NA
SE	SLC35C2	0	0	0.419	46357622	46357702	NA	NA	NA	NA	NA	NA	46356573	46356637	46358386	46358763	NA	NA	NA	NA	NA	NA
SE	SLC35C2	0	0	0.192	46357622	46357773	NA	NA	NA	NA	NA	NA	46356573	46356637	46358386	46358506	NA	NA	NA	NA	NA	NA
SE	ZNF335	1.00885202952e-4	0.00151204905453	0.113	45957585	45957680	NA	NA	NA	NA	NA	NA	45953688	45953948	45957834	45957928	NA	NA	NA	NA	NA	NA
SE	ACOT8	0	0	0.29	45848449	45848675	NA	NA	NA	NA	NA	NA	45842022	45844420	45855158	45855284	NA	NA	NA	NA	NA	NA
SE	ACOT8	4.31259428169e-9	1.72317538609e-7	0.157	45848449	45848675	NA	NA	NA	NA	NA	NA	45842022	45844420	45857187	45857371	NA	NA	NA	NA	NA	NA
SE	ACOT8	6.88338275268e-15	5.536326505800001e-13	0.352	45853922	45853984	NA	NA	NA	NA	NA	NA	45844262	45844420	45855158	45855292	NA	NA	NA	NA	NA	NA
SE	PABPC1L	8.49541182174e-5	0.00129991424561	0.249	44933056	44933185	NA	NA	NA	NA	NA	NA	44930459	44930726	44935390	44935497	NA	NA	NA	NA	NA	NA
