SpliceID	dPSI	Uniprot	Type
B4GALT4:119218649-119218772	-0.117	Other	A5SS
BCO2:112214761-112214944	-0.111	Other	A5SS
BECN1:42823704-42823879	-0.23	Other	A5SS
BICD1:32337498-32337816	-0.557	Other	A5SS
BLVRB:40458173-40458545	-0.109	Other	A5SS
BRPF1:9742024-9742541	0.103	Other	A5SS
BRPF1:9742024-9742541	0.292	Other	A5SS
BRPF1:9742943-9743471	0.291	Other	A5SS
CASP7:113725361-113725537	-0.163	Other	A5SS
CASP7:113725361-113725537	-0.335	Other	A5SS
CASP8:201276826-201277104	0.119	Other	A5SS
CBLB:105671020-105671046	0.207	Other	A5SS
CCDC18:93180723-93180882	0.189	Other	A5SS
CCNL1:157151728-157151930	-0.206	Other	A5SS
CCNL1:157156935-157157083	0.186	Other	A5SS
CHEK2:28730419-28730548	-0.24	Other	A5SS
CNOT3:54152866-54153082	0.279	Other	A5SS
DCTN1:74366458-74366932	-0.104	Other	A5SS
DDX56:44572562-44572744	0.605	Other	A5SS
DECR1:90005447-90005845	-0.203	Other	A5SS
DECR1:90005447-90005845	-0.207	Other	A5SS
DESI2:244653125-244654025	-0.194	Other	A5SS
DHRS12:51773920-51774034	0.162	Other	A5SS
DMAC2L:50312323-50313060	-0.141	Other	A5SS
DMAC2L:50322510-50322806	-0.156	Other	A5SS
DMPK:45778492-45779359	0.205	Other	A5SS
ENSG00000283103:58314670-58315036	0.229	Other	A5SS
ETF1:138542633-138542936	0.119	Other	A5SS
EWSR1:29288605-29291599	-0.117	Other	A5SS
EZH2:148846469-148846598	-0.15	Other	A5SS
FCGRT:49513881-49514486	0.165	Other	A5SS
FNTA:43077215-43080441	0.402	Other	A5SS
FTSJ1:48477960-48478518	-0.516	Other	A5SS
GALE:23796508-23796782	-0.138	Other	A5SS
GALT:34648761-34649081	0.216	Other	A5SS
GARS1:30628559-30631541	-0.118	Other	A5SS
GLTP:109857854-109858193	-0.262	Other	A5SS
GORASP1:39100787-39101102	0.185	Other	A5SS
GORASP1:39100787-39101102	0.338	Other	A5SS
GPS2:7313567-7313988	-0.327	Other	A5SS
HEXA:72353690-72355624	0.188	Other	A5SS
HGFAC:3445264-3445896	0.35	Other	A5SS
HNRNPA1:54282572-54282662	0.395	Other	A5SS
HNRNPA1:54282572-54282665	0.395	Other	A5SS
HNRNPA2B1:26190992-26192577	0.136	Other	A5SS
HNRNPH1:179616868-179616958	-0.105	Other	A5SS
HSD11B1L:5684818-5685119	-0.287	Other	A5SS
HYI:43451409-43451544	-0.167	Other	A5SS
KIAA1549L:33542330-33544354	-0.186	Other	A5SS
LMO3:16600600-16600868	-0.103	Other	A5SS
MADD:47284940-47285194	0.101	Other	A5SS
MADD:47295495-47295576	-0.229	Other	A5SS
MADD:47295495-47295579	0.193	Other	A5SS
MAP3K13:185428496-185429056	-0.112	Other	A5SS
METTL25B:156734008-156734493	-0.25	Other	A5SS
MICAL1:109451599-109452401	0.105	Other	A5SS
MICALL2:1437433-1437608	0.152	Other	A5SS
MID1:10566887-10567603	-0.117	Other	A5SS
MOGS:74464495-74464722	-0.116	Other	A5SS
MT1X:56683164-56683386	0.111	Other	A5SS
NCL:231458265-231459125	0.133	Other	A5SS
NDUFAF7:37241577-37241791	0.101	Other	A5SS
NDUFV1:67606957-67607324	0.256	Other	A5SS
NEBL:20817597-20817692	-0.117	Other	A5SS
NMT1:45081643-45081995	-0.276	Other	A5SS
NPL:182806144-182806531	0.301	Other	A5SS
NT5C:75130964-75131105	0.251	Other	A5SS
NT5C:75130964-75131281	0.24	Other	A5SS
P4HTM:49002499-49006187	-0.188	Other	A5SS
PARD3:34347955-34348115	-0.183	Other	A5SS
PAXBP1:32755212-32755353	0.138	Other	A5SS
PIGT:45416516-45418979	0.313	Other	A5SS
PITRM1:3171760-3172782	0.301	Other	A5SS
PLCD1:38008457-38009158	0.173	Other	A5SS
PLSCR1:146521543-146522053	0.161	Other	A5SS
PNCK:153671879-153672200	-0.182	Other	A5SS
POLR3E:22309427-22309510	-0.115	Other	A5SS
POMT2:77279536-77279928	0.233	Other	A5SS
POMT2:77279683-77279928	0.137	Other	A5SS
PPIG:169630773-169631933	-0.186	Other	A5SS
PUM1:31059203-31059577	0.119	Other	A5SS
RAD51C:58692601-58693650	0.15	Other	A5SS
RAD52:926795-927263	0.283	Other	A5SS
REPS1:138926400-138930098	0.156	Other	A5SS
RSKR:28611392-28611656	0.173	Other	A5SS
RUSC1:155325101-155325490	-0.276	Other	A5SS
SAMD11:939271-939460	-0.19	Other	A5SS
SEC31A:82842139-82842481	-0.12	Other	A5SS
SGO1:20174248-20175055	-0.312	Other	A5SS
SLC39A11:72849593-72849804	0.147	Other	A5SS
SLC5A6:27202812-27203345	0.158	Other	A5SS
SLC9A3-AS1:477243-477465	0.113	Other	A5SS
SMARCC2:56164302-56164731	-0.291	Other	A5SS
SPIN3:56993786-56994949	0.147	Other	A5SS
SYNCRIP:85614980-85615347	-0.115	Other	A5SS
TARDBP:11022123-11022250	0.307	Other	A5SS
TBRG4:45108826-45109287	-0.132	Other	A5SS
TEAD2:49355302-49355419	-0.153	Other	A5SS
TLE3:70057458-70057658	-0.242	Other	A5SS
TMEM199:28357646-28357905	-0.738	Other	A5SS
TMF1:69047348-69048562	-0.404	Other	A5SS
TPP1:6617625-6618915	-0.189	Other	A5SS
TRO:54928602-54931031	0.121	Other	A5SS
TROAP:49330144-49330943	0.161	Other	A5SS
UBQLN1:83666349-83669327	0.13	Other	A5SS
UPP1:48101823-48101982	0.135	Other	A5SS
USP19:49116720-49116943	-0.146	Other	A5SS
WDR49:167554649-167554798	-0.16	Other	A5SS
WDR83:12669976-12670097	-0.14	Other	A5SS
YPEL1:21710486-21710908	-0.121	Other	A5SS
ZMYM5:19851354-19852190	0.105	Other	A5SS
ZNF652:49316825-49317983	0.139	Other	A5SS
ZNF827:145764974-145765165	-0.243	Other	A5SS
ERBB2:39706989-39707204	-0.252	DisulfBond	A5SS
ESAM:124754629-124754763	0.3	DisulfBond	A5SS
FCGRT:49513881-49514486	0.165	DisulfBond	A5SS
HGFAC:3445264-3445896	0.35	DisulfBond	A5SS
ITGA6:172489484-172489658	-0.108	DisulfBond	A5SS
SCARB1:124807760-124807927	0.126	DisulfBond	A5SS
ST3GAL3:43899167-43899289	0.185	DisulfBond	A5SS
THBS3:155203085-155203137	0.109	DisulfBond	A5SS
TPP1:6617625-6618915	-0.189	DisulfBond	A5SS
HSD11B1L:5684818-5685119	-0.287	LocSignal	A5SS
IFI6:27669232-27669346	0.169	LocSignal	A5SS
N4BP2L2:32527407-32527532	-0.146	LocSignal	A5SS
PLPP5:38268822-38268990	0.127	LocSignal	A5SS
SDC2:96493812-96494331	0.147	LocSignal	A5SS
