Parent=ENST00000000233.10	gene_name=ARF5
Parent=ENST00000007699.10	gene_name=YBX2
Parent=ENST00000007708.7	gene_name=PDK2
Parent=ENST00000007722.11	gene_name=ITGA3
Parent=ENST00000007735.4	gene_name=KRT33A
Parent=ENST00000007969.12	gene_name=LRRC23
Parent=ENST00000008180.13	gene_name=IL32
Parent=ENST00000008391.4	gene_name=TFAP2D
Parent=ENST00000008440.9	gene_name=SPRTN
Parent=ENST00000008527.10	gene_name=CRY1
Parent=ENST00000008938.5	gene_name=PGLYRP1
Parent=ENST00000009041.12	gene_name=STARD3NL
Parent=ENST00000009105.5	gene_name=CAMK1G
Parent=ENST00000009180.10	gene_name=CD9
Parent=ENST00000009530.13	gene_name=CD74
Parent=ENST00000009589.8	gene_name=RPS20
Parent=ENST00000010132.6	gene_name=DYRK4
Parent=ENST00000010299.10	gene_name=FAM76A
Parent=ENST00000010404.6	gene_name=MGST1
Parent=ENST00000011292.8	gene_name=CPA1
Parent=ENST00000011473.6	gene_name=SYPL1
Parent=ENST00000011619.6	gene_name=RANBP9
Parent=ENST00000011653.9	gene_name=CD4
Parent=ENST00000011684.11	gene_name=PLEKHG6
Parent=ENST00000011691.6	gene_name=SS18L2
Parent=ENST00000011898.10	gene_name=TSPAN9
Parent=ENST00000011989.11	gene_name=CYP4F2
Parent=ENST00000012049.10	gene_name=QPCTL
Parent=ENST00000012134.7	gene_name=HIVEP2
Parent=ENST00000012443.9	gene_name=PPP5C
Parent=ENST00000013034.3	gene_name=NME1
Parent=ENST00000013070.11	gene_name=UBR7
Parent=ENST00000013125.9	gene_name=MAP4K5
Parent=ENST00000013222.5	gene_name=INMT
Parent=ENST00000013807.9	gene_name=ERCC1
Parent=ENST00000014914.6	gene_name=GPRC5A
Parent=ENST00000014930.9	gene_name=HEBP1
Parent=ENST00000016171.6	gene_name=COX15
Parent=ENST00000016913.8	gene_name=MS4A12
Parent=ENST00000016946.8	gene_name=RGPD5
Parent=ENST00000017003.7	gene_name=XYLT2
Parent=ENST00000019019.6	gene_name=FTSJ1
Parent=ENST00000019103.8	gene_name=SCTR
Parent=ENST00000019317.8	gene_name=RALBP1
Parent=ENST00000020673.6	gene_name=PSD
Parent=ENST00000020926.8	gene_name=SYT13
Parent=ENST00000020945.4	gene_name=SNAI2
Parent=ENST00000022615.9	gene_name=VDAC3
Parent=ENST00000023064.9	gene_name=SLC7A9
Parent=ENST00000023897.10	gene_name=GABRA1
Parent=ENST00000023939.8	gene_name=RTF2
Parent=ENST00000024061.7	gene_name=SLC45A4
Parent=ENST00000025008.10	gene_name=RB1CC1
Parent=ENST00000025301.4	gene_name=AKAP11
Parent=ENST00000025399.10	gene_name=STRAP
Parent=ENST00000026218.9	gene_name=PIGQ
Parent=ENST00000027335.8	gene_name=CDH17
Parent=ENST00000029410.10	gene_name=B4GALT7
Parent=ENST00000031146.8	gene_name=SLC39A9
Parent=ENST00000033079.7	gene_name=FAM13B
Parent=ENST00000034275.12	gene_name=RANBP3
Parent=ENST00000035307.7	gene_name=CHPF2
Parent=ENST00000037243.7	gene_name=GABARAPL2
Parent=ENST00000037502.11	gene_name=MYOC
Parent=ENST00000037869.7	gene_name=FAM136A
Parent=ENST00000038176.8	gene_name=NSMAF
Parent=ENST00000039007.5	gene_name=OTC
Parent=ENST00000039989.9	gene_name=TTC17
Parent=ENST00000040584.6	gene_name=HOXC8
Parent=ENST00000040663.8	gene_name=MRI1
Parent=ENST00000040738.10	gene_name=BOD1L1
Parent=ENST00000040877.2	gene_name=TARBP1
Parent=ENST00000042381.9	gene_name=RIPOR1
Parent=ENST00000042931.1	gene_name=BEST2
Parent=ENST00000043402.8	gene_name=RTN4R
Parent=ENST00000044462.12	gene_name=PSMA4
Parent=ENST00000045083.6	gene_name=RIPOR3
Parent=ENST00000045347.11	gene_name=SPATA7
Parent=ENST00000046087.7	gene_name=ZPBP
Parent=ENST00000046640.9	gene_name=CTNS
Parent=ENST00000046794.10	gene_name=LCP2
Parent=ENST00000052569.10	gene_name=GOPC
Parent=ENST00000052754.10	gene_name=DCN
Parent=ENST00000053243.6	gene_name=TNFRSF17
Parent=ENST00000053468.4	gene_name=MRPS10
Parent=ENST00000053867.8	gene_name=GRN
Parent=ENST00000054650.9	gene_name=THAP3
Parent=ENST00000054666.11	gene_name=VAMP3
Parent=ENST00000054668.5	gene_name=UTS2
Parent=ENST00000054950.4	gene_name=RCN1
Parent=ENST00000055077.8	gene_name=RFC2
Parent=ENST00000055335.11	gene_name=PPP1R3F
Parent=ENST00000055682.12	gene_name=NEXMIF
Parent=ENST00000056217.10	gene_name=ARHGEF5
Parent=ENST00000056233.4	gene_name=NFE2L3
Parent=ENST00000057513.8	gene_name=TNIP3
Parent=ENST00000060969.6	gene_name=SIKE1
Parent=ENST00000061240.7	gene_name=TLL1
Parent=ENST00000064571.3	gene_name=CBLN4
Parent=ENST00000064724.8	gene_name=CLDN11
Parent=ENST00000064778.8	gene_name=FAM168A
Parent=ENST00000064780.7	gene_name=RELT
Parent=ENST00000066544.8	gene_name=CDC27
Parent=ENST00000070846.11	gene_name=PKP2
Parent=ENST00000072516.7	gene_name=IL1RAP
Parent=ENST00000072644.7	gene_name=YIPF1
Parent=ENST00000072869.9	gene_name=ADCK2
Parent=ENST00000074304.9	gene_name=INPP4A
Parent=ENST00000075120.12	gene_name=SLC2A3
Parent=ENST00000075322.11	gene_name=ENPP2
Parent=ENST00000075430.11	gene_name=CTDP1
Parent=ENST00000075503.8	gene_name=STYK1
Parent=ENST00000078429.9	gene_name=GNA11
Parent=ENST00000078445.7	gene_name=CREB3L3
Parent=ENST00000078527.9	gene_name=PIGV
Parent=ENST00000080059.12	gene_name=HDAC7
Parent=ENST00000081029.8	gene_name=MRPS35
Parent=ENST00000083182.8	gene_name=APPBP2
Parent=ENST00000084798.9	gene_name=CA11
Parent=ENST00000085068.7	gene_name=ISOC2
Parent=ENST00000085079.11	gene_name=EPN1
Parent=ENST00000085219.10	gene_name=CD22
Parent=ENST00000086933.3	gene_name=GSC2
Parent=ENST00000155093.8	gene_name=ZFY
Parent=ENST00000155674.9	gene_name=HDHD5
Parent=ENST00000155840.12	gene_name=KCNQ1
Parent=ENST00000155858.10	gene_name=TRPM5
Parent=ENST00000155926.9	gene_name=TRIB2
Parent=ENST00000156084.8	gene_name=OTUD5
Parent=ENST00000156109.7	gene_name=GPKOW
Parent=ENST00000156471.10	gene_name=AQR
Parent=ENST00000156499.7	gene_name=KLK14
Parent=ENST00000156626.12	gene_name=ST6GALNAC1
Parent=ENST00000156825.5	gene_name=MBD3
Parent=ENST00000157600.8	gene_name=LMCD1
Parent=ENST00000157812.7	gene_name=PSMC4
Parent=ENST00000158009.6	gene_name=FNDC8
Parent=ENST00000158166.5	gene_name=CAMKK1
Parent=ENST00000158762.8	gene_name=ACAP1
Parent=ENST00000158771.9	gene_name=DERL2
Parent=ENST00000159060.3	gene_name=NOX3
Parent=ENST00000159087.7	gene_name=ANO8
Parent=ENST00000159111.9	gene_name=KDM4B
Parent=ENST00000159647.9	gene_name=PANX2
Parent=ENST00000160262.10	gene_name=ICAM3
Parent=ENST00000160298.9	gene_name=CAMSAP3
Parent=ENST00000160373.8	gene_name=CTTNBP2
Parent=ENST00000160382.10	gene_name=ACTL6B
Parent=ENST00000160740.7	gene_name=CIC
Parent=ENST00000160827.9	gene_name=KIF22
Parent=ENST00000161006.8	gene_name=PRSS22
Parent=ENST00000161559.11	gene_name=CEACAM1
Parent=ENST00000161863.9	gene_name=YTHDC2
Parent=ENST00000162044.14	gene_name=TMEM161A
Parent=ENST00000162330.10	gene_name=BCAR1
Parent=ENST00000162391.8	gene_name=FOXJ2
Parent=ENST00000162749.7	gene_name=TNFRSF1A
Parent=ENST00000163416.7	gene_name=GOLGA5
Parent=ENST00000164024.5	gene_name=CELSR3
Parent=ENST00000164133.7	gene_name=PPP2R5B
Parent=ENST00000164139.4	gene_name=PYGM
Parent=ENST00000164227.10	gene_name=BCL3
Parent=ENST00000164247.5	gene_name=KCNAB2
Parent=ENST00000164305.10	gene_name=PIGB
Parent=ENST00000164640.8	gene_name=PDZD4
Parent=ENST00000165524.1	gene_name=PRLH
Parent=ENST00000165698.9	gene_name=REEP1
Parent=ENST00000166139.9	gene_name=FSTL3
Parent=ENST00000166244.8	gene_name=EPHA8
Parent=ENST00000166345.8	gene_name=TRIP13
Parent=ENST00000166534.8	gene_name=P4HA2
Parent=ENST00000167106.9	gene_name=VASH1
Parent=ENST00000167462.9	gene_name=LLGL2
Parent=ENST00000167586.7	gene_name=KRT14
Parent=ENST00000167588.4	gene_name=KRT20
Parent=ENST00000168148.8	gene_name=SPP2
Parent=ENST00000168216.11	gene_name=HSD17B10
Parent=ENST00000168712.3	gene_name=FGF4
Parent=ENST00000168977.7	gene_name=NMRK2
Parent=ENST00000169293.10	gene_name=MASP1
Parent=ENST00000169298.8	gene_name=ST6GAL1
Parent=ENST00000169551.11	gene_name=TIMM21
Parent=ENST00000170150.4	gene_name=BPIFB2
Parent=ENST00000170168.9	gene_name=REXO1
Parent=ENST00000170447.12	gene_name=MKRN2
Parent=ENST00000170564.7	gene_name=GPATCH1
Parent=ENST00000170630.6	gene_name=IL4R
Parent=ENST00000171111.10	gene_name=KEAP1
Parent=ENST00000171757.3	gene_name=P2RY10
Parent=ENST00000171887.8	gene_name=TNS1
Parent=ENST00000172229.8	gene_name=NGFR
Parent=ENST00000173229.7	gene_name=NTN1
Parent=ENST00000173527.6	gene_name=ISOC1
Parent=ENST00000173898.12	gene_name=TRO
Parent=ENST00000174618.5	gene_name=MNT
Parent=ENST00000174653.3	gene_name=AP3M2
Parent=ENST00000175091.5	gene_name=LAPTM4A
Parent=ENST00000175238.10	gene_name=ADAM7
Parent=ENST00000175506.8	gene_name=ASNS
Parent=ENST00000175756.10	gene_name=PTPN18
Parent=ENST00000176183.6	gene_name=DRD4
Parent=ENST00000176195.4	gene_name=SCT
Parent=ENST00000176643.11	gene_name=ALDH3A2
Parent=ENST00000176763.10	gene_name=STK10
Parent=ENST00000177648.13	gene_name=ALPK1
Parent=ENST00000177694.2	gene_name=TBX21
Parent=ENST00000177742.7	gene_name=MRPS34
Parent=ENST00000178638.8	gene_name=CA12
Parent=ENST00000178640.10	gene_name=MAP2K5
Parent=ENST00000179259.6	gene_name=TIGAR
Parent=ENST00000180166.6	gene_name=FGF20
Parent=ENST00000180173.10	gene_name=MTMR7
Parent=ENST00000181383.10	gene_name=CPB2
Parent=ENST00000181796.7	gene_name=FAM107B
Parent=ENST00000181839.10	gene_name=CDK13
Parent=ENST00000182290.9	gene_name=TSPAN32
Parent=ENST00000182377.8	gene_name=FAR2
Parent=ENST00000182527.4	gene_name=TRAM2
Parent=ENST00000183605.10	gene_name=CLDN18
Parent=ENST00000184183.8	gene_name=ROPN1
Parent=ENST00000184266.3	gene_name=NDUFB4
Parent=ENST00000184956.11	gene_name=HEATR6
Parent=ENST00000185150.9	gene_name=ERLEC1
Parent=ENST00000185206.12	gene_name=CLIC5
Parent=ENST00000186436.10	gene_name=TMEM131
Parent=ENST00000187397.8	gene_name=ARPP21
Parent=ENST00000187608.13	gene_name=CEACAM21
Parent=ENST00000187762.7	gene_name=TMEM38A
Parent=ENST00000187879.12	gene_name=ZNF222
Parent=ENST00000187910.7	gene_name=PSG6
Parent=ENST00000188312.7	gene_name=ACTR6
Parent=ENST00000188376.9	gene_name=SLC25A3
Parent=ENST00000188403.7	gene_name=NR1H4
Parent=ENST00000188790.9	gene_name=FAP
Parent=ENST00000189444.11	gene_name=NFKB2
Parent=ENST00000189978.10	gene_name=MUSK
Parent=ENST00000190165.3	gene_name=DMRT3
Parent=ENST00000190611.9	gene_name=OSBPL6
Parent=ENST00000190983.5	gene_name=CCN5
Parent=ENST00000191018.9	gene_name=CTSA
Parent=ENST00000191063.8	gene_name=ANKRD16
Parent=ENST00000192314.7	gene_name=GAL3ST2
Parent=ENST00000192788.6	gene_name=UHRF1BP1
Parent=ENST00000193322.8	gene_name=OSTM1
Parent=ENST00000193391.8	gene_name=IMPG2
Parent=ENST00000193403.10	gene_name=ACTN1
Parent=ENST00000194097.8	gene_name=NAIP
Parent=ENST00000194118.8	gene_name=DELE1
Parent=ENST00000194130.7	gene_name=SLC13A1
Parent=ENST00000194152.4	gene_name=PCDHB4
Parent=ENST00000194155.7	gene_name=PCDHB2
Parent=ENST00000194214.10	gene_name=HSPB11
Parent=ENST00000194530.8	gene_name=STRADB
Parent=ENST00000194900.8	gene_name=DLG3
Parent=ENST00000195173.8	gene_name=SEMA5B
Parent=ENST00000195649.10	gene_name=SNAP91
Parent=ENST00000196061.5	gene_name=PLOD1
Parent=ENST00000196169.7	gene_name=TDRD3
Parent=ENST00000196371.10	gene_name=OXCT1
Parent=ENST00000196482.4	gene_name=ZNF324
Parent=ENST00000196489.4	gene_name=ZNF416
Parent=ENST00000196551.8	gene_name=RPS5
Parent=ENST00000197268.13	gene_name=FAM234B
Parent=ENST00000198536.7	gene_name=PILRA
Parent=ENST00000198767.11	gene_name=RRN3
Parent=ENST00000198801.10	gene_name=MOGAT2
Parent=ENST00000198939.6	gene_name=CHERP
Parent=ENST00000199280.4	gene_name=AQP2
Parent=ENST00000199320.9	gene_name=DIMT1
Parent=ENST00000199389.11	gene_name=EIF2AK1
Parent=ENST00000199447.9	gene_name=NME8
Parent=ENST00000199448.9	gene_name=EPDR1
Parent=ENST00000199706.13	gene_name=MRPL28
Parent=ENST00000199708.3	gene_name=HBQ1
Parent=ENST00000199764.7	gene_name=CEACAM6
Parent=ENST00000199814.9	gene_name=RBM22
Parent=ENST00000199936.9	gene_name=HSD17B2
Parent=ENST00000199940.10	gene_name=MAP2
Parent=ENST00000200135.8	gene_name=ZW10
Parent=ENST00000200181.8	gene_name=ITGB4
Parent=ENST00000200453.6	gene_name=PPP1R15A
Parent=ENST00000200457.9	gene_name=TRIP6
Parent=ENST00000200557.11	gene_name=ADAM11
Parent=ENST00000200639.9	gene_name=LAMP2
Parent=ENST00000200652.4	gene_name=SLC22A4
Parent=ENST00000200676.8	gene_name=CETP
Parent=ENST00000200691.5	gene_name=MT3
Parent=ENST00000201015.8	gene_name=PTHLH
Parent=ENST00000201031.3	gene_name=TFAP2C
Parent=ENST00000201586.7	gene_name=SULT2B1
Parent=ENST00000201647.11	gene_name=EPS8L1
Parent=ENST00000201943.10	gene_name=CACNB4
Parent=ENST00000201963.3	gene_name=DNMT3B
Parent=ENST00000201979.3	gene_name=REM1
Parent=ENST00000202017.6	gene_name=PDRG1
Parent=ENST00000202028.9	gene_name=EPB41L1
Parent=ENST00000202556.14	gene_name=PPP1R13B
Parent=ENST00000202625.7	gene_name=TGM6
Parent=ENST00000202677.12	gene_name=RALGAPA2
Parent=ENST00000202773.14	gene_name=RPL6
Parent=ENST00000202816.5	gene_name=ESF1
Parent=ENST00000202831.7	gene_name=SLC8B1
Parent=ENST00000202834.11	gene_name=TMEM230
Parent=ENST00000202917.10	gene_name=OAS1
Parent=ENST00000202967.4	gene_name=SIRT4
Parent=ENST00000203001.7	gene_name=TRMT6
Parent=ENST00000203166.10	gene_name=HAUS5
Parent=ENST00000203407.6	gene_name=UQCRC1
Parent=ENST00000203556.9	gene_name=GMIP
Parent=ENST00000203629.3	gene_name=LAG3
Parent=ENST00000203630.10	gene_name=MLF2
Parent=ENST00000203664.10	gene_name=OTUB2
Parent=ENST00000204005.13	gene_name=LTBP4
Parent=ENST00000204517.11	gene_name=TFAP4
Parent=ENST00000204549.9	gene_name=PDCD7
Parent=ENST00000204566.7	gene_name=SPG21
Parent=ENST00000204604.5	gene_name=CHRD
Parent=ENST00000204637.6	gene_name=FLT3LG
Parent=ENST00000204679.9	gene_name=GNPTG
Parent=ENST00000204726.9	gene_name=GOLGA3
Parent=ENST00000204801.12	gene_name=CD209
Parent=ENST00000204961.5	gene_name=EFNB1
Parent=ENST00000205061.9	gene_name=GLG1
Parent=ENST00000205143.4	gene_name=DLL3
Parent=ENST00000205194.5	gene_name=NAT14
Parent=ENST00000205214.11	gene_name=AASDH
Parent=ENST00000205386.8	gene_name=LAMB4
Parent=ENST00000205402.10	gene_name=DLD
Parent=ENST00000205557.12	gene_name=ABCC6
Parent=ENST00000205636.4	gene_name=CMTM6
Parent=ENST00000205948.11	gene_name=APOH
Parent=ENST00000206020.8	gene_name=SPAG7
Parent=ENST00000206249.8	gene_name=ESR1
Parent=ENST00000206262.2	gene_name=RGS17
Parent=ENST00000206380.8	gene_name=TMEM101
Parent=ENST00000206423.8	gene_name=CCDC80
Parent=ENST00000206446.4	gene_name=CMA1
Parent=ENST00000206451.11	gene_name=PSME1
Parent=ENST00000206474.11	gene_name=HAUS4
Parent=ENST00000206513.6	gene_name=CEBPE
Parent=ENST00000206542.9	gene_name=OSGEP
Parent=ENST00000206595.11	gene_name=G2E3
Parent=ENST00000206765.11	gene_name=TGM1
Parent=ENST00000207157.7	gene_name=TBX15
Parent=ENST00000207457.8	gene_name=TEKT2
Parent=ENST00000207549.9	gene_name=UNC13D
Parent=ENST00000207870.8	gene_name=XYLB
Parent=ENST00000209540.2	gene_name=OR1I1
Parent=ENST00000209665.8	gene_name=ADH7
Parent=ENST00000209668.3	gene_name=ADH1A
Parent=ENST00000209718.8	gene_name=KRT23
Parent=ENST00000209728.9	gene_name=CDC6
Parent=ENST00000209873.9	gene_name=AAAS
Parent=ENST00000209875.9	gene_name=CBX5
Parent=ENST00000209884.5	gene_name=KLHL20
Parent=ENST00000209929.10	gene_name=FMO2
Parent=ENST00000210060.12	gene_name=DHPS
Parent=ENST00000210187.11	gene_name=RAB26
Parent=ENST00000210313.8	gene_name=PSMD5
Parent=ENST00000210444.6	gene_name=NANS
Parent=ENST00000210633.3	gene_name=SEMA4G
Parent=ENST00000211076.5	gene_name=TPSD1
Parent=ENST00000211122.4	gene_name=GSTA3
Parent=ENST00000211287.9	gene_name=MAPK13
Parent=ENST00000211314.5	gene_name=TMEM14A
Parent=ENST00000211379.9	gene_name=BAG6
Parent=ENST00000211413.10	gene_name=PRRT1
Parent=ENST00000211921.11	gene_name=LST1
Parent=ENST00000211936.10	gene_name=ZNF184
Parent=ENST00000211998.10	gene_name=VCL
Parent=ENST00000212015.11	gene_name=SIRT1
Parent=ENST00000212355.9	gene_name=TGFBR3
Parent=ENST00000214869.7	gene_name=TMED1
Parent=ENST00000215057.7	gene_name=MZF1
Parent=ENST00000215061.9	gene_name=OCEL1
Parent=ENST00000215071.9	gene_name=PSMD8
Parent=ENST00000215095.11	gene_name=STX1B
Parent=ENST00000215115.5	gene_name=BCL7C
Parent=ENST00000215368.4	gene_name=EFNA2
Parent=ENST00000215375.7	gene_name=ATP5F1D
Parent=ENST00000215473.7	gene_name=PCDH11Y
Parent=ENST00000215530.7	gene_name=FGF22
Parent=ENST00000215531.6	gene_name=SMIM24
Parent=ENST00000215539.4	gene_name=IGFALS
Parent=ENST00000215555.7	gene_name=MARCHF2
Parent=ENST00000215565.3	gene_name=NDUFB7
Parent=ENST00000215567.10	gene_name=TECR
Parent=ENST00000215570.8	gene_name=TIMM13
Parent=ENST00000215574.9	gene_name=CDC34
Parent=ENST00000215582.8	gene_name=MISP
Parent=ENST00000215631.9	gene_name=GADD45B
Parent=ENST00000215637.8	gene_name=MADCAM1
Parent=ENST00000215659.13	gene_name=MAPK12
Parent=ENST00000215727.10	gene_name=SERPIND1
Parent=ENST00000215730.12	gene_name=SNAP29
Parent=ENST00000215742.9	gene_name=THAP7
Parent=ENST00000215743.8	gene_name=MMP11
Parent=ENST00000215754.8	gene_name=MIF
Parent=ENST00000215770.6	gene_name=DDTL
Parent=ENST00000215781.3	gene_name=OSM
Parent=ENST00000215790.12	gene_name=TBC1D10A
Parent=ENST00000215793.13	gene_name=SF3A1
Parent=ENST00000215794.8	gene_name=USP18
Parent=ENST00000215812.9	gene_name=SEC14L3
Parent=ENST00000215829.8	gene_name=SNRPD3
Parent=ENST00000215832.11	gene_name=MAPK1
Parent=ENST00000215838.8	gene_name=TCN2
Parent=ENST00000215855.7	gene_name=CRYBB3
Parent=ENST00000215862.8	gene_name=MORC2
Parent=ENST00000215882.10	gene_name=SLC25A1
Parent=ENST00000215885.4	gene_name=PLA2G3
Parent=ENST00000215886.6	gene_name=LGALS2
Parent=ENST00000215904.7	gene_name=PDXP
Parent=ENST00000215906.6	gene_name=ASPHD2
Parent=ENST00000215909.10	gene_name=LGALS1
Parent=ENST00000215912.10	gene_name=PIK3IP1
Parent=ENST00000215917.11	gene_name=SRRD
Parent=ENST00000215919.3	gene_name=PATZ1
Parent=ENST00000215941.9	gene_name=ANKRD54
Parent=ENST00000215956.10	gene_name=SNU13
Parent=ENST00000215957.10	gene_name=MICALL1
Parent=ENST00000215980.10	gene_name=CENPM
Parent=ENST00000216014.9	gene_name=KDELR3
Parent=ENST00000216024.7	gene_name=DMC1
Parent=ENST00000216027.8	gene_name=HSCB
Parent=ENST00000216029.8	gene_name=CBY1
Parent=ENST00000216034.6	gene_name=TOMM22
Parent=ENST00000216036.9	gene_name=RSPH14
Parent=ENST00000216037.10	gene_name=XBP1
Parent=ENST00000216038.6	gene_name=RTCB
Parent=ENST00000216039.9	gene_name=JOSD1
Parent=ENST00000216044.10	gene_name=GTPBP1
Parent=ENST00000216061.9	gene_name=PPP6R2
Parent=ENST00000216068.9	gene_name=DNAL4
Parent=ENST00000216071.5	gene_name=C22orf31
Parent=ENST00000216075.11	gene_name=MIOX
Parent=ENST00000216080.5	gene_name=LMF2
Parent=ENST00000216083.6	gene_name=CBX6
Parent=ENST00000216085.12	gene_name=RHBDD3
Parent=ENST00000216099.13	gene_name=APOBEC3D
Parent=ENST00000216101.7	gene_name=RASL10A
Parent=ENST00000216106.6	gene_name=HMGXB4
Parent=ENST00000216115.3	gene_name=BIK
Parent=ENST00000216117.9	gene_name=HMOX1
Parent=ENST00000216121.12	gene_name=NIPSNAP1
Parent=ENST00000216122.9	gene_name=MCM5
Parent=ENST00000216124.10	gene_name=ARSA
Parent=ENST00000216127.5	gene_name=RASD2
Parent=ENST00000216129.7	gene_name=TTLL12
Parent=ENST00000216133.10	gene_name=CBX7
Parent=ENST00000216139.10	gene_name=ACR
Parent=ENST00000216144.4	gene_name=CABP7
Parent=ENST00000216146.9	gene_name=RPL3
Parent=ENST00000216155.11	gene_name=SYNGR1
Parent=ENST00000216160.11	gene_name=TAB1
Parent=ENST00000216177.9	gene_name=PNPLA5
Parent=ENST00000216180.8	gene_name=PNPLA3
Parent=ENST00000216181.11	gene_name=MYH9
Parent=ENST00000216185.7	gene_name=TXN2
Parent=ENST00000216187.10	gene_name=FOXRED2
Parent=ENST00000216190.13	gene_name=EIF3D
Parent=ENST00000216194.11	gene_name=ADSL
Parent=ENST00000216200.9	gene_name=PVALB
Parent=ENST00000216211.9	gene_name=UPK3A
Parent=ENST00000216214.7	gene_name=FAM118A
Parent=ENST00000216218.8	gene_name=ST13
Parent=ENST00000216223.10	gene_name=IL2RB
Parent=ENST00000216225.9	gene_name=RBX1
Parent=ENST00000216237.10	gene_name=L3MBTL2
Parent=ENST00000216241.14	gene_name=CHADL
Parent=ENST00000216252.4	gene_name=PHF5A
Parent=ENST00000216254.9	gene_name=ACO2
Parent=ENST00000216259.8	gene_name=PMM1
Parent=ENST00000216264.13	gene_name=CERK
Parent=ENST00000216267.12	gene_name=BRD1
Parent=ENST00000216268.6	gene_name=ZBED4
Parent=ENST00000216271.10	gene_name=HDAC10
Parent=ENST00000216274.10	gene_name=RIPK3
Parent=ENST00000216277.13	gene_name=PAPOLA
Parent=ENST00000216281.13	gene_name=HSP90AA1
Parent=ENST00000216286.10	gene_name=NID2
Parent=ENST00000216288.11	gene_name=MARK3
Parent=ENST00000216294.5	gene_name=SNAPC1
Parent=ENST00000216297.7	gene_name=SUPT16H
Parent=ENST00000216327.10	gene_name=ABHD4
Parent=ENST00000216330.7	gene_name=FKBP3
Parent=ENST00000216336.3	gene_name=CTSG
Parent=ENST00000216338.9	gene_name=GZMH
Parent=ENST00000216341.9	gene_name=GZMB
Parent=ENST00000216350.12	gene_name=PRMT5
Parent=ENST00000216361.9	gene_name=COCH
Parent=ENST00000216366.9	gene_name=AP4S1
Parent=ENST00000216367.10	gene_name=POLE2
Parent=ENST00000216373.10	gene_name=SOS2
Parent=ENST00000216378.2	gene_name=CDKL1
Parent=ENST00000216392.8	gene_name=PYGL
Parent=ENST00000216410.8	gene_name=GNPNAT1
Parent=ENST00000216416.9	gene_name=CNIH1
Parent=ENST00000216420.12	gene_name=CGRRF1
Parent=ENST00000216442.12	gene_name=ATP6V1D
Parent=ENST00000216445.8	gene_name=CCDC198
Parent=ENST00000216446.9	gene_name=PLEK2
Parent=ENST00000216452.9	gene_name=PIGH
Parent=ENST00000216455.9	gene_name=PSMA3
Parent=ENST00000216465.10	gene_name=GSTZ1
Parent=ENST00000216468.8	gene_name=TMED8
Parent=ENST00000216471.5	gene_name=SAMD15
Parent=ENST00000216479.8	gene_name=AHSA1
Parent=ENST00000216484.7	gene_name=SPTLC2
Parent=ENST00000216487.12	gene_name=RIN3
Parent=ENST00000216489.8	gene_name=ALKBH1
Parent=ENST00000216492.10	gene_name=CHGA
Parent=ENST00000216500.9	gene_name=DHRS7
Parent=ENST00000216513.5	gene_name=SIX4
Parent=ENST00000216517.10	gene_name=CEP128
Parent=ENST00000216540.5	gene_name=SLC10A1
Parent=ENST00000216554.8	gene_name=EIF5
