Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
TMEM145	42317709-42317881	42316869-42316963	42320316-42320437	Atypical Teratoid Rhabdoid Tumor
WDR35	19960554-19960614	19953833-19953978	19966723-19966909	Atypical Teratoid Rhabdoid Tumor
SPAG17	117981270-117981401	117973424-117973561	117983810-117983913	Atypical Teratoid Rhabdoid Tumor
CRACR2B	830866-831032	830484-830713	831223-831295	Atypical Teratoid Rhabdoid Tumor
COL23A1	178256866-178256928	178256352-178256397	178257522-178257567	Atypical Teratoid Rhabdoid Tumor
LRRC9	59960914-59961045	59959817-59960014	59966588-59966765	Atypical Teratoid Rhabdoid Tumor
ENSG00000225689	129121151-129121238	129116609-129116723	129122117-129122193	Atypical Teratoid Rhabdoid Tumor
DPY19L4	94765711-94765809	94765182-94765314	94766611-94766685	Atypical Teratoid Rhabdoid Tumor
ENSG00000173727	65455437-65455581	65455256-65455331	65466084-65466720	Atypical Teratoid Rhabdoid Tumor
ZNF213	3138745-3138818	3138353-3138541	3140688-3141779	Atypical Teratoid Rhabdoid Tumor
AK2	33031544-33031661	33021592-33021703	33036735-33036902	Atypical Teratoid Rhabdoid Tumor
FAM13C	59264085-59264166	59253716-59254443	59268552-59268691	Atypical Teratoid Rhabdoid Tumor
CASP8AP2	89846562-89846644	89829899-89830067	89853165-89853234	Atypical Teratoid Rhabdoid Tumor
ZNF444	56142276-56142386	56141726-56141794	56146246-56146420	Atypical Teratoid Rhabdoid Tumor
RGS8	182669624-182669752	182666871-182666973	182671656-182671730	Atypical Teratoid Rhabdoid Tumor
MOB4	197523624-197523686	197516065-197516146	197540110-197540153	Atypical Teratoid Rhabdoid Tumor
PAAF1	73909399-73909593	73900269-73900420	73914412-73914447	Atypical Teratoid Rhabdoid Tumor
VIRMA	94534839-94535007	94530962-94531085	94537102-94537151	Atypical Teratoid Rhabdoid Tumor
IPO11	62601764-62601848	62591576-62591672	62627153-62627569	Atypical Teratoid Rhabdoid Tumor
ANKIB1	92392241-92392292	92391165-92391344	92396364-92396476	Atypical Teratoid Rhabdoid Tumor
ABCC1	16014491-16014628	16009775-16009901	16033108-16033170	Atypical Teratoid Rhabdoid Tumor
TVP23C-CDRT4	15440208-15440285	15436020-15438200	15545784-15545916	Atypical Teratoid Rhabdoid Tumor
CCNY	35483404-35483478	35336508-35337207	35501500-35501535	Atypical Teratoid Rhabdoid Tumor
EXD3	137354567-137354773	137354338-137354377	137356267-137356368	Atypical Teratoid Rhabdoid Tumor
DGKB	14607434-14607508	14583051-14583137	14613339-14613413	Atypical Teratoid Rhabdoid Tumor
NTNG1	107324282-107324922	107148068-107148839	107395153-107395326	Atypical Teratoid Rhabdoid Tumor
RALGPS2	178906776-178906867	178902105-178902211	178916329-178916375	Atypical Teratoid Rhabdoid Tumor
MROH7-TTC4	54733629-54733710	54731485-54731700	54737581-54737664	Atypical Teratoid Rhabdoid Tumor
SLC4A11	3230732-3230845	3230514-3230647	3230932-3231058	Atypical Teratoid Rhabdoid Tumor
CCNI	77066249-77066405	77058506-77058635	77075471-77075693	Atypical Teratoid Rhabdoid Tumor
ARHGEF1	41892025-41892123	41888751-41888865	41892330-41892373	Atypical Teratoid Rhabdoid Tumor
EIF3I	32226171-32226320	32222439-32222630	32228498-32228609	Atypical Teratoid Rhabdoid Tumor
HMGN1	39345830-39345958	39345145-39345274	39347246-39347292	Atypical Teratoid Rhabdoid Tumor
RIN2	19964952-19965024	19960699-19960811	19970837-19970929	Atypical Teratoid Rhabdoid Tumor
PRRC2A	31622727-31622901	31620719-31620858	31623731-31623909	Atypical Teratoid Rhabdoid Tumor
HSD17B14	48832666-48832752	48815036-48815141	48834275-48834358	Atypical Teratoid Rhabdoid Tumor
RAB2A	60558852-60558923	60516986-60517253	60572045-60572113	Atypical Teratoid Rhabdoid Tumor
ENSG00000255339	100509316-100509511	100509006-100509102	100516095-100516219	Atypical Teratoid Rhabdoid Tumor
TSPAN31	57745745-57745873	57745022-57745217	57746588-57748205	Atypical Teratoid Rhabdoid Tumor
UBXN1	62676813-62677005	62676498-62676639	62677517-62677634	Atypical Teratoid Rhabdoid Tumor
LETMD1	51056144-51056245	51053777-51053860	51056349-51056428	Atypical Teratoid Rhabdoid Tumor
LETMD1	51056150-51056245	51053777-51053860	51056349-51056502	Atypical Teratoid Rhabdoid Tumor
AXL	41221146-41221246	41220635-41220858	41221879-41221996	Atypical Teratoid Rhabdoid Tumor
TSPAN12	120815729-120815803	120810462-120810570	120838776-120838797	Atypical Teratoid Rhabdoid Tumor
SETD2	47126648-47126663	47120181-47124548	47163853-47164113	Atypical Teratoid Rhabdoid Tumor
ZNF43	21819095-21819221	21817887-21817986	21851904-21852068	Atypical Teratoid Rhabdoid Tumor
THADA	43560234-43560385	43556092-43556555	43566697-43566821	Atypical Teratoid Rhabdoid Tumor
CRAT	129109179-129109277	129107813-129108077	129110482-129110545	Atypical Teratoid Rhabdoid Tumor
MUC20-OT1	195708429-195708513	195708133-195708268	195708746-195708807	Atypical Teratoid Rhabdoid Tumor
MIPOL1	37219553-37219691	37197912-37198104	37247102-37247240	Atypical Teratoid Rhabdoid Tumor
SPAG17	118099606-118099800	118097669-118097851	118101739-118101926	Atypical Teratoid Rhabdoid Tumor
TACC2	122132609-122132734	122088477-122088591	122195039-122195176	Atypical Teratoid Rhabdoid Tumor
ADAM23	206562203-206562293	206561127-206561212	206565019-206565068	Atypical Teratoid Rhabdoid Tumor
VPS11	119071596-119071843	119070233-119070397	119073197-119073399	Atypical Teratoid Rhabdoid Tumor
CIAO1	96269268-96269355	96268456-96268658	96271110-96274173	Atypical Teratoid Rhabdoid Tumor
DECR1	90036841-90036940	90020908-90021056	90042727-90042748	Atypical Teratoid Rhabdoid Tumor
BMP2K	78847188-78847269	78844927-78845049	78850923-78851056	Atypical Teratoid Rhabdoid Tumor
CCSER2	84438512-84438707	84425730-84425893	84463932-84463945	Atypical Teratoid Rhabdoid Tumor
BTAF1	91939952-91940066	91935656-91935780	91951402-91951566	Atypical Teratoid Rhabdoid Tumor
TSPOAP1	58326293-58326421	58324810-58325002	58327587-58328760	Atypical Teratoid Rhabdoid Tumor
STYXL1	76021851-76021992	76013741-76013887	76028641-76028671	Atypical Teratoid Rhabdoid Tumor
ADAM23	206530885-206530948	206481231-206481308	206542051-206542134	Atypical Teratoid Rhabdoid Tumor
CIT	119803206-119803389	119784188-119785065	119822819-119822973	Atypical Teratoid Rhabdoid Tumor
CFAP46	132909137-132909244	132908347-132908634	132909918-132910068	Atypical Teratoid Rhabdoid Tumor
ALDH4A1	18886464-18886511	18885472-18885628	18889361-18889454	Atypical Teratoid Rhabdoid Tumor
CAMK2G	73847988-73848082	73847224-73847347	73848525-73848609	Atypical Teratoid Rhabdoid Tumor
EIF3B	2371777-2371849	2369471-2369682	2372672-2372795	Atypical Teratoid Rhabdoid Tumor
CASC15	21978945-21979062	21909469-21909603	22056545-22056690	Atypical Teratoid Rhabdoid Tumor
DMKN	35506126-35506185	35505938-35505986	35508204-35508240	Atypical Teratoid Rhabdoid Tumor
CLDND1	98521133-98521442	98518734-98518995	98522848-98522875	Atypical Teratoid Rhabdoid Tumor
KIRREL2	35862493-35862597	35861804-35862024	35862926-35863036	Atypical Teratoid Rhabdoid Tumor
HHLA3	70366146-70366328	70354797-70355208	70366443-70366537	Atypical Teratoid Rhabdoid Tumor
FCHSD2	72841454-72841583	72840876-72840959	72843150-72843328	Atypical Teratoid Rhabdoid Tumor
RNF138	32123518-32123574	32092689-32092886	32126692-32126800	Atypical Teratoid Rhabdoid Tumor
CES4A	67006391-67006519	67005239-67005393	67008973-67009739	Atypical Teratoid Rhabdoid Tumor
PAIP1	43533738-43533792	43529785-43529879	43534852-43534970	Atypical Teratoid Rhabdoid Tumor
MDM2	68835829-68835984	68828770-68828931	68839273-68839314	Atypical Teratoid Rhabdoid Tumor
TSPAN2	115053379-115053462	115048010-115050555	115057536-115057608	Atypical Teratoid Rhabdoid Tumor
TRAPPC9	140435112-140435240	140405576-140405698	140439051-140439197	Atypical Teratoid Rhabdoid Tumor
PTPRO	15501620-15502063	15499441-15499594	15503907-15504069	Atypical Teratoid Rhabdoid Tumor
CSNK1G3	123595039-123595134	123591318-123591414	123604723-123604830	Atypical Teratoid Rhabdoid Tumor
OBSCN	228299259-228299522	228298453-228298717	228299881-228300145	Atypical Teratoid Rhabdoid Tumor
PSAP	71828014-71828157	71825836-71825893	71828876-71829077	Atypical Teratoid Rhabdoid Tumor
SLC13A4	135721395-135721523	135707436-135708250	135727397-135727624	Atypical Teratoid Rhabdoid Tumor
ZNF510	96774788-96774846	96763505-96763632	96775999-96776245	Atypical Teratoid Rhabdoid Tumor
SUOX	55997615-55997723	55997258-55997339	55999332-55999458	Atypical Teratoid Rhabdoid Tumor
KIF1C	5000220-5000352	4999849-4999970	5000771-5000848	Atypical Teratoid Rhabdoid Tumor
JOSD2	50507574-50507699	50506377-50506572	50511116-50511162	Atypical Teratoid Rhabdoid Tumor
TTLL12	43182980-43183149	43180741-43180940	43186892-43187134	Atypical Teratoid Rhabdoid Tumor
RIMS1	72252761-72252832	72251214-72251368	72258124-72258281	Atypical Teratoid Rhabdoid Tumor
PLOD2	146077862-146077924	146073286-146073352	146079115-146079257	Atypical Teratoid Rhabdoid Tumor
TTLL9	31919864-31919932	31909736-31909922	31922962-31923053	Atypical Teratoid Rhabdoid Tumor
ABI1	26768852-26768992	26765217-26765318	26770244-26770345	Atypical Teratoid Rhabdoid Tumor
CHD8	21391463-21391642	21390946-21391063	21391832-21391946	Atypical Teratoid Rhabdoid Tumor
ALKBH6	36010894-36011077	36010566-36010683	36011403-36011464	Atypical Teratoid Rhabdoid Tumor
NCOR1	16067894-16068121	16065484-16065694	16070164-16070525	Atypical Teratoid Rhabdoid Tumor
VIT	36775002-36775067	36773790-36773847	36783339-36783402	Atypical Teratoid Rhabdoid Tumor
CPNE5	36753034-36753095	36748220-36748267	36756244-36756298	Atypical Teratoid Rhabdoid Tumor
NRSN2	353210-353306	349637-349832	355325-355349	Atypical Teratoid Rhabdoid Tumor
CFAP99	2445131-2445308	2443129-2443242	2449666-2449750	Atypical Teratoid Rhabdoid Tumor
DNAL1	73689375-73689515	73687258-73687385	73695901-73695942	Atypical Teratoid Rhabdoid Tumor
PAM	102865823-102866284	102754782-102755348	102867272-102867309	Atypical Teratoid Rhabdoid Tumor
EXD3	137352066-137352201	137351317-137351528	137352619-137352786	Atypical Teratoid Rhabdoid Tumor
ENSG00000249319	66134280-66134374	66127703-66127740	66145442-66145500	Atypical Teratoid Rhabdoid Tumor
ZNF331	53555845-53555908	53539215-53539282	53569303-53569385	Atypical Teratoid Rhabdoid Tumor
GRIA2	157220908-157221130	157219902-157220144	157221666-157221723	Atypical Teratoid Rhabdoid Tumor
STMP1	135672753-135672806	135662495-135662594	135688903-135689028	Atypical Teratoid Rhabdoid Tumor
ENO4	116874076-116874201	116871124-116871292	116876064-116876260	Atypical Teratoid Rhabdoid Tumor
RARRES1	158710738-158710933	158704650-158704927	158713796-158713859	Atypical Teratoid Rhabdoid Tumor
C1D	68053061-68053137	68047172-68047315	68062944-68062994	Atypical Teratoid Rhabdoid Tumor
COPS3	17247480-17247560	17246615-17247151	17248925-17249039	Atypical Teratoid Rhabdoid Tumor
CFAP126	161366439-161366501	161365525-161365702	161367841-161367876	Atypical Teratoid Rhabdoid Tumor
SLC25A40	87841633-87841714	87836729-87836810	87846948-87847122	Atypical Teratoid Rhabdoid Tumor
WDR45	49077643-49077747	49076644-49076753	49077836-49077911	Atypical Teratoid Rhabdoid Tumor
DIAPH1	141529603-141529697	141529171-141529273	141534334-141534433	Atypical Teratoid Rhabdoid Tumor
BIVM	102805307-102805390	102800361-102800735	102807145-102807400	Atypical Teratoid Rhabdoid Tumor
RRBP1	17616732-17616839	17615925-17616009	17618595-17618679	Atypical Teratoid Rhabdoid Tumor
KCNMB4	70400209-70400336	70366289-70367070	70430484-70434292	Atypical Teratoid Rhabdoid Tumor
LMF2	50505229-50505334	50505056-50505153	50505402-50505537	Atypical Teratoid Rhabdoid Tumor
IGFBPL1	38411391-38411549	38406527-38409217	38413236-38413353	Atypical Teratoid Rhabdoid Tumor
ULK3	74838152-74838173	74837750-74837798	74838265-74838344	Atypical Teratoid Rhabdoid Tumor
EXOSC10	11082688-11082878	11081081-11081238	11087447-11087591	Atypical Teratoid Rhabdoid Tumor
TP53BP1	43432194-43432677	43428015-43428168	43438323-43438416	Atypical Teratoid Rhabdoid Tumor
DLG1	197119410-197119530	197115926-197116083	197130526-197130671	Atypical Teratoid Rhabdoid Tumor
WDR11	120880826-120880901	120878352-120878459	120883779-120883805	Atypical Teratoid Rhabdoid Tumor
DDX3X	41337408-41339083	41334161-41334297	41341483-41341616	Atypical Teratoid Rhabdoid Tumor
TPT1-AS1	45383091-45383235	45378529-45380001	45389734-45389820	Atypical Teratoid Rhabdoid Tumor
TPT1-AS1	45383160-45383235	45379925-45380001	45389734-45389820	Atypical Teratoid Rhabdoid Tumor
TRIP10	6741225-6741281	6740682-6741125	6742966-6743081	Atypical Teratoid Rhabdoid Tumor
ENC1	74634684-74636498	74627405-74629992	74640306-74640429	Atypical Teratoid Rhabdoid Tumor
STAU1	49179122-49179244	49174194-49174269	49188115-49188367	Atypical Teratoid Rhabdoid Tumor
ELMOD3	85355555-85355598	85354719-85354829	85356966-85357252	Atypical Teratoid Rhabdoid Tumor
ANKRD13C	70270856-70270956	70258998-70262847	70276764-70276843	Atypical Teratoid Rhabdoid Tumor
CDON	126018337-126018473	126017087-126017375	126019618-126019765	Atypical Teratoid Rhabdoid Tumor
TMEM259	1011096-1011195	1009649-1010895	1011366-1011499	Atypical Teratoid Rhabdoid Tumor
CASC15	22020339-22020542	21978944-21979062	22056545-22056690	Atypical Teratoid Rhabdoid Tumor
DLG4	7192945-7193117	7191266-7191358	7193482-7193584	Atypical Teratoid Rhabdoid Tumor
SQSTM1	179825146-179825226	179824181-179824323	179833031-179833227	Atypical Teratoid Rhabdoid Tumor
GTF2H1	18351881-18351969	18347831-18347919	18352328-18352446	Atypical Teratoid Rhabdoid Tumor
PTPN9	75470680-75470830	75469791-75469999	75473688-75473767	Atypical Teratoid Rhabdoid Tumor
COMMD10	116134068-116134178	116092544-116092700	116291516-116291576	Atypical Teratoid Rhabdoid Tumor
NME6	48298427-48298523	48295074-48295235	48301352-48301367	Atypical Teratoid Rhabdoid Tumor
PKN2	88740988-88741288	88684221-88684628	88760221-88760376	Atypical Teratoid Rhabdoid Tumor
ISLR2	74130554-74130621	74128125-74128307	74131206-74131316	Atypical Teratoid Rhabdoid Tumor
ENSG00000286001	311293-311402	272710-272772	314416-314955	Atypical Teratoid Rhabdoid Tumor
TADA3	9784028-9784213	9779966-9780549	9785315-9785425	Atypical Teratoid Rhabdoid Tumor
USP42	6159450-6159493	6156753-6157055	6160554-6160631	Atypical Teratoid Rhabdoid Tumor
HIPK1	113954651-113954770	113952765-113952889	113955562-113955649	Atypical Teratoid Rhabdoid Tumor
ZNF815P	5839949-5840075	5833526-5833568	5840689-5840856	Atypical Teratoid Rhabdoid Tumor
PLEKHM2	15731889-15732048	15731191-15731257	15732349-15732529	Atypical Teratoid Rhabdoid Tumor
GRK2	67283707-67283773	67283127-67283228	67283853-67283949	Atypical Teratoid Rhabdoid Tumor
TADA2A	37423509-37423615	37411268-37411390	37426949-37427009	Atypical Teratoid Rhabdoid Tumor
TMEM198B	55832959-55833038	55831256-55831349	55833446-55833541	Atypical Teratoid Rhabdoid Tumor
PHLDB1	118639162-118639251	118638890-118639001	118643799-118643940	Atypical Teratoid Rhabdoid Tumor
STXBP5	147291094-147291172	147278080-147278204	147310083-147310238	Atypical Teratoid Rhabdoid Tumor
EXOC6	92919982-92920050	92915757-92915913	92928338-92928422	Atypical Teratoid Rhabdoid Tumor
ENSG00000271853	153628121-153628237	153626331-153626533	153631010-153631078	Atypical Teratoid Rhabdoid Tumor
ECD	73163733-73163950	73160433-73160551	73167865-73168008	Atypical Teratoid Rhabdoid Tumor
NAA35	86013046-86013144	86009864-86009931	86013718-86013897	Atypical Teratoid Rhabdoid Tumor
EP400	132043645-132043728	132043303-132043462	132044176-132044311	Atypical Teratoid Rhabdoid Tumor
COPA	160307163-160307245	160306353-160306493	160309100-160309176	Atypical Teratoid Rhabdoid Tumor
NCS1	130200958-130200982	130172403-130172727	130217831-130217920	Atypical Teratoid Rhabdoid Tumor
DLG3	70497180-70497221	70492520-70492596	70498519-70498558	Atypical Teratoid Rhabdoid Tumor
ARFGAP2	47175182-47175313	47172280-47172333	47175850-47175923	Atypical Teratoid Rhabdoid Tumor
PODNL1	13934254-13934385	13933877-13933993	13936366-13936460	Atypical Teratoid Rhabdoid Tumor
CASC15	21758393-21758534	21668646-21668899	21783631-21783708	Atypical Teratoid Rhabdoid Tumor
RTKN	74428268-74428396	74427423-74427592	74428630-74428737	Atypical Teratoid Rhabdoid Tumor
PARPBP	102182549-102182627	102165728-102165883	102195950-102197361	Atypical Teratoid Rhabdoid Tumor
MORF4L1	78878213-78878259	78872813-78873057	78886140-78886161	Atypical Teratoid Rhabdoid Tumor
AP3D1	2108687-2108766	2100987-2102268	2109085-2109125	Atypical Teratoid Rhabdoid Tumor
AP3D1	2108687-2108876	2102236-2102268	2109085-2109207	Atypical Teratoid Rhabdoid Tumor
PMVK	154929024-154929176	154926353-154926483	154932351-154932415	Atypical Teratoid Rhabdoid Tumor
GAPVD1	125323798-125323923	125321432-125321562	125326415-125326589	Atypical Teratoid Rhabdoid Tumor
TMEM198B	55832959-55833014	55831256-55831349	55833446-55833541	Atypical Teratoid Rhabdoid Tumor
COL26A1	101551108-101551143	101549170-101549223	101553325-101553376	Atypical Teratoid Rhabdoid Tumor
PHKG2	30751549-30751603	30751105-30751281	30753231-30753297	Atypical Teratoid Rhabdoid Tumor
NONO	71284984-71285097	71284396-71284453	71285364-71286174	Atypical Teratoid Rhabdoid Tumor
UHRF1BP1	34864002-34864198	34858123-34859571	34867224-34867379	Atypical Teratoid Rhabdoid Tumor
LEMD1	205419230-205419352	205416231-205416296	205420454-205420574	Atypical Teratoid Rhabdoid Tumor
SESTD1	179123715-179123829	179121769-179121929	179124363-179124467	Atypical Teratoid Rhabdoid Tumor
NDUFS8	68032152-68032209	68030616-68030733	68032922-68033012	Atypical Teratoid Rhabdoid Tumor
TMEM198B	55832959-55833125	55831256-55831349	55833446-55833521	Atypical Teratoid Rhabdoid Tumor
ACYP1	75063470-75063561	75061683-75061762	75063953-75064007	Atypical Teratoid Rhabdoid Tumor
PPRC1	102145020-102145090	102144249-102144307	102146671-102147392	Atypical Teratoid Rhabdoid Tumor
ZNF420	37080345-37080388	37078417-37078570	37089038-37089127	Atypical Teratoid Rhabdoid Tumor
ZNF638	71408122-71408247	71406127-71406262	71418601-71418639	Atypical Teratoid Rhabdoid Tumor
WASH8P	17723-17859	17347-17483	18036-18183	Atypical Teratoid Rhabdoid Tumor
ENSG00000233184	101077363-101077508	101025849-101026061	101086851-101087265	Atypical Teratoid Rhabdoid Tumor
MCUB	109684443-109684646	109682581-109682742	109685250-109685367	Atypical Teratoid Rhabdoid Tumor
SYTL1	27349972-27350132	27349475-27349765	27350388-27350485	Atypical Teratoid Rhabdoid Tumor
MXD1	69921736-69921765	69916120-69916220	69935350-69935465	Atypical Teratoid Rhabdoid Tumor
COA1	43656033-43656153	43650611-43650712	43729428-43729505	Atypical Teratoid Rhabdoid Tumor
UGGT2	95989973-95990073	95986332-95986432	95996062-95996135	Atypical Teratoid Rhabdoid Tumor
EIF4G2	10807255-10807381	10806819-10806885	10808704-10808708	Atypical Teratoid Rhabdoid Tumor
APBB2	40825887-40825967	40823643-40823759	40827131-40827219	Atypical Teratoid Rhabdoid Tumor
APBB2	40825887-40825970	40823643-40823759	40827131-40827219	Atypical Teratoid Rhabdoid Tumor
SELENOF	86880662-86880725	86862724-86863605	86903280-86903448	Atypical Teratoid Rhabdoid Tumor
GFM1	158649041-158649157	158646742-158646947	158652095-158652246	Atypical Teratoid Rhabdoid Tumor
PKD1	2092954-2093093	2092046-2092188	2093543-2093738	Atypical Teratoid Rhabdoid Tumor
QPCT	37352789-37352935	37344629-37344851	37359579-37359858	Atypical Teratoid Rhabdoid Tumor
TTYH1	54429307-54429379	54426672-54426768	54430549-54430605	Atypical Teratoid Rhabdoid Tumor
SMIM7	16654035-16654125	16646147-16647261	16659958-16660000	Atypical Teratoid Rhabdoid Tumor
RNASET2	166931044-166931118	166922112-166929791	166938894-166939008	Atypical Teratoid Rhabdoid Tumor
DDR1	30885625-30885680	30883084-30883165	30888687-30888814	Atypical Teratoid Rhabdoid Tumor
MGMT	129536241-129536377	129467189-129467296	129707894-129708043	Atypical Teratoid Rhabdoid Tumor
TOX2	44064777-44064857	44054298-44054526	44065711-44066107	Atypical Teratoid Rhabdoid Tumor
ZMYND11	240056-240111	237584-237677	240892-240970	Atypical Teratoid Rhabdoid Tumor
GRIPAP1	48993428-48993578	48990925-48991110	48997249-48997357	Atypical Teratoid Rhabdoid Tumor
FRMD4B	69249226-69249248	69224606-69224690	69250042-69250099	Atypical Teratoid Rhabdoid Tumor
REXO2	114444541-114444652	114440655-114440739	114445978-114446087	Atypical Teratoid Rhabdoid Tumor
MTMR12	32271833-32271905	32270816-32270947	32273979-32274122	Atypical Teratoid Rhabdoid Tumor
ABHD12	25317048-25317078	25309445-25309575	25320198-25320318	Atypical Teratoid Rhabdoid Tumor
GRIA2	157336377-157336747	157334009-157335877	157341263-157341462	Atypical Teratoid Rhabdoid Tumor
SAP30BP	75703808-75703859	75703310-75703371	75704755-75704768	Atypical Teratoid Rhabdoid Tumor
UGGT1	128183675-128183789	128182129-128182290	128186682-128186799	Atypical Teratoid Rhabdoid Tumor
PLRG1	154546123-154546213	154545835-154545923	154547010-154547064	Atypical Teratoid Rhabdoid Tumor
SLC17A5	73621804-73621962	73615314-73615447	73635381-73635500	Atypical Teratoid Rhabdoid Tumor
CPT1C	49707518-49707623	49706230-49706413	49708722-49708839	Atypical Teratoid Rhabdoid Tumor
ZCCHC14	87433128-87433201	87423809-87423881	87460007-87460131	Atypical Teratoid Rhabdoid Tumor
BCAS3	61368327-61368494	61084466-61084564	61391976-61392125	Atypical Teratoid Rhabdoid Tumor
KMT2E	105066727-105066807	105063350-105063580	105073618-105073677	Atypical Teratoid Rhabdoid Tumor
MINPP1	87521036-87521169	87508335-87508533	87552081-87553460	Atypical Teratoid Rhabdoid Tumor
LINC01184	128076947-128077093	128061143-128061244	128081972-128082194	Atypical Teratoid Rhabdoid Tumor
RNF121	71982807-71982915	71960749-71960891	71990596-71990663	Atypical Teratoid Rhabdoid Tumor
PWWP3A	1367160-1367220	1366304-1366381	1369264-1369340	Atypical Teratoid Rhabdoid Tumor
MAGI1	65453258-65453340	65442791-65442849	65470282-65470484	Atypical Teratoid Rhabdoid Tumor
MACIR	103265908-103265997	103258762-103258896	103275896-103277228	Atypical Teratoid Rhabdoid Tumor
CPNE3	86546595-86546681	86544739-86544838	86547710-86547770	Atypical Teratoid Rhabdoid Tumor
WAC-AS1	28525948-28526008	28522651-28524611	28531734-28532395	Atypical Teratoid Rhabdoid Tumor
ESCO1	21566146-21566206	21564202-21564317	21567979-21568094	Atypical Teratoid Rhabdoid Tumor
WNK1	871265-871348	867865-869104	878211-878312	Atypical Teratoid Rhabdoid Tumor
ANKRD53	70984123-70984249	70982576-70982697	70984610-70985450	Choroid plexus tumor
SLC38A6	61052349-61052985	61052040-61052135	61078829-61078927	Choroid plexus tumor
NAV2	20049836-20049901	20048727-20049195	20054079-20054240	Choroid plexus tumor
IL6R	154454488-154454581	154449910-154449980	154465133-154465314	Choroid plexus tumor
CAPRIN2	30753344-30753549	30751070-30751133	30754680-30754800	Choroid plexus tumor
RWDD4	183651218-183651323	183650983-183651131	183655880-183655961	Choroid plexus tumor
RWDD4	183651218-183651327	183650983-183651131	183655880-183655961	Choroid plexus tumor
AKR1E2	4841785-4841840	4839783-4839826	4842420-4842504	Choroid plexus tumor
ODAM	70201454-70201501	70200496-70200601	70202257-70202329	Choroid plexus tumor
CA5B	15749971-15750165	15721496-15721592	15764577-15764665	Choroid plexus tumor
OCIAD1	48831227-48831433	48831062-48831141	48832619-48832682	Choroid plexus tumor
ATP7B	51958311-51958544	51957515-51957607	51960147-51960322	Choroid plexus tumor
FUBP1	77947453-77947547	77946529-77946576	77949154-77949300	Choroid plexus tumor
ZC3H11A	203801575-203803016	203795622-203795794	203816925-203817124	Choroid plexus tumor
CFAP73	113154414-113154635	113152995-113153408	113155259-113155418	Choroid plexus tumor
ODF3B	50531570-50531702	50531190-50531295	50531968-50532184	Choroid plexus tumor
ODF3B	50531570-50531773	50531190-50531295	50531968-50532077	Choroid plexus tumor
CFAP157	127713020-127713206	127712198-127712875	127715253-127715337	Choroid plexus tumor
LINC01354	234531016-234531174	234527915-234530342	234531527-234531792	Choroid plexus tumor
DNASE1L1	154409418-154409813	154409111-154409196	154411890-154412089	Choroid plexus tumor
DRC7	57698850-57699033	57697912-57698152	57700144-57700267	Choroid plexus tumor
ENSG00000285777	173627065-173627159	173624786-173624925	173646845-173647013	Choroid plexus tumor
IL17RC	9930400-9930459	9929851-9929897	9930894-9930943	Choroid plexus tumor
TMEM177	119680832-119681123	119679202-119679276	119685657-119686507	Choroid plexus tumor
RWDD3	95237348-95237460	95234213-95234315	95239776-95239909	Choroid plexus tumor
SYNE1	152498742-152498792	152488395-152488503	152502632-152502742	Choroid plexus tumor
