Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	Histology
ZNF195	3362546-3362602	3359996-3360565	3370974-3371070	Atypical Teratoid Rhabdoid Tumor
ELP3	28113664-28113822	28113018-28113173	28129501-28129663	Atypical Teratoid Rhabdoid Tumor
SYNPR	63610474-63610553	63609124-63609316	63615223-63616921	Atypical Teratoid Rhabdoid Tumor
LINC00924	95497681-95498000	95477693-95477984	95501507-95501651	Atypical Teratoid Rhabdoid Tumor
EFCAB14	46680060-46680138	46677894-46678636	46683299-46683425	Atypical Teratoid Rhabdoid Tumor
SAAL1	18083535-18083728	18081410-18081503	18086865-18087054	Atypical Teratoid Rhabdoid Tumor
CD82	44587710-44587886	44587474-44587556	44594642-44594725	Atypical Teratoid Rhabdoid Tumor
ADAR	154586635-154586941	154586180-154586363	154588124-154588258	Atypical Teratoid Rhabdoid Tumor
ENSG00000285043	30054784-30054927	30053463-30053499	30063728-30064038	Atypical Teratoid Rhabdoid Tumor
DISP1	222872271-222872428	222815086-222815171	222899780-222899865	Atypical Teratoid Rhabdoid Tumor
DISP1	222872271-222872428	222815086-222815171	222942806-222943332	Atypical Teratoid Rhabdoid Tumor
EEF1D	143592715-143592893	143588990-143590081	143597347-143597415	Atypical Teratoid Rhabdoid Tumor
EEF1D	143592647-143592893	143590607-143590735	143597347-143597413	Atypical Teratoid Rhabdoid Tumor
CDPF1	46247106-46247221	46244050-46245238	46248171-46248285	Atypical Teratoid Rhabdoid Tumor
CDPF1	46247125-46247221	46244010-46245238	46248171-46248285	Atypical Teratoid Rhabdoid Tumor
ANKRD26	27060818-27060881	27060511-27060540	27061143-27061242	Choroid plexus tumor
ADARB1	45120794-45120959	45074568-45074793	45128401-45128573	Choroid plexus tumor
STX2	130795995-130796120	130789599-130791977	130798524-130798635	Choroid plexus tumor
PKM	72221168-72221284	72218943-72219110	72222449-72222531	Choroid plexus tumor
RABL2A	113635051-113635130	113634152-113634232	113641352-113641450	Choroid plexus tumor
SPATS2L	200378141-200378371	200329430-200329480	200383866-200384017	Choroid plexus tumor
LTA4H	96003838-96003920	96002959-96003064	96006313-96006409	Choroid plexus tumor
OPA1	193628509-193628616	193618868-193618936	193631611-193631665	Choroid plexus tumor
KCTD17	37060823-37060922	37059312-37059438	37062524-37063390	Choroid plexus tumor
SAMD4B	39354006-39354066	39342420-39342576	39356688-39357089	Choroid plexus tumor
SDHC	161328396-161328497	161323613-161323670	161340593-161340655	Choroid plexus tumor
LETMD1	51052092-51052246	51049033-51049185	51053777-51053860	Choroid plexus tumor
AIFM3	20966506-20966546	20965171-20965207	20967804-20967975	Choroid plexus tumor
SPAG1	100162279-100162420	100157905-100158118	100165813-100165973	Choroid plexus tumor
A1BG-AS1	58353379-58353474	58347752-58347844	58353713-58353857	Choroid plexus tumor
DZIP1L	138112364-138112500	138103470-138104052	138115327-138115818	Choroid plexus tumor
LINC01376	19065981-19066134	19026659-19026705	19084926-19085025	Choroid plexus tumor
TVP23C-CDRT4	15503098-15503232	15440207-15440285	15540432-15540561	Choroid plexus tumor
PCSK4	1487603-1487691	1487140-1487313	1487784-1487861	Choroid plexus tumor
ENSG00000234062	136914130-136914242	136909435-136909780	136925246-136925379	Choroid plexus tumor
TTLL9	31933800-31933858	31925008-31925049	31937395-31937509	Choroid plexus tumor
DPY19L2P2	103278245-103278346	103277613-103277638	103280137-103280278	Choroid plexus tumor
POLR1C	43529249-43529359	43520931-43521048	43550967-43551011	Choroid plexus tumor
KIAA1109	122316348-122316548	122315461-122315688	122316731-122316794	Choroid plexus tumor
SLC5A6	27208614-27208686	27207257-27207790	27211466-27211533	Choroid plexus tumor
LYST	235747170-235747331	235746467-235746527	235751209-235751362	Choroid plexus tumor
BCAT2	48807756-48808236	48806999-48807074	48810808-48810921	Choroid plexus tumor
ENSG00000266865	31016895-31017003	31008571-31008803	31021909-31022042	Choroid plexus tumor
PAX8-AS1	113236513-113236622	113235529-113235570	113238089-113238531	Choroid plexus tumor
GPRC5D-AS1	12966759-12966857	12927726-12927803	12979523-12979622	Choroid plexus tumor
ZDHHC8P1	23402037-23402155	23401840-23401953	23402360-23402567	Choroid plexus tumor
ATP2B3	153569603-153569756	153564920-153565103	153579977-153582706	Choroid plexus tumor
PARD3	34450317-34450448	34401825-34401917	34470084-34470263	Choroid plexus tumor
STON2	81306632-81306750	81278475-81278739	81370987-81371185	Choroid plexus tumor
ENSG00000214870	26403396-26403517	26398852-26399021	26412184-26412239	Choroid plexus tumor
UICLM	240956370-240956460	240955023-240955315	240957361-240957617	Choroid plexus tumor
LOXL1-AS1	73916343-73916447	73912184-73912303	73919837-73919870	Choroid plexus tumor
MARVELD1	97715321-97715405	97714693-97715070	97715859-97715985	Choroid plexus tumor
MPP2	43906080-43906151	43904429-43904493	43907473-43907535	Choroid plexus tumor
ATP11C	139731651-139731755	139726347-139728962	139732434-139732525	Choroid plexus tumor
RPL41	56116775-56116930	56116632-56116659	56117481-56117826	Choroid plexus tumor
RFX2	6026163-6026237	6016089-6016271	6039979-6040241	Choroid plexus tumor
YAP1	102186018-102186131	102162455-102162571	102205892-102206074	Choroid plexus tumor
ITSN2	24206244-24206275	24205213-24205297	24208236-24208316	Choroid plexus tumor
CFAP52	9597512-9597621	9594192-9594321	9598233-9598314	Choroid plexus tumor
AHCYL2	129388810-129388940	129379640-129379749	129389055-129389199	Choroid plexus tumor
CLUL1	612765-612911	606977-607099	617987-618087	Choroid plexus tumor
ZFAS1	49280903-49280964	49279103-49279208	49289044-49289260	Choroid plexus tumor
NDEL1	8443927-8444176	8435921-8436045	8444259-8444357	Choroid plexus tumor
MAPK10	86321844-86322029	86194308-86194407	86354529-86354644	Choroid plexus tumor
CACNA1C	2504842-2504945	2504435-2504539	2512811-2512984	Choroid plexus tumor
GIGYF2	232722554-232722658	232703423-232703489	232735154-232735237	Choroid plexus tumor
FAM13A	88990973-88991150	88936282-88938241	89020459-89020669	Choroid plexus tumor
GON4L	155831535-155831620	155826869-155827028	155853275-155853809	Choroid plexus tumor
RPGR	38287861-38288041	38276586-38276772	38290958-38291024	Choroid plexus tumor
DPY19L2P2	103184002-103184127	103175132-103175411	103185437-103185537	Choroid plexus tumor
DPY19L2P1	35090320-35090445	35079988-35081740	35091846-35091946	Choroid plexus tumor
LINC00630	102843329-102843407	102839800-102839863	102845856-102846020	Choroid plexus tumor
CLHC1	55209404-55209516	55206269-55206376	55209629-55209652	Choroid plexus tumor
NRF1	129630078-129630168	129611738-129611824	129657342-129657574	Choroid plexus tumor
ST6GALNAC4	127916408-127916494	127914655-127914841	127916825-127917018	Choroid plexus tumor
TRIM2	153281465-153281565	153275892-153276130	153292981-153293133	Choroid plexus tumor
DSE	116257216-116257337	116254206-116254383	116258445-116259240	Choroid plexus tumor
FER	108782663-108782755	108748966-108748993	108798123-108798389	Choroid plexus tumor
ZC3H14	88601924-88602083	88596733-88596808	88607242-88607363	Choroid plexus tumor
DUOX1	45131471-45131662	45129932-45130098	45131917-45132024	Choroid plexus tumor
TMEM25	118533420-118533551	118532916-118533207	118533856-118533887	Choroid plexus tumor
SERPINB9P1	2857911-2857991	2854248-2855690	2876292-2876425	Choroid plexus tumor
NCKAP5	132725627-132725759	132671787-132673305	132728815-132728952	Choroid plexus tumor
PMS2P5	74896409-74896511	74896145-74896232	74897651-74897835	Choroid plexus tumor
CLHC1	55208626-55208710	55206269-55206376	55209629-55209831	Choroid plexus tumor
TUBA3FP	21013042-21013184	21011383-21011590	21013781-21014292	Choroid plexus tumor
ZNF232	5111800-5112351	5109393-5109868	5122976-5123102	Choroid plexus tumor
RBM26-AS1	79412682-79412907	79406300-79406477	79420759-79420815	Choroid plexus tumor
SCLT1	128952343-128952532	128948495-128948570	128952768-128952840	Choroid plexus tumor
CSAD	53171326-53171441	53170422-53170502	53171881-53171988	Choroid plexus tumor
N6AMT1	28879870-28879953	28878191-28878333	28882159-28882250	Choroid plexus tumor
TRMO	97916164-97916338	97913251-97913558	97922417-97922487	Choroid plexus tumor
LINC00880	157101935-157102092	157081666-157083275	157103357-157103479	Choroid plexus tumor
CNN3-DT	94939829-94939925	94931871-94931985	94962978-94963270	Choroid plexus tumor
NFATC2	51398643-51398730	51386962-51391451	51432066-51432756	Choroid plexus tumor
EDA2R	66605048-66605226	66602632-66602797	66615933-66616020	Choroid plexus tumor
GAPVD1	125287762-125287883	125268935-125268984	125295457-125295522	Choroid plexus tumor
DDR2	162677234-162677346	162655210-162655374	162705051-162705131	Choroid plexus tumor
PRXL2C	96645893-96646024	96639576-96641886	96651389-96651495	Choroid plexus tumor
SYTL3	158718087-158718211	158708321-158708391	158725502-158725637	Choroid plexus tumor
PCBP2	53464760-53464852	53462480-53462567	53467220-53467285	Choroid plexus tumor
ENSG00000257060	93498521-93498757	93373509-93373585	93530236-93530437	Choroid plexus tumor
C12orf29	88040148-88040265	88035535-88035738	88042824-88042920	Choroid plexus tumor
ENSG00000244471	52584633-52584703	52583095-52583188	52586809-52586906	Choroid plexus tumor
NR1D2	23963224-23963330	23961976-23962605	23964976-23965162	Choroid plexus tumor
SCAPER	76567270-76567405	76504858-76504974	76574157-76574284	Choroid plexus tumor
ENSG00000288869	69793703-69793803	69789544-69790436	69794072-69794178	Choroid plexus tumor
LANCL3	37668368-37668450	37667281-37667489	37675653-37684463	Choroid plexus tumor
RAI2	17837537-17837730	17800050-17802034	17861097-17861236	Choroid plexus tumor
RAI2	17837537-17837733	17800050-17802034	17861097-17861337	Choroid plexus tumor
PRLR	35195551-35195713	35118060-35118122	35230267-35230477	Choroid plexus tumor
MSH5	31745237-31745319	31744545-31744581	31747386-31747432	Choroid plexus tumor
FAM76A	27749068-27749154	27744653-27744811	27755194-27755330	Choroid plexus tumor
SPIN1	88415607-88415699	88388430-88388538	88418777-88418951	Choroid plexus tumor
UBE2Q2P2	82415528-82415675	82414786-82414804	82418635-82418792	Choroid plexus tumor
DICER1	95141154-95141187	95140658-95140759	95141682-95141748	Choroid plexus tumor
PPARGC1A	23820435-23820638	23814332-23814605	23824279-23824353	Choroid plexus tumor
EMSY	76539599-76539640	76537794-76537950	76542215-76542367	Choroid plexus tumor
MIR29B2CHG	207818962-207819146	207817238-207817414	207822203-207822702	Choroid plexus tumor
MRPL48	73817823-73817947	73805026-73805079	73825707-73825796	Choroid plexus tumor
PIGN	62163531-62163656	62162252-62162329	62186843-62186989	Choroid plexus tumor
LETMD1	51049034-51049185	51048300-51048478	51056349-51056502	Choroid plexus tumor
YPEL5	30148245-30148541	30147956-30148091	30156627-30156792	Choroid plexus tumor
ZNF665	53190186-53190320	53182883-53182943	53193311-53193327	Choroid plexus tumor
VEPH1	157499395-157499656	157495211-157495506	157503276-157503416	Choroid plexus tumor
CA12	63328098-63328130	63327148-63327233	63338818-63338945	Choroid plexus tumor
MOK	102278606-102278694	102251916-102251995	102283477-102283592	Choroid plexus tumor
CEP57L1	109106035-109106090	109095109-109095575	109140420-109140675	Choroid plexus tumor
KIF12	114092751-114092904	114092541-114092642	114093228-114093333	Choroid plexus tumor
AGT	230709107-230709426	230705932-230706200	230709994-230710853	Choroid plexus tumor
FLRT2	85552733-85552843	85533960-85533993	85621138-85654428	Choroid plexus tumor
FAM86C2P	67799374-67799475	67796682-67796833	67803001-67803064	Choroid plexus tumor
CFAP61	20191342-20191419	20187929-20188056	20196569-20196776	Choroid plexus tumor
SEPTIN7P13	224002522-224002622	223992742-223993047	224003519-224003654	Choroid plexus tumor
SNCAIP	122336788-122336904	122311353-122311625	122391088-122391176	Choroid plexus tumor
LCA5	79525164-79525269	79518704-79519085	79537115-79537430	Choroid plexus tumor
CAPS2	75322974-75323087	75321399-75321576	75323176-75323222	Choroid plexus tumor
FAM227A	38628238-38628342	38626179-38626303	38628833-38628935	Choroid plexus tumor
FAM200B	15684850-15684959	15681755-15681784	15686235-15686396	Choroid plexus tumor
RIMBP2	130424142-130424858	130422452-130422561	130428178-130428337	Choroid plexus tumor
CLK3	74606243-74606415	74604932-74605733	74608276-74608727	Choroid plexus tumor
CEACAM19	44673712-44673845	44672477-44672964	44676270-44676421	Choroid plexus tumor
ENSG00000267787	57734026-57734096	57731413-57732023	57735150-57735592	Choroid plexus tumor
CHURC1	64926007-64926080	64923990-64924126	64932137-64935368	Choroid plexus tumor
CA5BP1	15691138-15691241	15688660-15688858	15692962-15693058	Choroid plexus tumor
PEG3	56833290-56833420	56824261-56824514	56836017-56836104	Choroid plexus tumor
ENSG00000230074	34678096-34678268	34665606-34665767	34680905-34681981	Choroid plexus tumor
DGUOK	73957125-73957240	73950584-73950732	73958145-73958245	Choroid plexus tumor
MALT1	58733882-58733980	58733396-58733574	58734306-58734381	Choroid plexus tumor
NFRKB	129893293-129893385	129892714-129892870	129894358-129894438	Choroid plexus tumor
SPTY2D1OS	18601092-18601180	18588780-18588995	18603157-18603195	Choroid plexus tumor
SORBS2	185734099-185734154	185678795-185678822	185775226-185775366	Choroid plexus tumor
XPO6	28208987-28209122	28177219-28177332	28211365-28211550	Choroid plexus tumor
DUBR	107246008-107246052	107240674-107241087	107285319-107285664	Choroid plexus tumor
VEPH1	157499395-157499675	157495211-157495506	157503276-157503416	Choroid plexus tumor
ABAT	8722767-8722842	8674595-8674711	8735698-8735809	Choroid plexus tumor
ARHGEF3	57076746-57076892	57035087-57035176	57078546-57078815	Choroid plexus tumor
ITGB8-AS1	20329367-20329513	20328295-20328856	20331649-20331781	Choroid plexus tumor
GAB1	143434088-143434168	143433490-143433716	143437998-143438041	Choroid plexus tumor
IL16	81295332-81295520	81291923-81293037	81296927-81297078	Choroid plexus tumor
DECR1	90005448-90005845	90001476-90001561	90018908-90018966	Choroid plexus tumor
ZNF248	37803833-37803943	37776525-37776575	37833024-37833116	Choroid plexus tumor
TRMT9B	12969997-12970150	12952062-12952358	12990833-12990939	Choroid plexus tumor
SNCAIP	122336788-122336904	122311768-122311838	122391088-122391176	Choroid plexus tumor
TPD52	80119815-80119884	80064477-80064593	80171020-80171200	Choroid plexus tumor
KPNB1-DT	47626547-47626627	47603859-47604118	47636511-47636601	Choroid plexus tumor
GALNT11	152079287-152079408	152027596-152027718	152094189-152094522	Choroid plexus tumor
NUDT7	77735828-77735986	77722513-77722617	77741581-77742260	Choroid plexus tumor
PLEKHA4	48857422-48857496	48854216-48854264	48858859-48859139	Choroid plexus tumor
TBC1D32	121139774-121139836	121131626-121131752	121160009-121160103	Choroid plexus tumor
LDLRAD4	13438244-13438384	13387340-13387762	13621116-13621271	Choroid plexus tumor
NPRL3	117301-117375	112621-112775	119125-119255	Choroid plexus tumor
ZBBX	167288867-167288983	167282237-167282495	167298304-167298458	Choroid plexus tumor
NME9	138315527-138315643	138314331-138314407	138319477-138319581	Choroid plexus tumor
ENSG00000268750	57839023-57839149	57819718-57819945	57856103-57856233	Choroid plexus tumor
DNAH6	84547268-84547402	84517818-84518051	84548287-84548417	Choroid plexus tumor
LINC00639	38761110-38761253	38749338-38749654	38762101-38762174	Choroid plexus tumor
CCDC30	42534889-42534989	42498817-42498916	42566295-42566475	Choroid plexus tumor
SPATS2L	200378141-200378371	200372108-200372251	200389222-200389283	Choroid plexus tumor
NHSL2	72132079-72132234	72069658-72069753	72138440-72140771	Choroid plexus tumor
SPIN1	88416644-88416766	88415606-88415699	88418777-88418951	Choroid plexus tumor
DCDC1	31127469-31127639	31110259-31110361	31137691-31137784	Choroid plexus tumor
EBPL	49669777-49669846	49660722-49661208	49691253-49691463	Choroid plexus tumor
LLGL2	75574453-75574495	75574110-75574260	75574609-75574668	Choroid plexus tumor
LETMD1	51052092-51052207	51048342-51049185	51053811-51053860	Choroid plexus tumor
NOTCH2	120051484-120051779	120029905-120029987	120069333-120069363	Choroid plexus tumor
CACNB2	18514980-18515041	18514510-18514530	18518335-18518416	Choroid plexus tumor
CD151	835020-835139	834529-834591	836062-836153	Choroid plexus tumor
PHF3	63678828-63679020	63636110-63636150	63679999-63680161	Choroid plexus tumor
MIR29B2CHG	207818962-207819146	207817238-207817414	207867925-207868023	Choroid plexus tumor
HYDIN	71203725-71204057	71186776-71186918	71230629-71230704	Choroid plexus tumor
SYTL3	158713800-158713878	158708321-158708391	158725502-158725637	Choroid plexus tumor
SPEF2	35712812-35712886	35708947-35709121	35727674-35727823	Choroid plexus tumor
ARL13B	93997247-93997301	93996547-93996684	94003658-94003908	Choroid plexus tumor
STAU1	49174195-49174269	49153932-49154071	49188115-49188334	Choroid plexus tumor
SORBS2	185684754-185684846	185678795-185678822	185775226-185775366	Choroid plexus tumor
SLC46A1	28400610-28400766	28394641-28399713	28404615-28405468	Choroid plexus tumor
CCDC191	114046591-114046732	114042702-114042846	114056376-114056549	Choroid plexus tumor
KIF6	39584898-39584984	39578055-39578159	39586260-39586404	Choroid plexus tumor
VEPH1	157493187-157493293	157489054-157489160	157495211-157495506	Choroid plexus tumor
CCDC148	158345215-158345318	158340597-158340680	158358448-158358570	Choroid plexus tumor
CAPS2	75298871-75298966	75298686-75298780	75299836-75299911	Choroid plexus tumor
RNMT	13730627-13730755	13726672-13726729	13731475-13731821	Choroid plexus tumor
TTLL10	1174216-1174321	1173897-1173926	1174423-1174489	Choroid plexus tumor
TTLL10	1174266-1174321	1173879-1173926	1174423-1174489	Choroid plexus tumor
PLCB4	9096287-9096342	9069067-9069206	9217389-9217452	Choroid plexus tumor
ZNF816	52960027-52960177	52956026-52956104	52962716-52962911	Choroid plexus tumor
ADGB	146666816-146666902	146656770-146656980	146672219-146672467	Choroid plexus tumor
ENSG00000286330	74399267-74399305	74365024-74365087	74399995-74400168	Choroid plexus tumor
TTLL6	48800072-48800278	48799603-48799760	48801254-48801385	Choroid plexus tumor
RIN2	19870844-19870915	19799621-19799747	19889565-19890334	Choroid plexus tumor
ROR2	91886668-91886770	91883257-91883383	91949866-91950228	Choroid plexus tumor
DNAJB13	73967939-73968162	73965235-73966251	73968255-73968458	Choroid plexus tumor
